geography_record_id,coordinate_record_id,location_record_id,objective_id,location_name,location_category,source_content,coordinate_worldspace,coordinate_status,distance_scope,route_cluster,route_corridor,nearest_corridor_hub,nearest_corridor_hub_type,nearest_corridor_hub_distance,nearest_major_carriage_origin,nearest_major_carriage_origin_distance,nearest_ferry_terminal,nearest_ferry_terminal_distance,nearest_inn_or_rest,nearest_inn_or_rest_type,nearest_inn_or_rest_distance,nearest_candidate_base,nearest_candidate_base_type,nearest_candidate_base_distance,worldspace_access_model,transport_access_flags,cold_risk,barrier_flags,geography_confidence,citations,notes
GEOG-000001,COORD-000001,LOC-000001,OBJ-001958,Abandoned Prison,clearable_location,base_game,Skyrim,exact_marker,same_worldspace_xy,eastern_skyrim,kynesgrove_eastmarch_road,Kynesgrove,village,47431,Windhelm Stables,57647,Windhelm ferry,64262,Braidwood Inn,inn,47431,Gallows Hall,ae_home,29471,same_worldspace_overland,major_carriage_origin_regional | ferry_terminal_regional,standard,none_flagged,high,SN-000124-hub-corridor-geography-support.md,"Straight-line support data; validate roads, passes, water, quest state, and exact access before route prose."
GEOG-000002,COORD-000002,LOC-000002,OBJ-001959,Alftand,clearable_location,base_game,Skyrim,exact_marker,same_worldspace_xy,northern_skyrim,nightgate_pale_pass,Nightgate Inn,road_inn,31698,Windhelm Stables,77092,Dawnstar ferry,55546,Nightgate Inn,inn,31698,Bloodchill Manor,ae_home,18915,same_worldspace_overland,major_carriage_origin_remote | ferry_terminal_regional,source_listed_cold_interior,source_listed_cold_interior,high,SN-000124-hub-corridor-geography-support.md,"Straight-line support data; validate roads, passes, water, quest state, and exact access before route prose."
GEOG-000003,COORD-000003,LOC-000003,OBJ-001960,Altar of Thrond,clearable_location,dragonborn,Solstheim,exact_marker,same_worldspace_xy,solstheim,thirsk_central,Thirsk Mead Hall,settlement,18659,,,Raven Rock ferry,30489,The Retching Netch,inn,30489,Severin Manor,dragonborn_home,30489,ferry_gateway_then_local_overland,major_carriage_origin_unavailable | ferry_terminal_near | solstheim_no_carriages | raven_rock_ferry_gateway,source_listed_cold_interior,water_or_ferry_access | source_listed_cold_interior,medium,SN-000124-hub-corridor-geography-support.md,"Straight-line support data; validate roads, passes, water, quest state, and exact access before route prose. Access model: ferry_gateway_then_local_overland."
GEOG-000004,COORD-000004,LOC-000004,OBJ-001961,Ancient's Ascent,clearable_location,base_game,Skyrim,exact_marker,same_worldspace_xy,southern_skyrim,falkreath_pine_forest,Falkreath,minor_capital,31479,Whiterun Stables,90628,Windhelm ferry,191812,Dead Man's Drink,inn,31479,Lakeview Manor,hearthfire_homestead,30842,same_worldspace_overland,major_carriage_origin_remote | ferry_terminal_remote,high_elevation_or_mountain,high_elevation_or_mountain,high,SN-000124-hub-corridor-geography-support.md,"Straight-line support data; validate roads, passes, water, quest state, and exact access before route prose."
GEOG-000005,COORD-000005,LOC-000005,OBJ-001962,Angarvunde,clearable_location,base_game,Skyrim,exact_marker,same_worldspace_xy,southern_skyrim,ivarstead_rift_pass,Ivarstead,village,49601,Riften Stables,59973,Windhelm ferry,134499,Vilemyr Inn,inn,49601,Shadowfoot Sanctum,ae_home,56740,same_worldspace_overland,major_carriage_origin_regional | ferry_terminal_remote,standard,none_flagged,high,SN-000124-hub-corridor-geography-support.md,"Straight-line support data; validate roads, passes, water, quest state, and exact access before route prose."
GEOG-000006,COORD-000006,LOC-000006,OBJ-001963,Ansilvund,clearable_location,base_game,Skyrim,exact_marker,same_worldspace_xy,eastern_skyrim,kynesgrove_eastmarch_road,Kynesgrove,village,61153,Riften Stables,55747,Windhelm ferry,81078,Braidwood Inn,inn,61153,Nchuanthumz,ae_home,18128,same_worldspace_overland,major_carriage_origin_regional | ferry_terminal_remote,standard,none_flagged,high,SN-000124-hub-corridor-geography-support.md,"Straight-line support data; validate roads, passes, water, quest state, and exact access before route prose."
GEOG-000007,COORD-000007,LOC-000007,OBJ-001964,Arcwind Point,clearable_location,base_game,Skyrim,exact_marker,same_worldspace_xy,southern_skyrim,ivarstead_rift_pass,Ivarstead,village,36448,Whiterun Stables,101252,Windhelm ferry,151254,Vilemyr Inn,inn,36448,Lakeview Manor,hearthfire_homestead,82316,same_worldspace_overland,major_carriage_origin_remote | ferry_terminal_remote,high_elevation_or_mountain,high_elevation_or_mountain | high_elevation_marker,high,SN-000124-hub-corridor-geography-support.md,"Straight-line support data; validate roads, passes, water, quest state, and exact access before route prose."
GEOG-000008,COORD-000008,LOC-000008,OBJ-001965,Arkngthamz,clearable_location,dawnguard,Skyrim,exact_marker,same_worldspace_xy,western_skyrim,old_hroldan_reach_road,Old Hroldan Inn,road_inn,35211,Markarth Stables,50426,Icewater Jetty,154753,Old Hroldan Inn,inn,35211,Vlindrel Hall,city_home,51109,same_worldspace_overland,major_carriage_origin_regional | ferry_terminal_remote,standard,none_flagged,high,SN-000124-hub-corridor-geography-support.md,"Straight-line support data; validate roads, passes, water, quest state, and exact access before route prose."
GEOG-000009,COORD-000009,LOC-000009,OBJ-001966,Ashfallow Citadel,clearable_location,base_game,Solstheim,exact_marker,same_worldspace_xy,solstheim,thirsk_central,Thirsk Mead Hall,settlement,16949,,,Raven Rock ferry,36391,The Retching Netch,inn,36391,Severin Manor,dragonborn_home,36391,ferry_gateway_then_local_overland,major_carriage_origin_unavailable | ferry_terminal_regional | solstheim_no_carriages | raven_rock_ferry_gateway,solstheim_cold_region,water_or_ferry_access | solstheim_cold_region,medium,SN-000124-hub-corridor-geography-support.md,"Straight-line support data; validate roads, passes, water, quest state, and exact access before route prose. Access model: ferry_gateway_then_local_overland."
GEOG-000010,COORD-000010,LOC-000010,OBJ-001967,Autumnshade Clearing,clearable_location,base_game,Skyrim,exact_marker,same_worldspace_xy,southeast_skyrim,riften_rift,Riften,major_city,26506,Riften Stables,23007,Windhelm ferry,116528,The Bee and Barb,inn,26506,Shadowfoot Sanctum,ae_home,24700,same_worldspace_overland,major_carriage_origin_near | ferry_terminal_remote,standard,none_flagged,high,SN-000124-hub-corridor-geography-support.md,"Straight-line support data; validate roads, passes, water, quest state, and exact access before route prose."
