checklist_id,checklist_tab,checklist_entry,category,objective_id,matched_objective_name,coverage_matrix_guide_location,raw_group,raw_detail,source_note_refs,source_note_status,missing_source_refs,guide_name_match,internal_checklist_coverage_row_count,internal_objective_coverage_row_count,audit_status,coverage_statuses,completion_statuses,guide_locations,recommended_action,notes
CHK-QUESTS-0388,Quests,The Words of Power,quest,OBJ-000317,The Words of Power,TB-031A/TB-031B/TB-036,High Hrothgar,Follow the Greybeards' advice to learn a Word of Power. | Giver: High Hrothgar,SN-000024-misc-reach-rift-whiterun-winterhold-inventory.md | SN-000022-hero-of-the-people-misc-objective-caveats.md,all_found,,Y,1,2,appendix_row_covered,not_started_here,staged_for_all_word_wall_route,Main Quest Staging Before Sky Haven,none,
CHK-QUESTS-0534,Quests,Skaal Village Dialogue,quest,OBJ-000439,Skaal Village Dialogue,TB-031A/TB-031B/TB-036,Skaal Village Quests,Take Bera's necklace to Runil in Falkreath. | Giver: Morwen,SN-000032-dragonborn-side-misc-inventory.md,all_found,,Y,3,3,appendix_row_covered,held_for_later | retrospectively_inserted_completed | retrospectively_inserted_started,complete | in_progress_to_mr059 | staged_for_mr058_mr059_skaal_to_falkreath_handoff,"Bittercup, The Pit, And Fortunate Son | Miraak Finale, Lost Knowledge, And Last Black Books | Temple Of Miraak, Skaal, And Stalhrim",none,
CHK-LOCATIONS-1074,Locations,Giant's Grove,location,OBJ-002050,Reconcile Giant's Grove Cleared Marker,TB-031A/TB-031B/TB-036,Grove,"Type: Grove | Region: The Rift | States: {'discovered': 'N', 'visited': 'N', 'cleared': 'N'}",SN-000077-clearable-location-inventory.md | SN-000079-location-marker-gap-reconciliation.md,all_found,,Y,1,1,appendix_row_covered,redistributed_or_gated,redistributed_or_staged_by_route_gate,Retrospective redistributed regional sections; no player-facing Location Counter Sweep dump,none,
CHK-LOCATIONS-1251,Locations,Sundered Towers,location,OBJ-002167,Reconcile Sundered Towers Cleared Marker,TB-031A/TB-031B/TB-036,Nordic Tower,"Type: Nordic Tower | Region: The Reach | States: {'discovered': 'N', 'visited': 'N', 'cleared': '-'}",SN-000077-clearable-location-inventory.md | SN-000079-location-marker-gap-reconciliation.md,all_found,,Y,1,1,appendix_row_covered,redistributed_or_gated,redistributed_or_staged_by_route_gate,Retrospective redistributed regional sections; no player-facing Location Counter Sweep dump,none,
CHK-LOCATIONS-1400,Locations,Gallows Hall,location,OBJ-002413,Validate AE Location Coverage: Gallows Hall,TB-031A/TB-031B/TB-036,Player Housing,"Type: Player Housing | Region: Eastmarch | States: {'discovered': 'N', 'visited': 'N', 'cleared': '-'}",SN-000079-location-marker-gap-reconciliation.md | SN-000128-location-route-validation.md,all_found,,Y,0,1,appendix_row_covered_by_mapped_objective,placed_in_guide,complete,Windhelm Follow-Up And Eastmarch Roads,none,
CHK-LOCATIONS-1402,Locations,Mythic Dawn Camp,location,OBJ-002418,Validate AE Location Coverage: Mythic Dawn Camp,TB-031A/TB-031B/TB-036,Camp,"Type: Camp | Region: The Rift | States: {'discovered': 'N', 'visited': 'N', 'cleared': '-'}",SN-000079-location-marker-gap-reconciliation.md | SN-000128-location-route-validation.md,all_found,,Y,1,1,appendix_row_covered,placed_in_guide,complete,High-Risk AE Routes and Separate Worldspaces,none,
CHK-LOCATIONS-1403,Locations,Nchuanthumz,location,OBJ-002419,Validate AE Location Coverage: Nchuanthumz,TB-031A/TB-031B/TB-036,Player Housing,"Type: Player Housing | Region: Eastmarch | States: {'discovered': 'N', 'visited': 'N', 'cleared': '-'}",SN-000079-location-marker-gap-reconciliation.md | SN-000128-location-route-validation.md,all_found,,Y,1,1,appendix_row_covered,appendix_location_promoted,complete,Homes Household Services Pets And Mounts,none,
CHK-LOCATIONS-1405,Locations,Rielle,location,OBJ-002422,Validate AE Location Coverage: Rielle,TB-031A/TB-031B/TB-036,Ayeleid Ruin,"Type: Ayeleid Ruin | Region: The Rift | States: {'discovered': 'N', 'visited': 'N', 'cleared': '-'}",SN-000079-location-marker-gap-reconciliation.md | SN-000128-location-route-validation.md,all_found,,Y,1,1,appendix_row_covered,placed_in_guide,complete,High-Risk AE Routes and Separate Worldspaces,none,
CHK-LOCATIONS-1413,Locations,The Guardian Vault,location,OBJ-002415,Validate AE Location Coverage: The Guardian Vault,TB-031A/TB-031B/TB-036,Ruin,"Type: Ruin | Region: The Rift | States: {'discovered': 'N', 'visited': 'N', 'cleared': 'N'}",SN-000079-location-marker-gap-reconciliation.md | SN-000128-location-route-validation.md,all_found,,Y,0,1,appendix_row_covered_by_mapped_objective,needs_route_resolution_added,NEEDS ROUTE RESOLUTION,Final Reconciliation open route-resolution items,none,
CHK-LOCATIONS-1414,Locations,Blackbone Isle Grotto,location,OBJ-002409,Validate AE Location Coverage: Blackbone Isle Grotto,TB-031A/TB-031B/TB-036,Cave,"Type: Cave | Region: Haafingar | States: {'discovered': 'N', 'visited': 'N', 'cleared': 'N'}",SN-000079-location-marker-gap-reconciliation.md | SN-000128-location-route-validation.md,all_found,,Y,0,1,appendix_row_covered_by_mapped_objective,appendix_location_promoted_to_guide,complete,Homes Household Services Pets And Mounts,none,
