checklist_id,checklist_tab,checklist_entry,category,mapping_type,guide_location,branch_name,exclusion_reason,source_note_refs,status,notes,objective_id,matched_objective_name,route_block,disposition,prototype_status,deferred_to,match_status,match_source,raw_sheet_row,raw_cell,raw_group,raw_status,raw_detail
CHK-QUESTS-0001,Quests,Unbound,quest,Main-route prototype block,G01,,,SN-000001-main-quest-structure.md | SN-000002-main-quest-trophies.md,mapped_to_route_prototype,Mapped to current objective/route-planning prototype; final guide step number remains later work.,OBJ-000001,Unbound,G01,route_block,inserted_fixed_early,opening_escape,matched,objective_alias,5,B5,Main Quest,N,Escape Imperial custody and a dragon raid.
CHK-QUESTS-0002,Quests,Before the Storm,quest,Main-route prototype block,G01,,,SN-000001-main-quest-structure.md,mapped_to_route_prototype,Mapped to current objective/route-planning prototype; final guide step number remains later work.,OBJ-000002,Before the Storm,G01,route_block,inserted_fixed_early,opening_warm_core,matched,objective_alias,6,B6,Main Quest,N,Inform the Jarl of Whiterun about the dragon attack on Helgen.
CHK-QUESTS-0003,Quests,Bleak Falls Barrow,quest,Main-route prototype block,TB-034,,,SN-000001-main-quest-structure.md | SN-000002-main-quest-trophies.md,mapped_to_route_prototype,Mapped to current objective/route-planning prototype; final guide step number remains later work.,OBJ-000003,Bleak Falls Barrow,,dependency_anchor,dependency_anchor_pending,TB-034,matched,objective_alias,7,B7,Main Quest,N,Retrieve the Dragonstone.
CHK-QUESTS-0004,Quests,Dragon Rising,quest,Main-route prototype block,route_anchor_window,,,SN-000001-main-quest-structure.md,mapped_to_route_prototype,Mapped to current objective/route-planning prototype; final guide step number remains later work.,OBJ-000004,Dragon Rising,,anchored_window,anchored_window,route_anchor_window,matched,objective_alias,8,B8,Main Quest,N,Investigate a Dragon sighting near Whiterun.
CHK-QUESTS-0005,Quests,The Way of the Voice,quest,Main-route prototype block,TB-034,,,SN-000001-main-quest-structure.md | SN-000002-main-quest-trophies.md,mapped_to_route_prototype,Mapped to current objective/route-planning prototype; final guide step number remains later work.,OBJ-000005,The Way of the Voice,,dependency_anchor,dependency_anchor_pending,TB-034,matched,objective_alias,9,B9,Main Quest,N,Meet the Greybeards.
CHK-QUESTS-0006,Quests,The Horn of Jurgen Windcaller,quest,Main-route prototype block,TB-034,,,SN-000001-main-quest-structure.md,mapped_to_route_prototype,Mapped to current objective/route-planning prototype; final guide step number remains later work.,OBJ-000006,The Horn of Jurgen Windcaller,,dependency_anchor,dependency_anchor_pending,TB-034,matched,objective_alias,10,B10,Main Quest,N,Retrieve a Greybeard artifact from Ustengrav.
CHK-QUESTS-0007,Quests,A Blade in the Dark,quest,Main-route prototype block,TB-034,,,SN-000001-main-quest-structure.md,mapped_to_route_prototype,Mapped to current objective/route-planning prototype; final guide step number remains later work.,OBJ-000007,A Blade in the Dark,,dependency_anchor,dependency_anchor_pending,TB-034,matched,objective_alias,11,B11,Main Quest,N,Prove you are Dragonborn to Delphine by slaying the dragon Sahloknir.
CHK-QUESTS-0008,Quests,Diplomatic Immunity,quest,Main-route prototype block,TB-034,,,SN-000001-main-quest-structure.md | SN-000002-main-quest-trophies.md,mapped_to_route_prototype,Mapped to current objective/route-planning prototype; final guide step number remains later work.,OBJ-000008,Diplomatic Immunity,,dependency_anchor,dependency_anchor_pending,TB-034,matched,objective_alias,12,B12,Main Quest,N,Infiltrate a party at the Thalmor Embassy.
CHK-QUESTS-0009,Quests,A Cornered Rat,quest,Main-route prototype block,TB-034,,,SN-000001-main-quest-structure.md,mapped_to_route_prototype,Mapped to current objective/route-planning prototype; final guide step number remains later work.,OBJ-000009,A Cornered Rat,,dependency_anchor,dependency_anchor_pending,TB-034,matched,objective_alias,13,B13,Main Quest,N,Locate Esbern.
CHK-QUESTS-0010,Quests,Alduin's Wall,quest,Main-route prototype block,G10,,,SN-000001-main-quest-structure.md | SN-000002-main-quest-trophies.md,mapped_to_route_prototype,Mapped to current objective/route-planning prototype; final guide step number remains later work.,OBJ-000010,Alduin's Wall,G10,route_block,held_hard_gate,level_46_sky_haven_dragonbane,matched,objective_alias,14,B14,Main Quest,N,Locate the prophecy within Sky Haven Temple.
