source_line,audit_area,audit_status,recommended_action_before_repair,classification,repair_status,record_type,record_id,mapped_objective_id,name,current_location,current_status,exact_missing_fact,inputs_checked
85,delayed_coverage,needs_delayed_task_repair,repair_or_mark_route_resolution,explicit_route_resolution,tb038r_needs_route_resolution,objective,OBJ-000788,,Standing Stone Power and Ability Choice Set,Helgen Riverwood And First Survival Loop,first_standing_stone_activated / partial_standing_stone_set,"The current coverage row is delayed, held, conditional, or in progress, and TB-038 found no later same-record closeout in the current coverage ledger.",data/guide-coverage/main-guide-v1-order-delayed-task-audit.csv; data/guide-coverage/main-guide-v1-coverage.csv; data/guide-coverage/main-guide-v1-objective-final-status.csv; drafts/final-guide/main-guide-v1.md
140,delayed_coverage,needs_delayed_task_repair,repair_or_mark_route_resolution,closed_or_connected,tb044_admonition_against_ebony_closed,objective,OBJ-001084,,Admonition Against Ebony,First Day In Whiterun,held_for_level20_whispering_door / staged_for_level20_whispering_door,TB-044 source-checked and routed Admonition Against Ebony from the sealed Dragonsreach basement room.,data/guide-coverage/main-guide-v1-order-delayed-task-audit.csv; data/guide-coverage/main-guide-v1-coverage.csv; data/guide-coverage/main-guide-v1-objective-final-status.csv; drafts/final-guide/main-guide-v1.md
141,delayed_coverage,needs_delayed_task_repair,repair_or_mark_route_resolution,explicit_route_resolution,tb038r_needs_route_resolution,objective,OBJ-001383,,Death of a Crimson Dirk,First Day In Whiterun,held_for_later_ae_route / staged_for_later_ae_route,"The current coverage row is delayed, held, conditional, or in progress, and TB-038 found no later same-record closeout in the current coverage ledger.",data/guide-coverage/main-guide-v1-order-delayed-task-audit.csv; data/guide-coverage/main-guide-v1-coverage.csv; data/guide-coverage/main-guide-v1-objective-final-status.csv; drafts/final-guide/main-guide-v1.md
143,delayed_coverage,needs_delayed_task_repair,repair_or_mark_route_resolution,explicit_route_resolution,tb038r_needs_route_resolution,objective,OBJ-000554,,Beyond the Grave,First Day In Whiterun,held_for_later_ae_route / staged_for_later_ae_route,"The current coverage row is delayed, held, conditional, or in progress, and TB-038 found no later same-record closeout in the current coverage ledger.",data/guide-coverage/main-guide-v1-order-delayed-task-audit.csv; data/guide-coverage/main-guide-v1-coverage.csv; data/guide-coverage/main-guide-v1-objective-final-status.csv; drafts/final-guide/main-guide-v1.md
153,delayed_coverage,needs_delayed_task_repair,repair_or_mark_route_resolution,explicit_route_resolution,tb038r_needs_route_resolution,objective,OBJ-000565,,When the Cat's Away,First Day In Whiterun,held_for_later_ae_route / staged_for_later_ae_route,"The current coverage row is delayed, held, conditional, or in progress, and TB-038 found no later same-record closeout in the current coverage ledger.",data/guide-coverage/main-guide-v1-order-delayed-task-audit.csv; data/guide-coverage/main-guide-v1-coverage.csv; data/guide-coverage/main-guide-v1-objective-final-status.csv; drafts/final-guide/main-guide-v1.md
154,delayed_coverage,needs_delayed_task_repair,repair_or_mark_route_resolution,explicit_route_resolution,tb038r_needs_route_resolution,objective,OBJ-001453,,M'Sharra's Diary,First Day In Whiterun,held_for_later_ae_route / staged_for_later_ae_route,"The current coverage row is delayed, held, conditional, or in progress, and TB-038 found no later same-record closeout in the current coverage ledger.",data/guide-coverage/main-guide-v1-order-delayed-task-audit.csv; data/guide-coverage/main-guide-v1-coverage.csv; data/guide-coverage/main-guide-v1-objective-final-status.csv; drafts/final-guide/main-guide-v1.md
155,delayed_coverage,needs_delayed_task_repair,repair_or_mark_route_resolution,explicit_route_resolution,tb038r_needs_route_resolution,objective,OBJ-000577,,In the Shadows,First Day In Whiterun,held_for_later_ae_route / staged_for_later_ae_route,"The current coverage row is delayed, held, conditional, or in progress, and TB-038 found no later same-record closeout in the current coverage ledger.",data/guide-coverage/main-guide-v1-order-delayed-task-audit.csv; data/guide-coverage/main-guide-v1-coverage.csv; data/guide-coverage/main-guide-v1-objective-final-status.csv; drafts/final-guide/main-guide-v1.md
156,delayed_coverage,needs_delayed_task_repair,repair_or_mark_route_resolution,explicit_route_resolution,tb038r_needs_route_resolution,objective,OBJ-001373,,Business Ledger Copy,First Day In Whiterun,held_for_later_ae_route / staged_for_later_ae_route,"The current coverage row is delayed, held, conditional, or in progress, and TB-038 found no later same-record closeout in the current coverage ledger.",data/guide-coverage/main-guide-v1-order-delayed-task-audit.csv; data/guide-coverage/main-guide-v1-coverage.csv; data/guide-coverage/main-guide-v1-objective-final-status.csv; drafts/final-guide/main-guide-v1.md
157,delayed_coverage,needs_delayed_task_repair,repair_or_mark_route_resolution,closed_or_connected,tb038r_delayed_task_closed,objective,OBJ-001774,,Stone of Barenziah: Whiterun,First Day In Whiterun,acquired_now / in_progress_collectible_member,"TB-038R connected this delayed/support row to an existing routed action, final reference, branch reload, or later buildout already present in main-guide-v1.",data/guide-coverage/main-guide-v1-order-delayed-task-audit.csv; data/guide-coverage/main-guide-v1-coverage.csv; data/guide-coverage/main-guide-v1-objective-final-status.csv; drafts/final-guide/main-guide-v1.md
167,delayed_coverage,needs_delayed_task_repair,repair_or_mark_route_resolution,explicit_route_resolution,tb038r_needs_route_resolution,objective,OBJ-000630,,Nordic Jewelry,First Day In Whiterun,held_for_later_ae_route / staged_for_later_ae_route,"The current coverage row is delayed, held, conditional, or in progress, and TB-038 found no later same-record closeout in the current coverage ledger.",data/guide-coverage/main-guide-v1-order-delayed-task-audit.csv; data/guide-coverage/main-guide-v1-coverage.csv; data/guide-coverage/main-guide-v1-objective-final-status.csv; drafts/final-guide/main-guide-v1.md
168,delayed_coverage,needs_delayed_task_repair,repair_or_mark_route_resolution,explicit_route_resolution,tb038r_needs_route_resolution,objective,OBJ-000709,,Nordic Jewelry Equipment and Crafting Set,First Day In Whiterun,held_for_later_crafting_route / staged_for_later_crafting_route,"The current coverage row is delayed, held, conditional, or in progress, and TB-038 found no later same-record closeout in the current coverage ledger.",data/guide-coverage/main-guide-v1-order-delayed-task-audit.csv; data/guide-coverage/main-guide-v1-coverage.csv; data/guide-coverage/main-guide-v1-objective-final-status.csv; drafts/final-guide/main-guide-v1.md
