audit_area,check_id,source_file,source_section,row_label,check_type,guide_locations,audit_status,recommended_action,evidence,notes
playtest_setup,TB042-SETUP-001,drafts/final-guide/main-guide-v1.md,Guide Conventions / Setup / Final Reconciliation,Trophy-safe setup is executable,setup_baseline,Guide Conventions; Setup and Save Baseline; Final Reconciliation,pass_player_contract_present,none,Required terms present: ps4; official ae; do not install mods,TB-042 simulated playtest first checks that the guide tells a player how to execute the route without internal project context.
playtest_setup,TB042-SETUP-002,drafts/final-guide/main-guide-v1.md,Guide Conventions / Setup / Final Reconciliation,Survival and Legendary baseline is explicit,setup_baseline,Guide Conventions; Setup and Save Baseline; Final Reconciliation,pass_player_contract_present,none,Required terms present: survival mode is mandatory; keep legendary difficulty on,TB-042 simulated playtest first checks that the guide tells a player how to execute the route without internal project context.
playtest_setup,TB042-SETUP-003,drafts/final-guide/main-guide-v1.md,Guide Conventions / Setup / Final Reconciliation,Route discipline is player-facing,route_discipline,Guide Conventions; Setup and Save Baseline; Final Reconciliation,pass_player_contract_present,none,Required terms present: route discipline; do only the actions it routes; creation prompts,TB-042 simulated playtest first checks that the guide tells a player how to execute the route without internal project context.
playtest_setup,TB042-SETUP-004,drafts/final-guide/main-guide-v1.md,Guide Conventions / Setup / Final Reconciliation,Checklist logging policy is self-contained,checklist_logging,Guide Conventions; Setup and Save Baseline; Final Reconciliation,pass_player_contract_present,none,Required terms present: keep the completion checklist open; update the matching checklist row,TB-042 simulated playtest first checks that the guide tells a player how to execute the route without internal project context.
playtest_setup,TB042-SETUP-005,drafts/final-guide/main-guide-v1.md,Guide Conventions / Setup / Final Reconciliation,Branch-return contract is explicit,branch_continuity,Guide Conventions; Setup and Save Baseline; Final Reconciliation,pass_player_contract_present,none,Required terms present: branches are played first; save is reloaded; canonical main-route choice,TB-042 simulated playtest first checks that the guide tells a player how to execute the route without internal project context.
playtest_setup,TB042-SETUP-006,drafts/final-guide/main-guide-v1.md,Guide Conventions / Setup / Final Reconciliation,Unresolved rows are visible,route_resolution,Guide Conventions; Setup and Save Baseline; Final Reconciliation,pass_player_contract_present,none,Required terms present: needs route resolution; inputs checked,TB-042 simulated playtest first checks that the guide tells a player how to execute the route without internal project context.
playtest_setup,TB042-SETUP-007,drafts/final-guide/main-guide-v1.md,Full guide,Placeholder phrase scan,placeholder_phrase_scan,Full guide,pass_no_placeholder_phrases,none,No banned placeholder phrases found.,Uses the same phrase list as check_main_guide_placeholders.py.
section_walkthrough,TB042-SECTION-001,drafts/final-guide/main-guide-v1.md,Setup and Save Baseline,Setup and Save Baseline,section_executability,Setup and Save Baseline,pass_section_executable,none,9 numbered steps; support cues found: rotating manual save; hard save; food; rest; bed; inn; carry; hot food.,"Simulated playtest verifies the section has a clear player start, numbered route steps, and logistics cues when the section contains travel, dungeon, combat, cold, or branch language."
section_walkthrough,TB042-SECTION-002,drafts/final-guide/main-guide-v1.md,"Helgen, Riverwood, and First Survival Loop","Helgen, Riverwood, and First Survival Loop",section_executability,"Helgen, Riverwood, and First Survival Loop",pass_section_executable,none,17 numbered steps; support cues found: rotating manual save; food; healing; sleep; bed; inn; sell ordinary; carry.,"Simulated playtest verifies the section has a clear player start, numbered route steps, and logistics cues when the section contains travel, dungeon, combat, cold, or branch language."
section_walkthrough,TB042-SECTION-003,drafts/final-guide/main-guide-v1.md,First Day in Whiterun,First Day in Whiterun,section_executability,First Day in Whiterun,pass_section_executable,none,23 numbered steps; support cues found: rotating manual save; food; sell ordinary; carry.,"Simulated playtest verifies the section has a clear player start, numbered route steps, and logistics cues when the section contains travel, dungeon, combat, cold, or branch language."
section_walkthrough,TB042-SECTION-004,drafts/final-guide/main-guide-v1.md,Bleak Falls Barrow and First Dragon,Bleak Falls Barrow and First Dragon,section_executability,Bleak Falls Barrow and First Dragon,pass_section_executable,none,18 numbered steps; support cues found: rotating manual save; food; healing; rest; bed; inn; storage; carry.,"Simulated playtest verifies the section has a clear player start, numbered route steps, and logistics cues when the section contains travel, dungeon, combat, cold, or branch language."
section_walkthrough,TB042-SECTION-005,drafts/final-guide/main-guide-v1.md,"Saadia, First Horse, Falkreath Mead, and Western Road Support","Saadia, First Horse, Falkreath Mead, and Western Road Support",section_executability,"Saadia, First Horse, Falkreath Mead, and Western Road Support",pass_section_executable,none,16 numbered steps; support cues found: rotating manual save; food; rest; sleep; bed; inn; storage; sell ordinary.,"Simulated playtest verifies the section has a clear player start, numbered route steps, and logistics cues when the section contains travel, dungeon, combat, cold, or branch language."
section_walkthrough,TB042-SECTION-006,drafts/final-guide/main-guide-v1.md,Rising Dead Early Activation,Rising Dead Early Activation,section_executability,Rising Dead Early Activation,pass_section_executable,none,6 numbered steps; support cues found: rotating manual save; food; healing; bed; store; sell ordinary.,"Simulated playtest verifies the section has a clear player start, numbered route steps, and logistics cues when the section contains travel, dungeon, combat, cold, or branch language."
section_walkthrough,TB042-SECTION-007,drafts/final-guide/main-guide-v1.md,Guardian Stones Cache and Whiterun Farm Loop,Guardian Stones Cache and Whiterun Farm Loop,section_executability,Guardian Stones Cache and Whiterun Farm Loop,pass_section_executable,none,13 numbered steps; support cues found: rotating manual save; food; rest; inn; sell ordinary; support stop.,"Simulated playtest verifies the section has a clear player start, numbered route steps, and logistics cues when the section contains travel, dungeon, combat, cold, or branch language."
section_walkthrough,TB042-SECTION-008,drafts/final-guide/main-guide-v1.md,Halted Stream and Silent Moons Level Gate,Halted Stream and Silent Moons Level Gate,section_executability,Halted Stream and Silent Moons Level Gate,pass_section_executable,none,33 numbered steps; support cues found: rotating manual save; hard save; food; rest; store; storage; sell ordinary; carry.,"Simulated playtest verifies the section has a clear player start, numbered route steps, and logistics cues when the section contains travel, dungeon, combat, cold, or branch language."
section_walkthrough,TB042-SECTION-009,drafts/final-guide/main-guide-v1.md,Goldenhills Farm and Rorikstead,Goldenhills Farm and Rorikstead,section_executability,Goldenhills Farm and Rorikstead,pass_section_executable,none,31 numbered steps; support cues found: rotating manual save; hard save; food; rest; sleep; bed; inn; storage.,"Simulated playtest verifies the section has a clear player start, numbered route steps, and logistics cues when the section contains travel, dungeon, combat, cold, or branch language."
section_walkthrough,TB042-SECTION-010,drafts/final-guide/main-guide-v1.md,Companions Entry,Companions Entry,section_executability,Companions Entry,pass_section_executable,none,18 numbered steps; support cues found: rotating manual save; hard save; food; healing; rest; sleep; carry.,"Simulated playtest verifies the section has a clear player start, numbered route steps, and logistics cues when the section contains travel, dungeon, combat, cold, or branch language."
section_walkthrough,TB042-SECTION-011,drafts/final-guide/main-guide-v1.md,Beast Blood and the Silver Hand,Beast Blood and the Silver Hand,section_executability,Beast Blood and the Silver Hand,pass_section_executable,none,14 numbered steps; support cues found: rotating manual save; hard save; food; healing; rest; sleep; bed; inn.,"Simulated playtest verifies the section has a clear player start, numbered route steps, and logistics cues when the section contains travel, dungeon, combat, cold, or branch language."
section_walkthrough,TB042-SECTION-012,drafts/final-guide/main-guide-v1.md,"Falkreath Land, Lakeview Foundation, and Glenmoril Coven","Falkreath Land, Lakeview Foundation, and Glenmoril Coven",section_executability,"Falkreath Land, Lakeview Foundation, and Glenmoril Coven",pass_section_executable,none,27 numbered steps; support cues found: rotating manual save; hard save; food; healing; rest; bed; sell ordinary; carry.,"Simulated playtest verifies the section has a clear player start, numbered route steps, and logistics cues when the section contains travel, dungeon, combat, cold, or branch language."
section_walkthrough,TB042-SECTION-013,drafts/final-guide/main-guide-v1.md,Southern Warm Corridor,Southern Warm Corridor,section_executability,Southern Warm Corridor,pass_section_executable,none,36 numbered steps; support cues found: rotating manual save; hard save; food; healing; rest; sleep; bed; inn.,"Simulated playtest verifies the section has a clear player start, numbered route steps, and logistics cues when the section contains travel, dungeon, combat, cold, or branch language."
section_walkthrough,TB042-SECTION-014,drafts/final-guide/main-guide-v1.md,Hircine and Bloated Man's Grotto,Hircine and Bloated Man's Grotto,section_executability,Hircine and Bloated Man's Grotto,pass_section_executable,none,18 numbered steps; support cues found: rotating manual save; hard save; food; healing; rest; sleep; bed; store.,"Simulated playtest verifies the section has a clear player start, numbered route steps, and logistics cues when the section contains travel, dungeon, combat, cold, or branch language."
section_walkthrough,TB042-SECTION-015,drafts/final-guide/main-guide-v1.md,First Riften Visit and Guild Doorway,First Riften Visit and Guild Doorway,section_executability,First Riften Visit and Guild Doorway,pass_section_executable,none,39 numbered steps; support cues found: rotating manual save; hard save; food; healing; rest; sleep; bed; inn.,"Simulated playtest verifies the section has a clear player start, numbered route steps, and logistics cues when the section contains travel, dungeon, combat, cold, or branch language."
section_walkthrough,TB042-SECTION-016,drafts/final-guide/main-guide-v1.md,"Goldenglow, Honningbrew, Solitude, and Snow Veil","Goldenglow, Honningbrew, Solitude, and Snow Veil",section_executability,"Goldenglow, Honningbrew, Solitude, and Snow Veil",pass_section_executable,none,52 numbered steps; support cues found: rotating manual save; hard save; food; healing; rest; bed; inn; carry.,"Simulated playtest verifies the section has a clear player start, numbered route steps, and logistics cues when the section contains travel, dungeon, combat, cold, or branch language."
section_walkthrough,TB042-SECTION-017,drafts/final-guide/main-guide-v1.md,"Riften Thaneship, Frost, and Rift Roads","Riften Thaneship, Frost, and Rift Roads",section_executability,"Riften Thaneship, Frost, and Rift Roads",pass_section_executable,none,75 numbered steps; support cues found: rotating manual save; hard save; food; healing; rest; sleep; bed; inn.,"Simulated playtest verifies the section has a clear player start, numbered route steps, and logistics cues when the section contains travel, dungeon, combat, cold, or branch language."
