checklist_id,checklist_tab,checklist_entry,category,mapping_type,coverage_matrix_status,objective_id,matched_objective_name,guide_literal_checklist_id_match,guide_mapped_objective_id_match,guide_entry_match,internal_checklist_coverage_row_count,internal_objective_coverage_row_count,audit_status,coverage_statuses,completion_statuses,guide_locations,recommended_action,notes
CHK-QUESTS-0001,Quests,Unbound,quest,Main-route prototype block,mapped_to_route_prototype,OBJ-000001,Unbound,N,N,Y,0,1,covered_by_mapped_objective_internal_coverage,completed_now,complete,Helgen Riverwood And First Survival Loop,none,
CHK-QUESTS-0002,Quests,Before the Storm,quest,Main-route prototype block,mapped_to_route_prototype,OBJ-000002,Before the Storm,N,N,Y,0,2,covered_by_mapped_objective_internal_coverage,advanced_not_completed | completed_now,complete | staged_for_mr003_completion,First Day In Whiterun | Helgen Riverwood And First Survival Loop,none,
CHK-QUESTS-0003,Quests,Bleak Falls Barrow,quest,Main-route prototype block,mapped_to_route_prototype,OBJ-000003,Bleak Falls Barrow,N,N,Y,0,3,covered_by_mapped_objective_internal_coverage,completed_now | started_not_completed,complete | staged_for_mr004_completion,Bleak Falls Barrow And First Dragon | First Day In Whiterun | Helgen Riverwood And First Survival Loop,none,
CHK-QUESTS-0004,Quests,Dragon Rising,quest,Main-route prototype block,mapped_to_route_prototype,OBJ-000004,Dragon Rising,N,N,Y,0,1,covered_by_mapped_objective_internal_coverage,completed_now,complete,Bleak Falls Barrow And First Dragon,none,
CHK-QUESTS-0005,Quests,The Way of the Voice,quest,Main-route prototype block,mapped_to_route_prototype,OBJ-000005,The Way of the Voice,N,N,N,1,2,covered_by_internal_checklist_coverage,placed_in_guide,complete,Main Quest Staging Before Sky Haven,none,
CHK-QUESTS-0006,Quests,The Horn of Jurgen Windcaller,quest,Main-route prototype block,mapped_to_route_prototype,OBJ-000006,The Horn of Jurgen Windcaller,N,N,Y,1,1,covered_by_internal_checklist_coverage,placed_in_guide,complete,Main Quest Staging Before Sky Haven,none,
CHK-QUESTS-0007,Quests,A Blade in the Dark,quest,Main-route prototype block,mapped_to_route_prototype,OBJ-000007,A Blade in the Dark,N,N,Y,1,1,covered_by_internal_checklist_coverage,placed_in_guide,complete,Main Quest Staging Before Sky Haven,none,
CHK-QUESTS-0008,Quests,Diplomatic Immunity,quest,Main-route prototype block,mapped_to_route_prototype,OBJ-000008,Diplomatic Immunity,N,N,Y,1,2,covered_by_internal_checklist_coverage,placed_in_guide,complete,Main Quest Staging Before Sky Haven,none,
CHK-QUESTS-0009,Quests,A Cornered Rat,quest,Main-route prototype block,mapped_to_route_prototype,OBJ-000009,A Cornered Rat,N,N,Y,1,1,covered_by_internal_checklist_coverage,placed_in_guide,complete,Main Quest Staging Before Sky Haven,none,
CHK-QUESTS-0010,Quests,Alduin's Wall,quest,Main-route prototype block,mapped_to_route_prototype,OBJ-000010,Alduin's Wall,N,N,Y,3,3,covered_by_internal_checklist_coverage,not_completed_here | not_started_here | placed_in_guide,complete | staged_for_level_46_sky_haven_dragonbane,Karthspire Sky Haven And Dragonbane | Main Quest Staging Before Sky Haven | Markarth Nchuand-Zel And Old Hroldan,none,
