perk_rank_record_id,perk_node_record_id,skill_record_id,skill_name,specialization,perk_node_name,perk_rank,perk_max_ranks,skill_requirement_level,skill_requirement_text,prerequisite_perks,description,form_id,parent_perk_tree_objective_id,source_content,source_page,source_id,citations,route_treatment,notes
PERKRANK-000001,PERKNODE-000001,SKILL-000001,Alteration,magic,Novice Alteration,1,1,0,none,none,Cast Novice level Alteration spells for half magicka.,000f2ca6,OBJ-002445,base_game,https://en.uesp.net/wiki/Skyrim:Alteration,SRC-000269,SN-000082-individual-perk-rank-catalog.md,source_listed_perk_rank,Source-listed perk-rank row; allocation timing and route order deferred to TB-020.
PERKRANK-000002,PERKNODE-000002,SKILL-000001,Alteration,magic,Alteration Dual Casting,1,1,20,20 Alteration,Novice Alteration,Dual casting an Alteration spell overcharges the effects into an even more powerful version.,000153cd,OBJ-002445,base_game,https://en.uesp.net/wiki/Skyrim:Alteration,SRC-000269,SN-000082-individual-perk-rank-catalog.md,source_listed_perk_rank,Source-listed perk-rank row; allocation timing and route order deferred to TB-020.
PERKRANK-000003,PERKNODE-000003,SKILL-000001,Alteration,magic,Apprentice Alteration,1,1,25,25 Alteration,Novice Alteration,Cast Apprentice level Alteration spells for half magicka.,000c44b7,OBJ-002445,base_game,https://en.uesp.net/wiki/Skyrim:Alteration,SRC-000269,SN-000082-individual-perk-rank-catalog.md,source_listed_perk_rank,Source-listed perk-rank row; allocation timing and route order deferred to TB-020.
PERKRANK-000004,PERKNODE-000004,SKILL-000001,Alteration,magic,Magic Resistance,1,3,30,30 Alteration,Apprentice Alteration,Blocks 10% of a spell's effects.,00053128,OBJ-002445,base_game,https://en.uesp.net/wiki/Skyrim:Alteration,SRC-000269,SN-000082-individual-perk-rank-catalog.md,source_listed_perk_rank,Source-listed perk-rank row; allocation timing and route order deferred to TB-020.
PERKRANK-000005,PERKNODE-000004,SKILL-000001,Alteration,magic,Magic Resistance,2,3,50,50 Alteration,Apprentice Alteration,Blocks 20% of a spell's effects.,00053129,OBJ-002445,base_game,https://en.uesp.net/wiki/Skyrim:Alteration,SRC-000269,SN-000082-individual-perk-rank-catalog.md,source_listed_perk_rank,Source-listed perk-rank row; allocation timing and route order deferred to TB-020.
PERKRANK-000006,PERKNODE-000004,SKILL-000001,Alteration,magic,Magic Resistance,3,3,70,70 Alteration,Apprentice Alteration,Blocks 30% of a spell's effects.,0005312a,OBJ-002445,base_game,https://en.uesp.net/wiki/Skyrim:Alteration,SRC-000269,SN-000082-individual-perk-rank-catalog.md,source_listed_perk_rank,Source-listed perk-rank row; allocation timing and route order deferred to TB-020.
PERKRANK-000007,PERKNODE-000005,SKILL-000001,Alteration,magic,Adept Alteration,1,1,50,50 Alteration,Apprentice Alteration,Cast Adept level Alteration spells for half magicka.,000c44b8,OBJ-002445,base_game,https://en.uesp.net/wiki/Skyrim:Alteration,SRC-000269,SN-000082-individual-perk-rank-catalog.md,source_listed_perk_rank,Source-listed perk-rank row; allocation timing and route order deferred to TB-020.
PERKRANK-000008,PERKNODE-000006,SKILL-000001,Alteration,magic,Expert Alteration,1,1,75,75 Alteration,Adept Alteration,Cast Expert level Alteration spells for half magicka.,000c44b9,OBJ-002445,base_game,https://en.uesp.net/wiki/Skyrim:Alteration,SRC-000269,SN-000082-individual-perk-rank-catalog.md,source_listed_perk_rank,Source-listed perk-rank row; allocation timing and route order deferred to TB-020.
PERKRANK-000009,PERKNODE-000007,SKILL-000001,Alteration,magic,Atronach,1,1,100,100 Alteration,Expert Alteration,Absorb 30% of the magicka of any spells that hit you.,000581f7,OBJ-002445,base_game,https://en.uesp.net/wiki/Skyrim:Alteration,SRC-000269,SN-000082-individual-perk-rank-catalog.md,source_listed_perk_rank,Source-listed perk-rank row; allocation timing and route order deferred to TB-020.
PERKRANK-000010,PERKNODE-000008,SKILL-000001,Alteration,magic,Master Alteration,1,1,100,100 Alteration,Expert Alteration,Cast Master level Alteration spells for half magicka.,000c44ba,OBJ-002445,base_game,https://en.uesp.net/wiki/Skyrim:Alteration,SRC-000269,SN-000082-individual-perk-rank-catalog.md,source_listed_perk_rank,Source-listed perk-rank row; allocation timing and route order deferred to TB-020.
