item_member_id,parent_objective_id,parent_objective_name,source_creation,item_name,item_category,source_content,source_page,source_id,source_section,existing_objective_id,source_table_detail,route_treatment,citations,notes
ITEM-000001,OBJ-000693,Arcane Accessories Spell Tome and Robe Set,Arcane Accessories,Novice Robes of Destruction & Alteration,apparel,ae_creation,https://en.uesp.net/wiki/Skyrim:Arcane_Accessories_Items,SRC-000102,Robes of Destruction & Alteration,,1 | 877 | 0 | 1,source_listed_member,SN-000069-ae-magic-staff-and-station-member-expansion.md,Member/acquisition detail captured for parent-set expansion; exact route selection and checklist mapping deferred.
ITEM-000002,OBJ-000693,Arcane Accessories Spell Tome and Robe Set,Arcane Accessories,Apprentice Robes of Destruction & Alteration,apparel,ae_creation,https://en.uesp.net/wiki/Skyrim:Arcane_Accessories_Items,SRC-000102,Robes of Destruction & Alteration,,1 | 1116 | 0 | 8,source_listed_member,SN-000069-ae-magic-staff-and-station-member-expansion.md,Member/acquisition detail captured for parent-set expansion; exact route selection and checklist mapping deferred.
ITEM-000003,OBJ-000693,Arcane Accessories Spell Tome and Robe Set,Arcane Accessories,Adept Robes of Destruction & Alteration,apparel,ae_creation,https://en.uesp.net/wiki/Skyrim:Arcane_Accessories_Items,SRC-000102,Robes of Destruction & Alteration,,1 | 1279 | 0 | 16,source_listed_member,SN-000069-ae-magic-staff-and-station-member-expansion.md,Member/acquisition detail captured for parent-set expansion; exact route selection and checklist mapping deferred.
ITEM-000004,OBJ-000693,Arcane Accessories Spell Tome and Robe Set,Arcane Accessories,Expert Robes of Destruction & Alteration,apparel,ae_creation,https://en.uesp.net/wiki/Skyrim:Arcane_Accessories_Items,SRC-000102,Robes of Destruction & Alteration,,1 | 1526 | 0 | 24,source_listed_member,SN-000069-ae-magic-staff-and-station-member-expansion.md,Member/acquisition detail captured for parent-set expansion; exact route selection and checklist mapping deferred.
ITEM-000005,OBJ-000693,Arcane Accessories Spell Tome and Robe Set,Arcane Accessories,Master Robes of Destruction & Alteration,apparel,ae_creation,https://en.uesp.net/wiki/Skyrim:Arcane_Accessories_Items,SRC-000102,Robes of Destruction & Alteration,,1 | 1693 | 0 | 32,source_listed_member,SN-000069-ae-magic-staff-and-station-member-expansion.md,Member/acquisition detail captured for parent-set expansion; exact route selection and checklist mapping deferred.
ITEM-000006,OBJ-000693,Arcane Accessories Spell Tome and Robe Set,Arcane Accessories,Novice Robes of Conjuration & Illusion,apparel,ae_creation,https://en.uesp.net/wiki/Skyrim:Arcane_Accessories_Items,SRC-000102,Robes of Conjuration & Illusion,,1 | 892 | 0 | 1,source_listed_member,SN-000069-ae-magic-staff-and-station-member-expansion.md,Member/acquisition detail captured for parent-set expansion; exact route selection and checklist mapping deferred.
ITEM-000007,OBJ-000693,Arcane Accessories Spell Tome and Robe Set,Arcane Accessories,Apprentice Robes of Conjuration & Illusion,apparel,ae_creation,https://en.uesp.net/wiki/Skyrim:Arcane_Accessories_Items,SRC-000102,Robes of Conjuration & Illusion,,1 | 1136 | 0 | 8,source_listed_member,SN-000069-ae-magic-staff-and-station-member-expansion.md,Member/acquisition detail captured for parent-set expansion; exact route selection and checklist mapping deferred.
ITEM-000008,OBJ-000693,Arcane Accessories Spell Tome and Robe Set,Arcane Accessories,Adept Robes of Conjuration & Illusion,apparel,ae_creation,https://en.uesp.net/wiki/Skyrim:Arcane_Accessories_Items,SRC-000102,Robes of Conjuration & Illusion,,1 | 1301 | 0 | 16,source_listed_member,SN-000069-ae-magic-staff-and-station-member-expansion.md,Member/acquisition detail captured for parent-set expansion; exact route selection and checklist mapping deferred.
ITEM-000009,OBJ-000693,Arcane Accessories Spell Tome and Robe Set,Arcane Accessories,Expert Robes of Conjuration & Illusion,apparel,ae_creation,https://en.uesp.net/wiki/Skyrim:Arcane_Accessories_Items,SRC-000102,Robes of Conjuration & Illusion,,1 | 1553 | 0 | 24,source_listed_member,SN-000069-ae-magic-staff-and-station-member-expansion.md,Member/acquisition detail captured for parent-set expansion; exact route selection and checklist mapping deferred.
ITEM-000010,OBJ-000693,Arcane Accessories Spell Tome and Robe Set,Arcane Accessories,Master Robes of Conjuration & Illusion,apparel,ae_creation,https://en.uesp.net/wiki/Skyrim:Arcane_Accessories_Items,SRC-000102,Robes of Conjuration & Illusion,,1 | 1723 | 0 | 32,source_listed_member,SN-000069-ae-magic-staff-and-station-member-expansion.md,Member/acquisition detail captured for parent-set expansion; exact route selection and checklist mapping deferred.
ITEM-000011,OBJ-000693,Arcane Accessories Spell Tome and Robe Set,Arcane Accessories,Mage Robes,apparel_template,ae_creation,https://en.uesp.net/wiki/Skyrim:Arcane_Accessories_Items,SRC-000102,Templates,,1 | 15 | Used by Robes of Conjuration & Illusion,excluded_template_or_internal,SN-000069-ae-magic-staff-and-station-member-expansion.md,Member/acquisition detail captured for parent-set expansion; exact route selection and checklist mapping deferred.
ITEM-000012,OBJ-000693,Arcane Accessories Spell Tome and Robe Set,Arcane Accessories,Mage Robes,apparel_template,ae_creation,https://en.uesp.net/wiki/Skyrim:Arcane_Accessories_Items,SRC-000102,Templates,,1 | 15 | Used by Robes of Destruction & Alteration.,excluded_template_or_internal,SN-000069-ae-magic-staff-and-station-member-expansion.md,Member/acquisition detail captured for parent-set expansion; exact route selection and checklist mapping deferred.
ITEM-000013,OBJ-000693,Arcane Accessories Spell Tome and Robe Set,Arcane Accessories,Spell Tome: Choking Grasp,spell_tome,ae_creation,https://en.uesp.net/wiki/Skyrim:Arcane_Accessories_Items,SRC-000102,Spell Tomes,OBJ-000986,"65 | Absorb 8 points of health per second from target, for 3 seconds.",already_tracked_in_spell_tome_table,SN-000069-ae-magic-staff-and-station-member-expansion.md,Member/acquisition detail captured for parent-set expansion; exact route selection and checklist mapping deferred.
