row_kind,row_id,objective_id,checklist_id,display_name,checklist_entry,category,subcategory,checklist_tab,mapping_type,route_placement,source_content,support_table_rows,support_tables,support_names,guide_name_match,coverage_source,internal_coverage_row_count,learn_or_discover_treatment,craft_action_treatment,investment_treatment,skill_or_perk_treatment,storage_treatment,hold_or_stage_treatment,route_resolution_treatment,exclusion_treatment,branch_treatment,audit_status,coverage_statuses,completion_statuses,guide_locations,guide_cues,recommended_action,notes
progression_objective,OBJ-000129,OBJ-000129,,Alteration Ritual Spell,,quest,college_master_skill_quest,,,main_route,base_game,0,,,Y,objective,4,N,N,N,Y,N,Y,N,N,N,progression_objective_covered,audited_not_started_here | conditional_acquisition_instruction | master_ritual_gate_completed | staged_for_all_perks_loop,complete_after_ritual_reward_and_vendor_check | conditional | staged_for_skill_90_plus | staged_for_skill_gate,All-Perks Loop | All-perks master ritual gate | College Errands Arniel Septimus And Aetherium | Haafingar Caves Volskygge And Night Hunter,Alteration 90 ritual Dragonhide Mass Paralysis | Alteration Ritual Spell held for all-perks loop | Alteration Ritual Spell held for late skill route | [CHECKLIST: Unique Gear - Kahvozein's Fang acquired] if present,none,
progression_objective,OBJ-000130,OBJ-000130,,Conjuration Ritual Spell,,quest,college_master_skill_quest,,,main_route,base_game,0,,,Y,objective,3,N,N,N,Y,N,Y,N,N,N,progression_objective_covered,audited_not_started_here | master_ritual_gate_completed | staged_for_all_perks_loop,complete_after_ritual_reward_and_vendor_check | staged_for_skill_90_plus | staged_for_skill_gate,All-Perks Loop | All-perks master ritual gate | College Errands Arniel Septimus And Aetherium,Conjuration 90 ritual Sigil Stone thrall tomes | Conjuration Ritual Spell held for all-perks loop | Conjuration Ritual Spell held for late skill route,none,
progression_objective,OBJ-000131,OBJ-000131,,Destruction Ritual Spell,,quest,college_master_skill_quest,,,main_route,base_game,0,,,Y,objective,3,N,N,N,Y,N,Y,N,N,N,progression_objective_covered,audited_not_started_here | master_ritual_gate_completed | staged_for_all_perks_loop,complete_after_ritual_reward_and_vendor_check | staged_for_skill_100_plus | staged_for_skill_gate,All-Perks Loop | All-perks master ritual gate | College Errands Arniel Septimus And Aetherium,Destruction 100 ritual Power of the Elements master spells | Destruction Ritual Spell held for all-perks loop | Destruction Ritual Spell held for late skill route,none,
progression_objective,OBJ-000132,OBJ-000132,,Illusion Ritual Spell,,quest,college_master_skill_quest,,,main_route,base_game,0,,,Y,objective,3,N,N,N,Y,N,Y,N,N,N,progression_objective_covered,audited_not_started_here | master_ritual_gate_completed | staged_for_all_perks_loop,complete_after_ritual_reward_and_vendor_check | staged_for_skill_100_plus | staged_for_skill_gate,All-Perks Loop | All-perks master ritual gate | College Errands Arniel Septimus And Aetherium,Illusion 100 ritual Master Illusion Texts master spells | Illusion Ritual Spell held for all-perks loop | Illusion Ritual Spell held for late skill route,none,
progression_objective,OBJ-000133,OBJ-000133,,Restoration Ritual Spell,,quest,college_master_skill_quest,,,main_route,base_game,0,,,Y,objective,3,N,N,N,Y,N,Y,N,N,N,progression_objective_covered,audited_not_started_here | master_ritual_gate_completed | staged_for_all_perks_loop,complete_after_ritual_reward_and_vendor_check | staged_for_skill_90_plus | staged_for_skill_gate,All-Perks Loop | All-perks master ritual gate | College Errands Arniel Septimus And Aetherium,Restoration 90 ritual Bane of the Undead Guardian Circle | Restoration Ritual Spell held for all-perks loop | Restoration Ritual Spell held for late skill route,none,
progression_objective,OBJ-000348,OBJ-000348,,Alchemy Tutorial,,misc_objective,tutorial_misc,,,main_route,base_game,1,practical-crafting-system-catalog.csv,Alchemy,Y,objective,3,Y,Y,N,Y,N,Y,N,N,N,progression_objective_covered,completed_earlier | completed_now | staged_for_mr003,complete | complete_in_mr003 | staged_for_mr003_completion,Falkreath Land Lakeview Foundation And Glenmoril Coven | First Day In Whiterun | Helgen Riverwood And First Survival Loop,Alchemy Tutorial routed with Arcadia in MR-003 | Quest - Alchemy Tutorial,none,
progression_objective,OBJ-000349,OBJ-000349,,Blacksmithing Tutorial,,misc_objective,tutorial_misc,,,main_route,base_game,3,practical-crafting-system-catalog.csv,Smelting | Smithing | Tanning,Y,objective,2,Y,Y,N,Y,N,Y,N,Y,N,progression_objective_covered,completed_earlier | completed_now,complete | complete_in_mr002,Falkreath Land Lakeview Foundation And Glenmoril Coven | Helgen Riverwood And First Survival Loop,Quest - Blacksmithing Tutorial,none,
progression_objective,OBJ-000350,OBJ-000350,,Enchanting Tutorial,,misc_objective,tutorial_misc,,,main_route,base_game,1,practical-crafting-system-catalog.csv,Enchanting,Y,objective,1,Y,Y,N,Y,N,Y,Y,N,N,progression_objective_route_resolution_recorded,needs_route_resolution_added,NEEDS ROUTE RESOLUTION,Final Reconciliation open route-resolution items,NEEDS ROUTE RESOLUTION: OBJ-000350 Enchanting Tutorial,none_existing_route_resolution,
progression_objective,OBJ-000696,OBJ-000696,,Staves Creation Staff Set,,crafting_unlock,ae_staff_set,,,main_route,ae_creation,1,practical-crafting-system-catalog.csv,Staff Enchanting,Y,objective,1,Y,Y,N,Y,N,Y,Y,Y,N,progression_objective_route_resolution_recorded,needs_route_resolution_added,NEEDS ROUTE RESOLUTION,Final Reconciliation open route-resolution items,NEEDS ROUTE RESOLUTION: OBJ-000696 Staves Creation Staff Set,none_existing_route_resolution,
progression_objective,OBJ-000697,OBJ-000697,,"Rare Curios Ammunition, Ingredient, and Curio Set",,crafting_unlock,ae_ingredient_material_set,,,main_route,ae_creation,0,,,Y,objective,1,N,Y,N,Y,N,Y,Y,Y,N,progression_objective_route_resolution_recorded,needs_route_resolution_added,NEEDS ROUTE RESOLUTION,Final Reconciliation open route-resolution items,"NEEDS ROUTE RESOLUTION: OBJ-000697 Rare Curios Ammunition, Ingredient, and Curio Set",none_existing_route_resolution,
progression_objective,OBJ-000698,OBJ-000698,,"Saints and Seducers Item, Material, and Curio Set",,crafting_unlock,ae_ingredient_material_set,,,main_route,ae_creation,0,,,Y,objective,1,N,Y,N,Y,N,Y,Y,Y,N,progression_objective_route_resolution_recorded,needs_route_resolution_added,NEEDS ROUTE RESOLUTION,Final Reconciliation open route-resolution items,"NEEDS ROUTE RESOLUTION: OBJ-000698 Saints and Seducers Item, Material, and Curio Set",none_existing_route_resolution,
progression_objective,OBJ-000699,OBJ-000699,,Plague of the Dead Mort Flesh Ingredient Set,,crafting_unlock,ae_ingredient_material_set,,,main_route,ae_creation,0,,,Y,objective,2,Y,Y,N,N,Y,Y,Y,N,N,progression_objective_route_resolution_recorded,needs_route_resolution_added | progressed_in_guide,NEEDS ROUTE RESOLUTION | in_progress,Rising Dead Early Activation | TB-038R order and delayed-task repair register,Mort Flesh acquired | NEEDS ROUTE RESOLUTION: OBJ-000699 Plague of the Dead Mort Flesh Ingredient Set,none_existing_route_resolution,
