skill_record_id,skill_name,specialization,source_content,source_page,source_id,skill_100_objective_id,perk_tree_objective_id,perk_nodes,perk_ranks,skill_completion_boundary,perk_completion_boundary,legendary_reset_relevance,route_treatment,citations,notes
SKILL-000001,Alteration,magic,base_game,https://en.uesp.net/wiki/Skyrim:Skills,SRC-000268,OBJ-002426,OBJ-002445,10,14,Reach Alteration skill level 100 at least once.,Acquire all 14 Alteration perk ranks across 10 source-listed perk nodes.,Can be reset after skill level 100 if selected for the all-perks level plan; exact reset timing deferred to TB-020.,source_listed_skill_tree,SN-000081-skill-perk-foundation.md,Foundation row from UESP Skills table; individual perk names and requirements remain TB-009B.
SKILL-000002,Conjuration,magic,base_game,https://en.uesp.net/wiki/Skyrim:Skills,SRC-000268,OBJ-002427,OBJ-002446,15,16,Reach Conjuration skill level 100 at least once.,Acquire all 16 Conjuration perk ranks across 15 source-listed perk nodes.,Can be reset after skill level 100 if selected for the all-perks level plan; exact reset timing deferred to TB-020.,source_listed_skill_tree,SN-000081-skill-perk-foundation.md,Foundation row from UESP Skills table; individual perk names and requirements remain TB-009B.
SKILL-000003,Destruction,magic,base_game,https://en.uesp.net/wiki/Skyrim:Skills,SRC-000268,OBJ-002428,OBJ-002447,14,17,Reach Destruction skill level 100 at least once.,Acquire all 17 Destruction perk ranks across 14 source-listed perk nodes.,Can be reset after skill level 100 if selected for the all-perks level plan; exact reset timing deferred to TB-020.,source_listed_skill_tree,SN-000081-skill-perk-foundation.md,Foundation row from UESP Skills table; individual perk names and requirements remain TB-009B.
SKILL-000004,Enchanting,magic,base_game,https://en.uesp.net/wiki/Skyrim:Skills,SRC-000268,OBJ-002429,OBJ-002448,9,13,Reach Enchanting skill level 100 at least once.,Acquire all 13 Enchanting perk ranks across 9 source-listed perk nodes.,Can be reset after skill level 100 if selected for the all-perks level plan; exact reset timing deferred to TB-020.,source_listed_skill_tree,SN-000081-skill-perk-foundation.md,Foundation row from UESP Skills table; individual perk names and requirements remain TB-009B.
SKILL-000005,Illusion,magic,base_game,https://en.uesp.net/wiki/Skyrim:Skills,SRC-000268,OBJ-002430,OBJ-002449,13,13,Reach Illusion skill level 100 at least once.,Acquire all 13 Illusion perk ranks across 13 source-listed perk nodes.,Can be reset after skill level 100 if selected for the all-perks level plan; exact reset timing deferred to TB-020.,source_listed_skill_tree,SN-000081-skill-perk-foundation.md,Foundation row from UESP Skills table; individual perk names and requirements remain TB-009B.
SKILL-000006,Restoration,magic,base_game,https://en.uesp.net/wiki/Skyrim:Skills,SRC-000268,OBJ-002431,OBJ-002450,12,13,Reach Restoration skill level 100 at least once.,Acquire all 13 Restoration perk ranks across 12 source-listed perk nodes.,Can be reset after skill level 100 if selected for the all-perks level plan; exact reset timing deferred to TB-020.,source_listed_skill_tree,SN-000081-skill-perk-foundation.md,Foundation row from UESP Skills table; individual perk names and requirements remain TB-009B.
SKILL-000007,Archery,combat,base_game,https://en.uesp.net/wiki/Skyrim:Skills,SRC-000268,OBJ-002432,OBJ-002451,9,16,Reach Archery skill level 100 at least once.,Acquire all 16 Archery perk ranks across 9 source-listed perk nodes.,Can be reset after skill level 100 if selected for the all-perks level plan; exact reset timing deferred to TB-020.,source_listed_skill_tree,SN-000081-skill-perk-foundation.md,Foundation row from UESP Skills table; individual perk names and requirements remain TB-009B.
SKILL-000008,Block,combat,base_game,https://en.uesp.net/wiki/Skyrim:Skills,SRC-000268,OBJ-002433,OBJ-002452,9,13,Reach Block skill level 100 at least once.,Acquire all 13 Block perk ranks across 9 source-listed perk nodes.,Can be reset after skill level 100 if selected for the all-perks level plan; exact reset timing deferred to TB-020.,source_listed_skill_tree,SN-000081-skill-perk-foundation.md,Foundation row from UESP Skills table; individual perk names and requirements remain TB-009B.
SKILL-000009,Heavy Armor,combat,base_game,https://en.uesp.net/wiki/Skyrim:Skills,SRC-000268,OBJ-002434,OBJ-002453,8,12,Reach Heavy Armor skill level 100 at least once.,Acquire all 12 Heavy Armor perk ranks across 8 source-listed perk nodes.,Can be reset after skill level 100 if selected for the all-perks level plan; exact reset timing deferred to TB-020.,source_listed_skill_tree,SN-000081-skill-perk-foundation.md,Foundation row from UESP Skills table; individual perk names and requirements remain TB-009B.
SKILL-000010,One-handed,combat,base_game,https://en.uesp.net/wiki/Skyrim:Skills,SRC-000268,OBJ-002435,OBJ-002454,10,21,Reach One-handed skill level 100 at least once.,Acquire all 21 One-handed perk ranks across 10 source-listed perk nodes.,Can be reset after skill level 100 if selected for the all-perks level plan; exact reset timing deferred to TB-020.,source_listed_skill_tree,SN-000081-skill-perk-foundation.md,Foundation row from UESP Skills table; individual perk names and requirements remain TB-009B.
SKILL-000011,Smithing,combat,base_game,https://en.uesp.net/wiki/Skyrim:Skills,SRC-000268,OBJ-002436,OBJ-002455,10,10,Reach Smithing skill level 100 at least once.,Acquire all 10 Smithing perk ranks across 10 source-listed perk nodes.,Can be reset after skill level 100 if selected for the all-perks level plan; exact reset timing deferred to TB-020.,source_listed_skill_tree,SN-000081-skill-perk-foundation.md,Foundation row from UESP Skills table; individual perk names and requirements remain TB-009B.
SKILL-000012,Two-handed,combat,base_game,https://en.uesp.net/wiki/Skyrim:Skills,SRC-000268,OBJ-002437,OBJ-002456,9,19,Reach Two-handed skill level 100 at least once.,Acquire all 19 Two-handed perk ranks across 9 source-listed perk nodes.,Can be reset after skill level 100 if selected for the all-perks level plan; exact reset timing deferred to TB-020.,source_listed_skill_tree,SN-000081-skill-perk-foundation.md,Foundation row from UESP Skills table; individual perk names and requirements remain TB-009B.
SKILL-000013,Alchemy,stealth,base_game,https://en.uesp.net/wiki/Skyrim:Skills,SRC-000268,OBJ-002438,OBJ-002457,9,15,Reach Alchemy skill level 100 at least once.,Acquire all 15 Alchemy perk ranks across 9 source-listed perk nodes.,Can be reset after skill level 100 if selected for the all-perks level plan; exact reset timing deferred to TB-020.,source_listed_skill_tree,SN-000081-skill-perk-foundation.md,Foundation row from UESP Skills table; individual perk names and requirements remain TB-009B.
SKILL-000014,Light Armor,stealth,base_game,https://en.uesp.net/wiki/Skyrim:Skills,SRC-000268,OBJ-002439,OBJ-002458,6,10,Reach Light Armor skill level 100 at least once.,Acquire all 10 Light Armor perk ranks across 6 source-listed perk nodes.,Can be reset after skill level 100 if selected for the all-perks level plan; exact reset timing deferred to TB-020.,source_listed_skill_tree,SN-000081-skill-perk-foundation.md,Foundation row from UESP Skills table; individual perk names and requirements remain TB-009B.
SKILL-000015,Lockpicking,stealth,base_game,https://en.uesp.net/wiki/Skyrim:Skills,SRC-000268,OBJ-002440,OBJ-002459,11,11,Reach Lockpicking skill level 100 at least once.,Acquire all 11 Lockpicking perk ranks across 11 source-listed perk nodes.,Can be reset after skill level 100 if selected for the all-perks level plan; exact reset timing deferred to TB-020.,source_listed_skill_tree,SN-000081-skill-perk-foundation.md,Foundation row from UESP Skills table; individual perk names and requirements remain TB-009B.
SKILL-000016,Pickpocket,stealth,base_game,https://en.uesp.net/wiki/Skyrim:Skills,SRC-000268,OBJ-002441,OBJ-002460,8,12,Reach Pickpocket skill level 100 at least once.,Acquire all 12 Pickpocket perk ranks across 8 source-listed perk nodes.,Can be reset after skill level 100 if selected for the all-perks level plan; exact reset timing deferred to TB-020.,source_listed_skill_tree,SN-000081-skill-perk-foundation.md,Foundation row from UESP Skills table; individual perk names and requirements remain TB-009B.
SKILL-000017,Sneak,stealth,base_game,https://en.uesp.net/wiki/Skyrim:Skills,SRC-000268,OBJ-002442,OBJ-002461,9,13,Reach Sneak skill level 100 at least once.,Acquire all 13 Sneak perk ranks across 9 source-listed perk nodes.,Can be reset after skill level 100 if selected for the all-perks level plan; exact reset timing deferred to TB-020.,source_listed_skill_tree,SN-000081-skill-perk-foundation.md,Foundation row from UESP Skills table; individual perk names and requirements remain TB-009B.
SKILL-000018,Speech,stealth,base_game,https://en.uesp.net/wiki/Skyrim:Skills,SRC-000268,OBJ-002443,OBJ-002462,9,13,Reach Speech skill level 100 at least once.,Acquire all 13 Speech perk ranks across 9 source-listed perk nodes.,Can be reset after skill level 100 if selected for the all-perks level plan; exact reset timing deferred to TB-020.,source_listed_skill_tree,SN-000081-skill-perk-foundation.md,Foundation row from UESP Skills table; individual perk names and requirements remain TB-009B.
