objective_id,objective_name,category,subcategory,route_placement,final_coverage_status,internal_coverage_row_count,coverage_statuses,completion_statuses,guide_locations
OBJ-000001,Unbound,quest,main_quest,main_route,placed_in_main_guide,1,completed_now,complete,Helgen Riverwood And First Survival Loop
OBJ-000002,Before the Storm,quest,main_quest,main_route,placed_in_main_guide,2,advanced_not_completed | completed_now,complete | staged_for_mr003_completion,First Day In Whiterun | Helgen Riverwood And First Survival Loop
OBJ-000003,Bleak Falls Barrow,quest,main_quest,main_route,placed_in_main_guide,3,completed_now | started_not_completed,complete | staged_for_mr004_completion,Bleak Falls Barrow And First Dragon | First Day In Whiterun | Helgen Riverwood And First Survival Loop
OBJ-000004,Dragon Rising,quest,main_quest,main_route,placed_in_main_guide,1,completed_now,complete,Bleak Falls Barrow And First Dragon
OBJ-000005,The Way of the Voice,quest,main_quest,main_route,placed_in_main_guide,2,placed_in_guide,complete,Main Quest Staging Before Sky Haven
OBJ-000006,The Horn of Jurgen Windcaller,quest,main_quest,main_route,placed_in_main_guide,1,placed_in_guide,complete,Main Quest Staging Before Sky Haven
OBJ-000007,A Blade in the Dark,quest,main_quest,main_route,placed_in_main_guide,1,placed_in_guide,complete,Main Quest Staging Before Sky Haven
OBJ-000008,Diplomatic Immunity,quest,main_quest,main_route,placed_in_main_guide,2,placed_in_guide,complete,Main Quest Staging Before Sky Haven
OBJ-000009,A Cornered Rat,quest,main_quest,main_route,placed_in_main_guide,1,placed_in_guide,complete,Main Quest Staging Before Sky Haven
OBJ-000010,Alduin's Wall,quest,main_quest,main_route,placed_in_main_guide,3,audited_not_started_here | placed_in_guide | started_and_parked,complete | staged_for_level_46_sky_haven_dragonbane,Karthspire Sky Haven And Dragonbane | Main Quest Staging Before Sky Haven | Markarth Nchuand-Zel And Old Hroldan
OBJ-000011,The Throat of the World,quest,main_quest,main_route,placed_in_main_guide,1,placed_in_guide,complete,Blades Research Blackreach And The Fallen
OBJ-000012,Elder Knowledge,quest,main_quest,main_route,placed_in_main_guide,1,placed_in_guide,complete,Blades Research Blackreach And The Fallen
OBJ-000013,Alduin's Bane,quest,main_quest,main_route,placed_in_main_guide,1,placed_in_guide,complete,Blades Research Blackreach And The Fallen
OBJ-000014,The Fallen,quest,main_quest,main_route,placed_in_main_guide,1,placed_in_guide,complete,Blades Research Blackreach And The Fallen
OBJ-000015,The World-Eater's Eyrie,quest,main_quest,main_route,placed_in_main_guide,1,placed_in_guide,complete,World-Eater's Eyrie and Dragonslayer
OBJ-000016,Sovngarde,quest,main_quest,main_route,placed_in_main_guide,1,placed_in_guide,complete,World-Eater's Eyrie and Dragonslayer
OBJ-000017,Dragonslayer,quest,main_quest,main_route,placed_in_main_guide,1,placed_in_guide,complete_with_trophy,World-Eater's Eyrie and Dragonslayer
OBJ-000018,Season Unending,quest,optional_main_quest,main_route,placed_in_main_guide,1,conditional_not_routed,not_applicable_no_treaty_route,Blades Research Blackreach And The Fallen
OBJ-000019,Paarthurnax,quest,optional_main_quest,branch_route,branch_handled,1,placed_in_branch_guide,branch_complete_reloaded,Paarthurnax And Blades Branch
OBJ-000020,Take Up Arms,quest,companions,main_route,placed_in_main_guide,2,completed_now | held_for_companions_entry_block,complete | staged_for_mr009_completion,Companions Entry | First Day In Whiterun
OBJ-000021,Proving Honor,quest,companions,main_route,placed_in_main_guide,1,completed_now,complete,Companions Entry
OBJ-000022,The Silver Hand,quest,companions,main_route,placed_in_main_guide,1,completed_now,complete,Beast Blood And The Silver Hand
OBJ-000023,Blood's Honor,quest,companions,main_route,placed_in_main_guide,3,available_not_started | completed_at_level_14_or_staged | tb038r_delayed_task_closed,complete_or_accounted_for | conditional_complete_or_staged | staged_for_next_falkreath_block,Beast Blood And The Silver Hand | Falkreath Land Lakeview Foundation And Glenmoril Coven | TB-038R order and delayed-task repair register
OBJ-000024,Purity of Revenge,quest,companions,main_route,placed_in_main_guide,1,placed_in_guide,complete,"Companions Finale, Totems, And Beast-Blood Preservation"
OBJ-000025,Glory of the Dead,quest,companions,main_route,placed_in_main_guide,1,placed_in_guide,complete,"Companions Finale, Totems, And Beast-Blood Preservation"
OBJ-000026,Companions Required Radiant Gates,radiant,companions_required_gate,main_route,placed_in_main_guide,2,completed_now | first_gate_completed,complete | in_progress,Beast Blood And The Silver Hand | Companions Entry
OBJ-000027,College Objective Quest,quest,college_of_winterhold,main_route,placed_in_main_guide,1,placed_in_guide,conditional_complete,"Winterhold, College Entry, And Saarthal"
OBJ-000028,First Lessons,quest,college_of_winterhold,main_route,placed_in_main_guide,1,placed_in_guide,complete,"Winterhold, College Entry, And Saarthal"
OBJ-000029,Under Saarthal,quest,college_of_winterhold,main_route,placed_in_main_guide,1,placed_in_guide,complete,"Winterhold, College Entry, And Saarthal"
OBJ-000030,Hitting the Books,quest,college_of_winterhold,main_route,placed_in_main_guide,2,placed_in_guide | started_target_recorded,complete | in_progress,"Fellglow Keep And Good Intentions | Winterhold, College Entry, And Saarthal"
OBJ-000031,Good Intentions,quest,college_of_winterhold,main_route,placed_in_main_guide,1,placed_in_guide,complete,Fellglow Keep And Good Intentions
OBJ-000032,Revealing the Unseen,quest,college_of_winterhold,main_route,placed_in_main_guide,3,placed_in_guide | started_not_advanced,complete | in_progress,Fellglow Keep And Good Intentions | Mzulft And The Winterhold Crisis
OBJ-000033,Containment,quest,college_of_winterhold,main_route,placed_in_main_guide,1,placed_in_guide,complete,Mzulft And The Winterhold Crisis
OBJ-000034,The Staff of Magnus,quest,college_of_winterhold,main_route,placed_in_main_guide,1,placed_in_guide,complete,Labyrinthian And The Eye Of Magnus
OBJ-000035,The Eye of Magnus,quest,college_of_winterhold,main_route,placed_in_main_guide,2,placed_in_guide,complete,Labyrinthian And The Eye Of Magnus
OBJ-000036,A Chance Arrangement,quest,thieves_guild,main_route,placed_in_main_guide,1,completed_now,complete,First Riften Visit And Guild Doorway
OBJ-000037,Taking Care of Business,quest,thieves_guild,main_route,placed_in_main_guide,1,completed_now,complete,First Riften Visit And Guild Doorway
OBJ-000038,Loud and Clear,quest,thieves_guild,main_route,placed_in_main_guide,2,completed_now | started_now,complete | staged_for_next_section,First Riften Visit And Guild Doorway | Goldenglow Honningbrew Solitude And Snow Veil
OBJ-000039,Dampened Spirits,quest,thieves_guild,main_route,placed_in_main_guide,1,completed_now,complete,Goldenglow Honningbrew Solitude And Snow Veil
OBJ-000040,Scoundrel's Folly,quest,thieves_guild,main_route,placed_in_main_guide,1,completed_now,complete,Goldenglow Honningbrew Solitude And Snow Veil
OBJ-000041,Speaking With Silence,quest,thieves_guild,main_route,placed_in_main_guide,1,completed_now,complete,Goldenglow Honningbrew Solitude And Snow Veil
OBJ-000042,Hard Answers,quest,thieves_guild,main_route,placed_in_main_guide,5,active_but_held | audited_not_progressed_here | placed_in_guide | still_held,complete | staged_for_level_46_thieves_rewards,Goldenglow Honningbrew Solitude And Snow Veil | Markarth Nchuand-Zel And Old Hroldan | Nightingale Armor Readiness Check | Nightingale Rewards And The Skeleton Key | Riften Thaneship Frost And Rift Roads
OBJ-000043,The Pursuit,quest,thieves_guild,main_route,placed_in_main_guide,2,not_started_here | placed_in_guide,complete | staged_for_level_46_thieves_rewards,Nightingale Armor Readiness Check | Nightingale Rewards And The Skeleton Key
OBJ-000044,Trinity Restored,quest,thieves_guild,main_route,placed_in_main_guide,2,placed_in_guide | threshold_checked_not_started,complete | staged_for_level_46_thieves_rewards,Nightingale Armor Readiness Check | Nightingale Rewards And The Skeleton Key
OBJ-000045,Blindsighted,quest,thieves_guild,main_route,placed_in_main_guide,2,not_started_here | placed_in_guide,complete | staged_for_level_46_thieves_rewards,Nightingale Armor Readiness Check | Nightingale Rewards And The Skeleton Key
OBJ-000046,Darkness Returns,quest,thieves_guild,main_route,placed_in_main_guide,2,not_started_here | placed_in_guide,complete | staged_for_late_thieves_chain,Nightingale Armor Readiness Check | Nightingale Rewards And The Skeleton Key
OBJ-000047,Under New Management,quest,thieves_guild,main_route,placed_in_main_guide,1,placed_in_guide,complete,Guild Restoration And Amulet Of Articulation
OBJ-000048,Thieves Guild City Influence and Side Job Counter,radiant,thieves_guild_restoration,main_route,placed_in_main_guide,7,audited_no_jobs_accepted | audited_not_started_here | counter_completed | counter_progressed | ledger_created_zero_jobs | solitude_exception_completed,complete | in_progress | staged_for_guild_restoration_block | staged_for_post_nightingale_city_job_blocks,"Goldenglow Honningbrew Solitude And Snow Veil | Guild Restoration And Amulet Of Articulation | Nightingale Armor Readiness Check | Nightingale Rewards And The Skeleton Key | Riften Thaneship Frost And Rift Roads | Whispers, Solitude Jobs, And The Wedding Assassination"
OBJ-000049,Silver Lining,quest,thieves_guild_reputation,main_route,placed_in_main_guide,2,placed_in_guide | quest_item_precollected,complete | staged_for_late_thieves_turn_in,Guild Restoration And Amulet Of Articulation | Southern Warm Corridor
OBJ-000050,The Dainty Sload,quest,thieves_guild_reputation,main_route,placed_in_main_guide,5,audited_not_routed_here | next_section_blocker | not_started_here | placed_in_guide,complete | hard_stop_before_bound_until_death | staged_for_erikur_protection_before_bound_until_death,"Cicero Aventus And The Sanctuary Door | First Brotherhood Contracts And Muiri's Revenge | Haafingar Caves Volskygge And Night Hunter | Solitude Coast Wild Horse And Wolfskull | Whispers, Solitude Jobs, And The Wedding Assassination"
OBJ-000051,Imitation Amnesty,quest,thieves_guild_reputation,main_route,placed_in_main_guide,1,placed_in_guide,complete,Guild Restoration And Amulet Of Articulation
OBJ-000052,Summerset Shadows,quest,thieves_guild_reputation,main_route,placed_in_main_guide,1,placed_in_guide,complete,Guild Restoration And Amulet Of Articulation
OBJ-000053,Delayed Burial,quest,dark_brotherhood,main_route,placed_in_main_guide,1,placed_in_guide,complete,Cicero Aventus And The Sanctuary Door
OBJ-000054,Innocence Lost,quest,dark_brotherhood,main_route,placed_in_main_guide,2,not_started_here | placed_in_guide,complete | staged_for_dark_brotherhood_route,Cicero Aventus And The Sanctuary Door | Windhelm Murder Investigation And White Phial
OBJ-000055,With Friends Like These...,quest,dark_brotherhood,main_route,placed_in_main_guide,2,placed_in_guide,complete,Cicero Aventus And The Sanctuary Door
OBJ-000056,Sanctuary,quest,dark_brotherhood,main_route,placed_in_main_guide,1,placed_in_guide,complete,Cicero Aventus And The Sanctuary Door
OBJ-000057,Mourning Never Comes,quest,dark_brotherhood,main_route,placed_in_main_guide,2,audited_not_started_here | placed_in_guide,complete | staged_for_dark_brotherhood_route,Arkngthamz And The First Aetherium Shards | First Brotherhood Contracts And Muiri's Revenge
OBJ-000058,Whispers in the Dark,quest,dark_brotherhood,main_route,placed_in_main_guide,2,placed_in_guide | started_for_next_section,active_for_next_dark_brotherhood_block | complete,"First Brotherhood Contracts And Muiri's Revenge | Whispers, Solitude Jobs, And The Wedding Assassination"
OBJ-000059,The Silence Has Been Broken,quest,dark_brotherhood,main_route,placed_in_main_guide,1,placed_in_guide,complete,"Whispers, Solitude Jobs, And The Wedding Assassination"
OBJ-000060,Bound Until Death,quest,dark_brotherhood,main_route,placed_in_main_guide,2,audited_not_routed_here | placed_in_guide,blocked_until_erikur_protection | complete,"Cicero Aventus And The Sanctuary Door | Whispers, Solitude Jobs, And The Wedding Assassination"
OBJ-000061,Breaching Security,quest,dark_brotherhood,main_route,placed_in_main_guide,1,placed_in_guide,complete,"Security, Shadowmere, And The Brotherhood Endgame"
OBJ-000062,The Cure for Madness,quest,dark_brotherhood,main_route,placed_in_main_guide,1,placed_in_guide,complete,"Security, Shadowmere, And The Brotherhood Endgame"
