book_location_id,objective_id,book_title,book_category,source_content,skill_or_school,worldspace,region,hold,location,location_detail,ownership_or_crime_notes,quest_or_state_dependency,cell_entry_lock_risk,missability,bug_risk,survival_mode_relevance,route_candidate_status,citations,notes
BOOKLOC-000001,OBJ-000819,A Game at Dinner,skill_book,base_game,Alchemy,Skyrim,,The Reach,Dead Crone Rock,"Dead Crone Rock (The Reach), by a lever opening the way to the rooftop",,,unknown,unknown,unknown,"Travel, cold, carry, theft, and dungeon endurance implications deferred",provisional_objective_representative,SN-000051-skill-books-and-reader.md,Source-listed skill book copy; final route copy selection pending.
BOOKLOC-000002,OBJ-000819,A Game at Dinner,skill_book,base_game,Alchemy,Skyrim,,The Pale,Forsaken Crypt,"Forsaken Crypt (The Pale), in the room where The White Phial is found",,,unknown,unknown,unknown,"Travel, cold, carry, theft, and dungeon endurance implications deferred",source_listed_candidate,SN-000051-skill-books-and-reader.md,Source-listed skill book copy; final route copy selection pending.
BOOKLOC-000003,OBJ-000819,A Game at Dinner,skill_book,base_game,Alchemy,Skyrim,,The Reach,Harmugstahl,"Harmugstahl (The Reach), behind the locked door in the room with an alchemy lab, on a bookshelf",Locked access noted; key/lockpicking route needs validation,,unknown,unknown,unknown,"Travel, cold, carry, theft, and dungeon endurance implications deferred",source_listed_candidate,SN-000051-skill-books-and-reader.md,Source-listed skill book copy; final route copy selection pending.
BOOKLOC-000004,OBJ-000819,A Game at Dinner,skill_book,base_game,Alchemy,Skyrim,,Whiterun Hold,Honningbrew Meadery,"Honningbrew Meadery (Whiterun), in the upstairs bedroom",Interior ownership/theft status needs validation,,unknown,unknown,unknown,"Travel, cold, carry, theft, and dungeon endurance implications deferred",source_listed_candidate,SN-000051-skill-books-and-reader.md,Source-listed skill book copy; final route copy selection pending.
BOOKLOC-000005,OBJ-000819,A Game at Dinner,skill_book,base_game,Alchemy,Skyrim,,Eastmarch,New Gnisis Cornerclub,"New Gnisis Cornerclub (Windhelm), middle floor, on top of a dresser",,,unknown,unknown,unknown,"Travel, cold, carry, theft, and dungeon endurance implications deferred",source_listed_candidate,SN-000051-skill-books-and-reader.md,Source-listed skill book copy; final route copy selection pending.
BOOKLOC-000006,OBJ-000819,A Game at Dinner,skill_book,ae_creation,Alchemy,Skyrim,,Whiterun Hold,Tundra Homestead,"Tundra Homestead (CC: Tundra Homestead) (Whiterun Hold), next to the alchemy lab",,Add-on or AE content access required for this copy,unknown,unknown,unknown,"Travel, cold, carry, theft, and dungeon endurance implications deferred",source_listed_candidate,SN-000051-skill-books-and-reader.md,Source-listed skill book copy; final route copy selection pending.
BOOKLOC-000007,OBJ-000820,De Rerum Dirennis,skill_book,base_game,Alchemy,Skyrim,,Falkreath Hold,240 ft N of Evergreen Grove,240 ft N of Evergreen Grove (Falkreath Hold),,,unknown,unknown,unknown,"Travel, cold, carry, theft, and dungeon endurance implications deferred",provisional_objective_representative,SN-000051-skill-books-and-reader.md,Source-listed skill book copy; final route copy selection pending.
BOOKLOC-000008,OBJ-000820,De Rerum Dirennis,skill_book,base_game,Alchemy,Skyrim,,Falkreath Hold,Grave Concoctions,Grave Concoctions (Falkreath),,,unknown,unknown,unknown,"Travel, cold, carry, theft, and dungeon endurance implications deferred",source_listed_candidate,SN-000051-skill-books-and-reader.md,Source-listed skill book copy; final route copy selection pending.
BOOKLOC-000009,OBJ-000820,De Rerum Dirennis,skill_book,base_game,Alchemy,Skyrim,Blackreach,,Sinderion's Field Laboratory,Sinderion's Field Laboratory (Blackreach),,,unknown,unknown,unknown,"Travel, cold, carry, theft, and dungeon endurance implications deferred",source_listed_candidate,SN-000051-skill-books-and-reader.md,Source-listed skill book copy; final route copy selection pending.
BOOKLOC-000010,OBJ-000820,De Rerum Dirennis,skill_book,base_game,Alchemy,Skyrim,,,The Midden Dark,"The Midden Dark (College of Winterhold), at an alchemy lab",,,unknown,unknown,unknown,"Travel, cold, carry, theft, and dungeon endurance implications deferred",source_listed_candidate,SN-000051-skill-books-and-reader.md,Source-listed skill book copy; final route copy selection pending.
