coordinate_record_id,location_record_id,objective_id,location_name,location_category,source_content,catalog_worldspace,coordinate_worldspace,world_id,world_name,map_marker_id,map_marker_name,map_marker_page,map_marker_icon_type,map_marker_editor_id,map_marker_form_id,map_marker_dest_form_id,x,y,z,coordinate_status,match_method,match_confidence,distance_scope,source_url,source_id,citations,notes
COORD-000001,LOC-000001,OBJ-001958,Abandoned Prison,clearable_location,base_game,Skyrim,Skyrim,1,skyrim,182,Abandoned Prison,Abandoned Prison,22,,970569,,95682,-15213,-10800,exact_marker,uesp_gamemap_page,high,same_worldspace_xy,https://gamemap.uesp.net/sr/?world=skyrim&x=95682&y=-15213&zoom=15,SRC-000423,SN-000123-location-coordinate-dataset.md,Exact UESP Gamemap marker match.
COORD-000002,LOC-000002,OBJ-001959,Alftand,clearable_location,base_game,Skyrim,Skyrim,1,skyrim,111,Alftand,Alftand,8,AlftandMapMarker,89418,,78347,77409,-4243,exact_marker,uesp_gamemap_page,high,same_worldspace_xy,https://gamemap.uesp.net/sr/?world=skyrim&x=78347&y=77409&zoom=15,SRC-000423,SN-000123-location-coordinate-dataset.md,Exact UESP Gamemap marker match.
COORD-000003,LOC-000003,OBJ-001960,Altar of Thrond,clearable_location,dragonborn,Solstheim,Solstheim,2,solstheim,2549,Altar of Thrond,Altar of Thrond,11,,33637309,,48656,59824,7306,exact_marker,uesp_gamemap_page,high,same_worldspace_xy,https://gamemap.uesp.net/sr/?world=solstheim&x=48656&y=59824&zoom=15,SRC-000423,SN-000123-location-coordinate-dataset.md,Exact UESP Gamemap marker match.
COORD-000004,LOC-000004,OBJ-001961,Ancient's Ascent,clearable_location,base_game,Skyrim,Skyrim,1,skyrim,103,Ancient's Ascent,Ancient's Ascent,12,AncientsAscentMapMarker,90673,,-1541,-99093,15533,exact_marker,uesp_gamemap_page,high,same_worldspace_xy,https://gamemap.uesp.net/sr/?world=skyrim&x=-1541&y=-99093&zoom=15,SRC-000423,SN-000123-location-coordinate-dataset.md,Exact UESP Gamemap marker match.
COORD-000005,LOC-000005,OBJ-001962,Angarvunde,clearable_location,base_game,Skyrim,Skyrim,1,skyrim,231,Angarvunde,Angarvunde,7,AngarvundeMapMarker,89425,,113491,-97167,13468,exact_marker,uesp_gamemap_page,high,same_worldspace_xy,https://gamemap.uesp.net/sr/?world=skyrim&x=113491&y=-97167&zoom=15,SRC-000423,SN-000123-location-coordinate-dataset.md,Exact UESP Gamemap marker match.
COORD-000006,LOC-000006,OBJ-001963,Ansilvund,clearable_location,base_game,Skyrim,Skyrim,1,skyrim,232,Ansilvund,Ansilvund,7,MapMarkerAnsilvundREF,89430,,174572,-35183,730,exact_marker,uesp_gamemap_page,high,same_worldspace_xy,https://gamemap.uesp.net/sr/?world=skyrim&x=174572&y=-35183&zoom=15,SRC-000423,SN-000123-location-coordinate-dataset.md,Exact UESP Gamemap marker match.
COORD-000007,LOC-000007,OBJ-001964,Arcwind Point,clearable_location,base_game,Skyrim,Skyrim,1,skyrim,224,Arcwind Point,Arcwind Point,7,ArcwindPointMapMarker,1007599,,66950,-99471,17302,exact_marker,uesp_gamemap_page,high,same_worldspace_xy,https://gamemap.uesp.net/sr/?world=skyrim&x=66950&y=-99471&zoom=15,SRC-000423,SN-000123-location-coordinate-dataset.md,Exact UESP Gamemap marker match.
COORD-000008,LOC-000008,OBJ-001965,Arkngthamz,clearable_location,dawnguard,Skyrim,Skyrim,1,skyrim,2283,Arkngthamz (DG),Arkngthamz,8,ArkngthamzMapMarkerRef,33587799,,-139019,-31985,1171,exact_marker,uesp_gamemap_page,high,same_worldspace_xy,https://gamemap.uesp.net/sr/?world=skyrim&x=-139019&y=-31985&zoom=15,SRC-000423,SN-000123-location-coordinate-dataset.md,Exact UESP Gamemap marker match.
COORD-000009,LOC-000009,OBJ-001966,Ashfallow Citadel,clearable_location,base_game,Solstheim,Solstheim,2,solstheim,2529,Ashfallow Citadel,Ashfallow Citadel,6,DLC2AshfallowMapMarker,33637336,,66672,41649,3724,exact_marker,uesp_gamemap_page,high,same_worldspace_xy,https://gamemap.uesp.net/sr/?world=solstheim&x=66672&y=41649&zoom=15,SRC-000423,SN-000123-location-coordinate-dataset.md,Exact UESP Gamemap marker match.
COORD-000010,LOC-000010,OBJ-001967,Autumnshade Clearing,clearable_location,base_game,Skyrim,Skyrim,1,skyrim,81,Autumnshade Clearing,Autumnshade Clearing,23,,90636,,153153,-79512,9559,exact_marker,uesp_gamemap_page,high,same_worldspace_xy,https://gamemap.uesp.net/sr/?world=skyrim&x=153153&y=-79512&zoom=15,SRC-000423,SN-000123-location-coordinate-dataset.md,Exact UESP Gamemap marker match.
COORD-000011,LOC-000011,OBJ-001968,Autumnwatch Tower,clearable_location,base_game,Skyrim,Skyrim,1,skyrim,102,Autumnwatch Tower,Autumnwatch Tower,12,AutumnwatchTowerMapMarker,90675,,84059,-99526,15998,exact_marker,uesp_gamemap_page,high,same_worldspace_xy,https://gamemap.uesp.net/sr/?world=skyrim&x=84059&y=-99526&zoom=15,SRC-000423,SN-000123-location-coordinate-dataset.md,Exact UESP Gamemap marker match.
