alchemy_record_id,objective_id,ingredient_name,ingredient_variant,ingredient_section,source_content,source_page,source_id,form_id,effect_1,effect_2,effect_3,effect_4,value,weight,merchant_availability,garden_planting,source_note,content_scope_note,discovery_policy,route_treatment,citations,notes
ALCHEMY-000001,OBJ-002527,Abecean Longfin,,standard,base_game,https://en.uesp.net/wiki/Skyrim:Ingredients,SRC-000294,00 106e1b,Weakness to Frost,Fortify Sneak,Weakness to Poison,Fortify Restoration,15,0.5,Common,not_listed,Collected by catching Abacean Longfin fish.,,discover_all_four_effects,source_listed_ingredient_effects,SN-000084-alchemy-ingredient-effect-discovery.md,"Source-listed ingredient effect record; exact acquisition copy, recipe sequence, and route timing deferred."
ALCHEMY-000002,OBJ-002528,Aloe Vera Leaves,,standard,base_game,https://en.uesp.net/wiki/Skyrim:Ingredients,SRC-000294,FE xxx 0D0,Restore Health,Restore Stamina,"Damage Magicka (1.67x, 1.71x)",Invisibility,1,0.1,Khajiit Traders,2,"Added by Special Edition Patch 1.6.1130 on December 5, 2023.",Listed under Standard Ingredients but noted as added by Special Edition Patch 1.6.1130; PS4 AE scope validation deferred.,discover_all_four_effects,source_listed_ingredient_effects,SN-000084-alchemy-ingredient-effect-discovery.md,"Source-listed ingredient effect record; exact acquisition copy, recipe sequence, and route timing deferred. Patch-added standard ingredient; scope validation deferred."
ALCHEMY-000003,OBJ-002529,Ancestor Moth Wing,,standard,dawnguard,https://en.uesp.net/wiki/Skyrim:Ingredients,SRC-000294,xx 0059ba,Damage Stamina,Fortify Conjuration,Damage Magicka Regen,Fortify Enchanting,2,0.1,None,not_listed,Collected by catching Ancestor Moths.,,discover_all_four_effects,source_listed_ingredient_effects,SN-000084-alchemy-ingredient-effect-discovery.md,"Source-listed ingredient effect record; exact acquisition copy, recipe sequence, and route timing deferred."
ALCHEMY-000004,OBJ-002530,Ash Creep Cluster,,standard,dragonborn,https://en.uesp.net/wiki/Skyrim:Ingredients,SRC-000294,xx 01cd74,Damage Stamina,Invisibility,Resist Fire,Fortify Destruction,20,0.25,Rare,not_listed,Harvested from creep cluster plants unique to Solstheim.,,discover_all_four_effects,source_listed_ingredient_effects,SN-000084-alchemy-ingredient-effect-discovery.md,"Source-listed ingredient effect record; exact acquisition copy, recipe sequence, and route timing deferred."
ALCHEMY-000005,OBJ-002531,Ash Hopper Jelly,,standard,dragonborn,https://en.uesp.net/wiki/Skyrim:Ingredients,SRC-000294,xx 01cd71,Restore Health,Fortify Light Armor,Resist Shock,Weakness to Frost,20,0.25,not_listed,not_listed,Collected from dead ash hoppers.,,discover_all_four_effects,source_listed_ingredient_effects,SN-000084-alchemy-ingredient-effect-discovery.md,"Source-listed ingredient effect record; exact acquisition copy, recipe sequence, and route timing deferred."
ALCHEMY-000006,OBJ-002532,Ashen Grass Pod,,standard,dragonborn,https://en.uesp.net/wiki/Skyrim:Ingredients,SRC-000294,xx 016e26,"Resist Fire (1.33x, 1.36x)",Weakness to Shock,Fortify Lockpicking,Fortify Sneak,1,0.1,not_listed,not_listed,Harvested from spiky grass plants unique to Solstheim.,,discover_all_four_effects,source_listed_ingredient_effects,SN-000084-alchemy-ingredient-effect-discovery.md,"Source-listed ingredient effect record; exact acquisition copy, recipe sequence, and route timing deferred."
ALCHEMY-000007,OBJ-002533,Bear Claws,,standard,base_game,https://en.uesp.net/wiki/Skyrim:Ingredients,SRC-000294,00 06bc02,"Restore Stamina (0.8x, 0.78x)",Fortify Health,Fortify One-handed,Damage Magicka Regen,2,0.1,None (Uncommon),not_listed,Collected from various types of dead Bears.,,discover_all_four_effects,source_listed_ingredient_effects,SN-000084-alchemy-ingredient-effect-discovery.md,"Source-listed ingredient effect record; exact acquisition copy, recipe sequence, and route timing deferred."
ALCHEMY-000008,OBJ-002534,Bee,,standard,base_game,https://en.uesp.net/wiki/Skyrim:Ingredients,SRC-000294,00 0a9195,Restore Stamina,Ravage Stamina,Regenerate Stamina,Weakness to Shock,3,0.1,Common,not_listed,Collected from beehives and by catching Bees.,,discover_all_four_effects,source_listed_ingredient_effects,SN-000084-alchemy-ingredient-effect-discovery.md,"Source-listed ingredient effect record; exact acquisition copy, recipe sequence, and route timing deferred."
ALCHEMY-000009,OBJ-002535,Beehive Husk,,standard,base_game,https://en.uesp.net/wiki/Skyrim:Ingredients,SRC-000294,00 0a9191,Resist Poison (0.5x),Fortify Light Armor,Fortify Sneak,Fortify Destruction,5,1,None (Common),not_listed,Collected from beehives.,,discover_all_four_effects,source_listed_ingredient_effects,SN-000084-alchemy-ingredient-effect-discovery.md,"Source-listed ingredient effect record; exact acquisition copy, recipe sequence, and route timing deferred."
ALCHEMY-000010,OBJ-002536,Bleeding Crown,,standard,base_game,https://en.uesp.net/wiki/Skyrim:Ingredients,SRC-000294,00 04da20,Weakness to Fire,Fortify Block,Weakness to Poison,Resist Magic,10,0.3,Uncommon,3,"Harvested from Bleeding Crown, a mushroom found in various caves.",,discover_all_four_effects,source_listed_ingredient_effects,SN-000084-alchemy-ingredient-effect-discovery.md,"Source-listed ingredient effect record; exact acquisition copy, recipe sequence, and route timing deferred."
