location_record_id,objective_id,location_name,location_category,source_content,worldspace,region,hold,source_page,source_id,uesp_categories,discoverable_status,clearable_status,delver_count_status,quest_or_state_dependency,cell_entry_lock_risk,missability,bug_risk,survival_mode_relevance,route_status,citations,notes
LOC-000001,OBJ-001958,Abandoned Prison,clearable_location,base_game,Skyrim,,Eastmarch,https://en.uesp.net/wiki/Skyrim:Abandoned_Prison,SRC-000264,Skyrim-Places | Skyrim-Places-Clearable | Skyrim-Places-Discoverable | Skyrim-Places-Eastmarch | Skyrim-Places-Imperial Towers | Skyrim-Places-Military Forts,source_lists_discoverable,source_lists_clearable,needs_validation,Exact boss or quest clear trigger pending per-location page validation.,unknown,unknown,unknown,Regional route clustering and shelter/rest/carry implications deferred to TB-019.,source_listed_candidate,SN-000077-clearable-location-inventory.md,"Source-listed clearable location from UESP category; per-location clear trigger, trophy behavior, bug handling, Survival Mode timing, and checklist mapping pending downstream validation."
LOC-000002,OBJ-001959,Alftand,clearable_location,base_game,Skyrim,,Winterhold,https://en.uesp.net/wiki/Skyrim:Alftand,SRC-000264,Skyrim-Places | Skyrim-Places-Alchemy Labs | Skyrim-Places-Clearable | Skyrim-Places-Discoverable | Skyrim-Places-Dwarven Automaton Sites | Skyrim-Places-Dwarven Ruins | Skyrim-Places-Forges | Skyrim-Places-Tanning Racks | Skyrim-Places-Winterhold (region) | Skyrim-Places-Workbenches,source_lists_discoverable,source_lists_clearable,needs_validation,Exact boss or quest clear trigger pending per-location page validation.,unknown,unknown,unknown,Regional route clustering and shelter/rest/carry implications deferred to TB-019.,source_listed_candidate,SN-000077-clearable-location-inventory.md,"Source-listed clearable location from UESP category; per-location clear trigger, trophy behavior, bug handling, Survival Mode timing, and checklist mapping pending downstream validation."
LOC-000003,OBJ-001960,Altar of Thrond,clearable_location,dragonborn,Solstheim,Solstheim,,https://en.uesp.net/wiki/Skyrim:Altar_of_Thrond,SRC-000264,Skyrim-Dragonborn-Places-Hagraven Nests | Skyrim-Dragonborn-Places-Ice Caves | Skyrim-Places | Skyrim-Places-Alchemy Labs | Skyrim-Places-Arcane Enchanters | Skyrim-Places-Clearable | Skyrim-Places-Cooking Pots | Skyrim-Places-Discoverable | Skyrim-Places-Landmarks | Skyrim-Places-Moonstone Veins | Skyrim-Places-Quicksilver Veins | Skyrim-Places-Safe | Skyrim-Places-Silver Veins | Skyrim-Places-Solstheim,source_lists_discoverable,source_lists_clearable,needs_validation,Exact boss or quest clear trigger pending per-location page validation.,unknown,unknown,unknown,Regional route clustering and shelter/rest/carry implications deferred to TB-019.,source_listed_candidate,SN-000077-clearable-location-inventory.md,"Source-listed clearable location from UESP category; per-location clear trigger, trophy behavior, bug handling, Survival Mode timing, and checklist mapping pending downstream validation."
LOC-000004,OBJ-001961,Ancient's Ascent,clearable_location,base_game,Skyrim,,Falkreath Hold,https://en.uesp.net/wiki/Skyrim:Ancient's_Ascent,SRC-000264,Skyrim-Places | Skyrim-Places-Clearable | Skyrim-Places-Discoverable | Skyrim-Places-Dragon Lairs | Skyrim-Places-Falkreath Hold | Skyrim-Places-Word Walls,source_lists_discoverable,source_lists_clearable,needs_validation,Exact boss or quest clear trigger pending per-location page validation.,unknown,unknown,unknown,Regional route clustering and shelter/rest/carry implications deferred to TB-019.,source_listed_candidate,SN-000077-clearable-location-inventory.md,"Source-listed clearable location from UESP category; per-location clear trigger, trophy behavior, bug handling, Survival Mode timing, and checklist mapping pending downstream validation."
LOC-000005,OBJ-001962,Angarvunde,clearable_location,base_game,Skyrim,,The Rift,https://en.uesp.net/wiki/Skyrim:Angarvunde,SRC-000264,Skyrim-Places | Skyrim-Places-Clearable | Skyrim-Places-Cooking Pots | Skyrim-Places-Corundum Veins | Skyrim-Places-Discoverable | Skyrim-Places-Draugr Crypts | Skyrim-Places-Nordic Ruins | Skyrim-Places-Safe | Skyrim-Places-The Rift | Skyrim-Places-Word Walls,source_lists_discoverable,source_lists_clearable,atypical_does_not_count,Atypical quest-based clear condition per UESP Dungeons page; exact quest state pending page validation.,unknown,unknown,unknown,Regional route clustering and shelter/rest/carry implications deferred to TB-019.,source_listed_candidate,SN-000077-clearable-location-inventory.md,"Source-listed clearable location from UESP category; per-location clear trigger, trophy behavior, bug handling, Survival Mode timing, and checklist mapping pending downstream validation."
LOC-000006,OBJ-001963,Ansilvund,clearable_location,base_game,Skyrim,,Eastmarch,https://en.uesp.net/wiki/Skyrim:Ansilvund,SRC-000264,Skyrim-Places | Skyrim-Places-Alchemy Labs | Skyrim-Places-Arcane Enchanters | Skyrim-Places-Caves | Skyrim-Places-Clearable | Skyrim-Places-Cooking Pots | Skyrim-Places-Discoverable | Skyrim-Places-Eastmarch | Skyrim-Places-Iron Veins | Skyrim-Places-Nordic Ruins | Skyrim-Places-Warlock Lairs,source_lists_discoverable,source_lists_clearable,needs_validation,Exact boss or quest clear trigger pending per-location page validation.,unknown,unknown,unknown,Regional route clustering and shelter/rest/carry implications deferred to TB-019.,source_listed_candidate,SN-000077-clearable-location-inventory.md,"Source-listed clearable location from UESP category; per-location clear trigger, trophy behavior, bug handling, Survival Mode timing, and checklist mapping pending downstream validation."
LOC-000007,OBJ-001964,Arcwind Point,clearable_location,base_game,Skyrim,,The Rift,https://en.uesp.net/wiki/Skyrim:Arcwind_Point,SRC-000264,Skyrim-Places | Skyrim-Places-Clearable | Skyrim-Places-Discoverable | Skyrim-Places-Nordic Ruins | Skyrim-Places-Quicksilver Veins | Skyrim-Places-The Rift | Skyrim-Places-Word Walls,source_lists_discoverable,source_lists_clearable,needs_validation,Exact boss or quest clear trigger pending per-location page validation.,unknown,unknown,unknown,Regional route clustering and shelter/rest/carry implications deferred to TB-019.,source_listed_candidate,SN-000077-clearable-location-inventory.md,"Source-listed clearable location from UESP category; per-location clear trigger, trophy behavior, bug handling, Survival Mode timing, and checklist mapping pending downstream validation."
LOC-000008,OBJ-001965,Arkngthamz,clearable_location,dawnguard,Skyrim,,Falkreath Hold,https://en.uesp.net/wiki/Skyrim:Arkngthamz,SRC-000264,Skyrim-Dawnguard-Places | Skyrim-Places | Skyrim-Places-Clearable | Skyrim-Places-Discoverable | Skyrim-Places-Dwarven Ruins | Skyrim-Places-Ebony Veins | Skyrim-Places-Falkreath Hold | Skyrim-Places-Falmer Hives | Skyrim-Places-Quicksilver Veins | Skyrim-Places-Safe,source_lists_discoverable,source_lists_clearable,needs_validation,Exact boss or quest clear trigger pending per-location page validation.,unknown,unknown,unknown,Regional route clustering and shelter/rest/carry implications deferred to TB-019.,source_listed_candidate,SN-000077-clearable-location-inventory.md,"Source-listed clearable location from UESP category; per-location clear trigger, trophy behavior, bug handling, Survival Mode timing, and checklist mapping pending downstream validation."
LOC-000009,OBJ-001966,Ashfallow Citadel,clearable_location,base_game,Solstheim,Solstheim,,https://en.uesp.net/wiki/Skyrim:Ashfallow_Citadel,SRC-000264,Skyrim-Places | Skyrim-Places-Alchemy Labs | Skyrim-Places-Arcane Enchanters | Skyrim-Places-Clearable | Skyrim-Places-Discoverable | Skyrim-Places-Heart Stone Deposits | Skyrim-Places-Military Forts | Skyrim-Places-Safe | Skyrim-Places-Solstheim,source_lists_discoverable,source_lists_clearable,needs_validation,Exact boss or quest clear trigger pending per-location page validation.,unknown,unknown,unknown,Regional route clustering and shelter/rest/carry implications deferred to TB-019.,source_listed_candidate,SN-000077-clearable-location-inventory.md,"Source-listed clearable location from UESP category; per-location clear trigger, trophy behavior, bug handling, Survival Mode timing, and checklist mapping pending downstream validation."
LOC-000010,OBJ-001967,Autumnshade Clearing,clearable_location,base_game,Skyrim,,The Rift,https://en.uesp.net/wiki/Skyrim:Autumnshade_Clearing,SRC-000264,Skyrim-Places | Skyrim-Places-Clearable | Skyrim-Places-Clearings | Skyrim-Places-Discoverable | Skyrim-Places-Spriggan Groves | Skyrim-Places-The Rift,source_lists_discoverable,source_lists_clearable,needs_validation,Exact boss or quest clear trigger pending per-location page validation.,unknown,unknown,unknown,Regional route clustering and shelter/rest/carry implications deferred to TB-019.,source_listed_candidate,SN-000077-clearable-location-inventory.md,"Source-listed clearable location from UESP category; per-location clear trigger, trophy behavior, bug handling, Survival Mode timing, and checklist mapping pending downstream validation."
