row_kind,record_id,name,objective_id,category,subcategory,route_placement,checklist_id,checklist_tab,mapping_type,exact_internal_coverage_rows,mapped_internal_coverage_rows,internal_coverage_statuses,internal_completion_statuses,internal_guide_locations,internal_guide_cues,guide_name_match,target_treatment,assignment_treatment,counter_treatment,boundary_treatment,fishing_treatment,work_action_treatment,trophy_treatment,no_reroll_treatment,hold_or_stage_treatment,route_resolution_treatment,exclusion_treatment,branch_treatment,audit_status,recommended_action,notes
radiant_counter_objective,OBJ-000026,Companions Required Radiant Gates,OBJ-000026,radiant,companions_required_gate,main_route,,,,2,0,completed_now | first_gate_completed,complete | in_progress,Beast Blood And The Silver Hand | Companions Entry,Companions radiant gates 1 of 4 | Counter - Companions radiant gates 2 of 4; Counter - Companions radiant gates 4 of 4,Y,Y,Y,Y,Y,N,Y,Y,N,Y,N,N,N,radiant_counter_objective_covered,none,
radiant_counter_objective,OBJ-000048,Thieves Guild City Influence and Side Job Counter,OBJ-000048,radiant,thieves_guild_restoration,main_route,,,,7,0,audited_no_jobs_accepted | audited_not_started_here | counter_completed | counter_progressed | ledger_created_zero_jobs | solitude_exception_completed,complete | in_progress | staged_for_guild_restoration_block | staged_for_post_nightingale_city_job_blocks,"Goldenglow Honningbrew Solitude And Snow Veil | Guild Restoration And Amulet Of Articulation | Nightingale Armor Readiness Check | Nightingale Rewards And The Skeleton Key | Riften Thaneship Frost And Rift Roads | Whispers, Solitude Jobs, And The Wedding Assassination",Delvin and Vex restoration jobs start next section | Restoration note starts Solitude 5 total 5 | Thieves Guild restoration note created with all counts at zero | Thieves jobs still zero | Total Delvin Vex side-job counter reaches 125 | [CHECKLIST: Thieves Guild - Solitude city jobs 5 of 5],Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,N,radiant_counter_objective_covered,none,
radiant_counter_objective,OBJ-000102,Animal Extermination (A),OBJ-000102,radiant,companions_radiant,main_route,,,,2,0,conditional_fallback_or_actual_assignment | conditional_second_gate_if_assigned,conditional_complete_if_assigned,Beast Blood And The Silver Hand | Companions Entry,Matching radiant checklist cue for actual second gate job | Radiant - Animal Extermination,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,N,Y,radiant_counter_objective_covered,none,
radiant_counter_objective,OBJ-000103,Animal Extermination (B),OBJ-000103,radiant,companions_radiant,main_route,,,,2,0,conditional_fallback_or_actual_assignment | conditional_second_gate_if_assigned,conditional_complete_if_assigned,Beast Blood And The Silver Hand | Companions Entry,Matching radiant checklist cue for actual second gate job | Radiant - Animal Extermination,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,N,Y,radiant_counter_objective_covered,none,
radiant_counter_objective,OBJ-000104,Hired Muscle,OBJ-000104,radiant,companions_radiant,main_route,,,,2,0,conditional_if_first_clean_farkas_contract | conditional_second_gate_if_assigned,conditional_complete_or_already_recorded_or_not_assigned | conditional_complete_or_seed_unavailable,Beast Blood And The Silver Hand | Companions Entry,Matching radiant checklist cue for actual second gate job | Radiant - Hired Muscle; Quest - Scare My Enemy,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,N,Y,radiant_counter_objective_covered,none,
radiant_counter_objective,OBJ-000105,Trouble in Skyrim,OBJ-000105,radiant,companions_radiant,main_route,,,,2,0,conditional_if_assigned_and_clean | conditional_second_gate_if_assigned,conditional_complete_if_assigned | conditional_complete_or_reloaded_for_bug_recovery,Beast Blood And The Silver Hand | Companions Entry,Matching radiant checklist cue for actual second gate job | Radiant - Trouble in Skyrim,Y,Y,Y,Y,Y,N,Y,Y,N,Y,N,N,Y,radiant_counter_objective_covered,none,
radiant_counter_objective,OBJ-000106,Family Heirloom,OBJ-000106,radiant,companions_radiant,main_route,,,,2,0,conditional_if_assigned | conditional_second_gate_if_assigned,conditional_complete_if_assigned,Beast Blood And The Silver Hand | Companions Entry,Matching radiant checklist cue for actual second gate job | Radiant - Family Heirloom,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,N,Y,radiant_counter_objective_covered,none,
radiant_counter_objective,OBJ-000107,Escaped Criminal,OBJ-000107,radiant,companions_radiant,main_route,,,,2,0,conditional_if_assigned | conditional_second_gate_if_assigned,conditional_complete_if_assigned,Beast Blood And The Silver Hand | Companions Entry,Matching radiant checklist cue for actual second gate job | Radiant - Escaped Criminal,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,N,Y,radiant_counter_objective_covered,none,
radiant_counter_objective,OBJ-000108,Rescue Mission,OBJ-000108,radiant,companions_radiant,main_route,,,,2,0,conditional_if_assigned | conditional_second_gate_if_assigned,conditional_complete_if_assigned,Beast Blood And The Silver Hand | Companions Entry,Matching radiant checklist cue for actual second gate job | Radiant - Rescue Mission,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,N,Y,radiant_counter_objective_covered,none,
radiant_counter_objective,OBJ-000109,Striking the Heart,OBJ-000109,radiant,companions_radiant_windowed,main_route,,,,1,0,completed_if_assigned_in_two_aela_jobs,conditional_complete_or_not_offered,Beast Blood And The Silver Hand,Radiant - Striking the Heart,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,N,Y,radiant_counter_objective_covered,none,
radiant_counter_objective,OBJ-000110,Stealing Plans,OBJ-000110,radiant,companions_radiant_windowed,main_route,,,,1,0,completed_if_assigned_in_two_aela_jobs,conditional_complete_or_one_save_limited,Beast Blood And The Silver Hand,Radiant - Stealing Plans,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,N,Y,radiant_counter_objective_covered,none,
radiant_counter_objective,OBJ-000111,Retrieval,OBJ-000111,radiant,companions_radiant_windowed,main_route,,,,1,0,completed_if_assigned_in_two_aela_jobs,conditional_complete_or_one_save_limited,Beast Blood And The Silver Hand,Radiant - Retrieval,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,radiant_counter_objective_route_resolution_recorded,none_existing_route_resolution,
radiant_counter_objective,OBJ-000112,Totems of Hircine,OBJ-000112,radiant,companions_post_quest,main_route,,,,2,0,not_available_yet | placed_in_guide,complete | staged_for_post_glory_werewolf_route,"Beast Blood And The Silver Hand | Companions Finale, Totems, And Beast-Blood Preservation",All three Totems of Hircine completed | Totems of Hircine later,Y,Y,Y,Y,Y,N,Y,Y,N,Y,N,N,N,radiant_counter_objective_covered,none,
radiant_counter_objective,OBJ-000113,Purity (Companions),OBJ-000113,radiant,companions_post_quest,main_route,,,,2,0,not_available_yet | placed_in_guide,complete | staged_for_post_glory_route,"Beast Blood And The Silver Hand | Companions Finale, Totems, And Beast-Blood Preservation",Companions Purity later | Farkas and Vilkas Purity completed,Y,Y,Y,Y,Y,N,Y,Y,N,Y,N,N,Y,radiant_counter_objective_covered,none,
radiant_counter_objective,OBJ-000114,Dragon Seekers,OBJ-000114,radiant,companions_post_quest,main_route,,,,3,0,late_repeatable_support_for_legend | placed_in_guide,complete | repeatable_support_not_extra_scope,"Companions Finale, Totems, and Beast-Blood Preservation | Level 78 and Level 80 Gates",Dragon Seekers assignment used for guaranteed dragon spawn | Dragon Seekers completed as representative Companions radiant,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,Y,radiant_counter_objective_covered,none,
radiant_counter_objective,OBJ-000115,Companions Radiant Representative Set,OBJ-000115,radiant,companions_representative_set,appendix,,,,3,0,needs_route_resolution_added | partially_represented_by_first_gate | progressed_by_required_gates,NEEDS ROUTE RESOLUTION | in_progress,Beast Blood And The Silver Hand | Companions Entry | TB-038R order and delayed-task repair register,First clean Companions job recorded | NEEDS ROUTE RESOLUTION: OBJ-000115 Companions Radiant Representative Set | Second clean Companions job recorded,Y,Y,Y,Y,N,N,N,Y,N,Y,Y,N,Y,radiant_counter_objective_route_resolution_recorded,none_existing_route_resolution,
radiant_counter_objective,OBJ-000116,Companions Finite Post-Quest Radiant Set,OBJ-000116,radiant,companions_finite_set,appendix,,,,3,0,duplicate_covered_by_named_members | not_available_yet,complete | staged_for_post_glory,"Beast Blood And The Silver Hand | Companions Entry | Companions Finale, Totems, And Beast-Blood Preservation",Companions finite post-quest radiant set complete | Post-Glory Companions finite radiants later | Post-Glory Companions radiants later,Y,Y,Y,Y,Y,N,Y,Y,N,Y,N,N,N,radiant_counter_objective_covered,none,
radiant_counter_objective,OBJ-000121,Out of Balance,OBJ-000121,radiant,college_repeatable,main_route,,,,1,0,placed_in_guide,complete,"Winterhold, College Entry, And Saarthal",[CHECKLIST: Quest - Out of Balance],Y,Y,Y,Y,Y,N,Y,Y,N,Y,N,N,N,radiant_counter_objective_covered,none,
radiant_counter_objective,OBJ-000122,Enchanting Pick-Up,OBJ-000122,radiant,college_repeatable,main_route,,,,2,0,audited_not_started_here | placed_in_guide,complete | staged_for_college_radiant_control_pass,"College Errands Arniel Septimus And Aetherium | Winterhold, College Entry, And Saarthal",Enchanting Pick-Up later | One Sergius client pickup completed,Y,Y,Y,N,Y,N,Y,N,N,Y,N,N,N,radiant_counter_objective_covered,none,
radiant_counter_objective,OBJ-000123,Restocking Soul Gems,OBJ-000123,radiant,college_repeatable,main_route,,,,2,0,audited_not_started_here | placed_in_guide,complete | staged_for_empty_soul_gem_material_plan,"College Errands Arniel Septimus And Aetherium | Winterhold, College Entry, And Saarthal",One Sergius empty soul gem request completed | Restocking Soul Gems later,Y,Y,Y,Y,Y,N,Y,Y,N,Y,N,N,N,radiant_counter_objective_covered,none,
radiant_counter_objective,OBJ-000124,Aftershock,OBJ-000124,radiant,college_repeatable,main_route,,,,1,0,placed_in_guide,complete,College Errands Arniel Septimus And Aetherium,One Tolfdir rupture assignment completed,Y,Y,Y,Y,Y,N,Y,Y,N,Y,N,N,N,radiant_counter_objective_covered,none,
radiant_counter_objective,OBJ-000125,Rejoining the College,OBJ-000125,radiant,college_repeatable,excluded,,,,1,0,explicit_exclusion_reaffirmed,excluded,Internal exclusion coverage,Excluded from intentional route,Y,Y,Y,N,N,N,N,N,N,Y,N,Y,N,radiant_counter_objective_excluded,none,
radiant_counter_objective,OBJ-000126,Tolfdir the Absent-Minded,OBJ-000126,radiant,college_repeatable,main_route,,,,2,0,audited_not_started_here | placed_in_guide,complete | staged_until_tolfdir_returns_from_saarthal,"Fellglow Keep And Good Intentions | Winterhold, College Entry, And Saarthal",Tolfdir's Alembic later | [CHECKLIST: Quest - Tolfdir The Absent-Minded],Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,N,radiant_counter_objective_covered,none,
radiant_counter_objective,OBJ-000127,Fetch me that Book!,OBJ-000127,radiant,college_repeatable,main_route,,,,3,0,audited_not_started_here | needs_route_resolution_added,NEEDS ROUTE RESOLUTION | staged_for_college_radiant_control_pass | staged_for_late_random_radiant_control,"College Errands Arniel Septimus And Aetherium | TB-038R order and delayed-task repair register | Winterhold, College Entry, And Saarthal",Fetch me that Book held for later random-dungeon block | Fetch me that Book later | NEEDS ROUTE RESOLUTION: OBJ-000127 Fetch me that Book!,Y,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,N,radiant_counter_objective_route_resolution_recorded,none_existing_route_resolution,
radiant_counter_objective,OBJ-000128,Shalidor's Insights,OBJ-000128,radiant,college_repeatable,main_route,,,,4,0,audited_not_started_here | needs_route_resolution_added,NEEDS ROUTE RESOLUTION | staged_for_college_radiant_control_pass | staged_for_late_random_radiant_control,"College Errands Arniel Septimus And Aetherium | Labyrinthian And The Eye Of Magnus | TB-038R order and delayed-task repair register | Winterhold, College Entry, And Saarthal",NEEDS ROUTE RESOLUTION: OBJ-000128 Shalidor's Insights | Shalidor's Insights held | Shalidor's Insights held for later random-dungeon block | Shalidor's Insights later,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,radiant_counter_objective_route_resolution_recorded,none_existing_route_resolution,
