audit_area,check_id,source_file,source_section,row_label,check_type,branch_id,hard_save,guide_locations,audit_status,recommended_action,evidence,notes
branch_policy_setup,TB041-POLICY-001,drafts/final-guide/main-guide-v1.md,Guide Conventions / Final Reconciliation,Named hard-save convention,branch_policy,,,Guide Conventions; Final Reconciliation,pass_policy_rule_present,none,Required terms present: named saves are written as; hard save: hs-name,TB-041 checks the player-facing branch contract before auditing individual branch rows.
branch_policy_setup,TB041-POLICY-002,drafts/final-guide/main-guide-v1.md,Guide Conventions / Final Reconciliation,Branch-first reload policy,branch_policy,,,Guide Conventions; Final Reconciliation,pass_policy_rule_present,none,Required terms present: branches are played first; save is reloaded; canonical main-route choice,TB-041 checks the player-facing branch contract before auditing individual branch rows.
branch_policy_setup,TB041-POLICY-003,drafts/final-guide/main-guide-v1.md,Guide Conventions / Final Reconciliation,Branch checklist state policy,branch_policy,,,Guide Conventions; Final Reconciliation,pass_policy_rule_present,none,Required terms present: branch checklist rows; branch-experienced; final main-save world state,TB-041 checks the player-facing branch contract before auditing individual branch rows.
branch_policy_setup,TB041-POLICY-004,drafts/final-guide/main-guide-v1.md,Guide Conventions / Final Reconciliation,Final branch-state reconciliation,branch_reconciliation,,,Guide Conventions; Final Reconciliation,pass_policy_rule_present,none,Required terms present: final reconciliation; relevant named branch save; final continuity state,TB-041 checks the player-facing branch contract before auditing individual branch rows.
branch_decision_matrix,TB041-MATRIX-BR-001,drafts/branch-routes/README.md,Branch Decision Matrix,Civil War faction commitment,Full branch route,BR-001,HS-CW-BEFORE-FACTION-OATH,Civil War Stormcloak Branch; Imperial Civil War; Final Reconciliation,pass_branch_save_reload_present,none,HS-CW-BEFORE-FACTION-OATH appears in guide branch handling with a nearby reload cue.,"Canonical main continuity: Imperial. Matrix notes: Do not duplicate Imperial objectives. The Stormcloak branch should be played first from the oath save, then reload for Imperial"
branch_decision_matrix,TB041-MATRIX-BR-002,drafts/branch-routes/README.md,Branch Decision Matrix,Dawnguard versus Volkihar at Bloodline,Full branch route,BR-002,HS-DG-BLOODLINE,"Dawnguard Fork and Volkihar Branch; Fort Dawnguard Recruits, Prophet, and Lost Relics; Volkihar Finale Branch Continuation; Final Reconciliation",pass_branch_save_reload_present,none,HS-DG-BLOODLINE appears in guide branch handling with a nearby reload cue.,Canonical main continuity: Dawnguard; refuse Harkon's gift. Matrix notes: New Allegiances baseline is one successful conversion. TB-031C found no checklist evidence requiring all three named conversions
branch_decision_matrix,TB041-MATRIX-BR-003,drafts/branch-routes/README.md,Branch Decision Matrix,Dark Brotherhood join versus destroy,Full branch route,BR-003,HS-DB-ABANDONED-SHACK,"Cicero, Aventus, and the Sanctuary Door; Final Reconciliation",pass_branch_save_reload_present,none,HS-DB-ABANDONED-SHACK appears in guide branch handling with a nearby reload cue.,Canonical main continuity: Join the Dark Brotherhood. Matrix notes: Complete or intentionally skip Delayed Burial before either commitment according to the main route
branch_decision_matrix,TB041-MATRIX-BR-004,drafts/branch-routes/README.md,Branch Decision Matrix,Paarthurnax / Blades conflict,Compact branch route,BR-004,HS-MQ-PAARTHURNAX,Paarthurnax and Blades Branch; Final Reconciliation,pass_branch_save_reload_present,none,HS-MQ-PAARTHURNAX appears in guide branch handling with a nearby reload cue.,Canonical main continuity: Preserve Paarthurnax. Matrix notes: Do not move main-route shout/word-wall support into the branch unless it is Blades-exclusive
branch_decision_matrix,TB041-MATRIX-BR-005,drafts/branch-routes/README.md,Branch Decision Matrix,Master Criminal trophy,Trophy branch,BR-005,HS-TROPHY-MASTER-CRIMINAL,Master Criminal Trophy Branch; Final Reconciliation,pass_branch_save_reload_present,none,HS-TROPHY-MASTER-CRIMINAL appears in guide branch handling with a nearby reload cue.,"Canonical main continuity: Clean final continuity, no permanent all-holds bounty state. Matrix notes: This is not mutually exclusive story content, but it is branch-routed because the final-state disruption is large. TB-032 now records warning/action limits; TB-034 places final step locations"
branch_decision_matrix,TB041-MATRIX-BR-006,drafts/branch-routes/README.md,Branch Decision Matrix,Thirsk Mead Hall control,Full branch route,BR-006,HS-DRAGONBORN-THIRSK-CHOICE,"Vahlok's Tomb, Riekling Roads, and Thirsk",pass_branch_save_reload_present,none,HS-DRAGONBORN-THIRSK-CHOICE appears in guide branch handling with a nearby reload cue.,"Canonical main continuity: Retaking Thirsk / Nord side. Matrix notes: TB-031C promoted Nord-side Thirsk rows to main-route handling because the canonical default preserves the source-listed Thirsk favor/service/spouse-candidate surface around Halbarn, Hilund, and Elmus"
