audit_area,constraint_id,constraint_source_file,source_section,row_label,constraint_type,objective_id,objective_name,severity,final_coverage_status,guide_locations,route_protection,audit_status,recommended_action,evidence,notes
trophy_setup,TB039-SETUP-001,data/constraints/trophy-dependencies.md,Setup and Global Trophy Safety,PS4 SE/AE trophy set,trophy_setup,,,hard_gate,,Setup and Save Baseline,Use a PS4 Special Edition / Anniversary Edition run and preserve PlayStation trophies.,pass_setup_rule_in_guide,none,Setup section contains the required trophy-safety baseline terms.,TB-039 setup check derived from the trophy dependency table and current guide setup prose.
trophy_setup,TB039-SETUP-002,data/constraints/trophy-dependencies.md,Setup and Global Trophy Safety,Trophy-safe content setup,trophy_setup,,,hard_gate,,Setup and Save Baseline,"Install only the base game, official DLC, and official AE Creation Club bundle; forbid mods and non-AE Creations.",pass_setup_rule_in_guide,none,Setup section contains the required trophy-safety baseline terms.,TB-039 setup check derived from the trophy dependency table and current guide setup prose.
trophy_setup,TB039-SETUP-003,data/constraints/trophy-dependencies.md,Setup and Global Trophy Safety,Mod-contaminated save recovery,trophy_setup,,,hard_gate,,Setup and Save Baseline,Prevent the contaminated-save state by starting from a clean trophy-safe setup and forbidding content changes mid-run.,pass_setup_rule_in_guide,none,Setup section contains the required trophy-safety baseline terms.,TB-039 setup check derived from the trophy dependency table and current guide setup prose.
trophy_setup,TB039-SETUP-004,data/constraints/trophy-dependencies.md,Setup and Global Trophy Safety,PS4 trophy-pop fallback,trophy_setup,,,hard_gate,,Setup and Save Baseline,"Use rotating manual saves and named hard saves before risky trophy, reward, or branch windows.",pass_setup_rule_in_guide,none,Setup section contains the required trophy-safety baseline terms.,TB-039 setup check derived from the trophy dependency table and current guide setup prose.
leveled_item,RPCON-000080,data/constraints/leveled-unique-items.md,Constraint Table,OBJ-001750,leveled_reward,OBJ-001750,Leveled Reward: Chillrend,hard_gate,placed_in_main_guide,Nightingale Armor Readiness Check | Nightingale Rewards And The Skeleton Key,Safe acquisition rule for later route: Do not enter Riftweald Manor before level 46 if the route wants maximum Chillrend.,pass_constraint_accounted_in_main_guide,none,Objective is represented in the current main guide coverage ledger.,Source notes: SN-000092-leveled-quest-reward-thresholds-and-locks.md. TB-039 uses existing sourced constraint rows and current guide/coverage state; no broad gameplay research performed.
leveled_item,RPCON-000081,data/constraints/leveled-unique-items.md,Constraint Table,OBJ-001751,leveled_reward,OBJ-001751,Leveled Reward: Dragonbane,hard_gate,placed_in_main_guide,Karthspire Sky Haven And Dragonbane | Main Quest Staging Before Sky Haven,Safe acquisition rule for later route: Do not enter Sky Haven Temple before level 46.,pass_constraint_accounted_in_main_guide,none,Objective is represented in the current main guide coverage ledger.,Source notes: SN-000092-leveled-quest-reward-thresholds-and-locks.md. TB-039 uses existing sourced constraint rows and current guide/coverage state; no broad gameplay research performed.
leveled_item,RPCON-000082,data/constraints/leveled-unique-items.md,Constraint Table,OBJ-001752,leveled_reward,OBJ-001752,Leveled Reward: Gauldur Blackblade,hard_gate,placed_in_main_guide,Potema Shield Of Solitude And Bone Wolf,"Safe acquisition rule for later route: Do not read Lost Legends or approach Folgunthur, Saarthal, Geirmund's Hall, or Reachwater Rock before level 36 unless the route accepts a lower-tier blade and bow.",pass_constraint_accounted_in_main_guide,none,Objective is represented in the current main guide coverage ledger.,Source notes: SN-000092-leveled-quest-reward-thresholds-and-locks.md. TB-039 uses existing sourced constraint rows and current guide/coverage state; no broad gameplay research performed.
leveled_item,RPCON-000083,data/constraints/leveled-unique-items.md,Constraint Table,OBJ-001753,leveled_reward,OBJ-001753,Leveled Reward: Gauldur Blackbow,hard_gate,placed_in_main_guide,Gauldur Legend Finale,"Safe acquisition rule for later route: Do not read Lost Legends or approach Folgunthur, Saarthal, Geirmund's Hall, or Reachwater Rock before level 36 unless the route accepts a lower-tier blade and bow.",pass_constraint_accounted_in_main_guide,none,Objective is represented in the current main guide coverage ledger.,Source notes: SN-000092-leveled-quest-reward-thresholds-and-locks.md. TB-039 uses existing sourced constraint rows and current guide/coverage state; no broad gameplay research performed.
leveled_item,RPCON-000084,data/constraints/leveled-unique-items.md,Constraint Table,OBJ-001754,leveled_reward,OBJ-001754,Leveled Reward: Lunar Iron Mace,hard_gate,placed_in_main_guide,Halted Stream And Silent Moons Level Gate,"Safe acquisition rule for later route: Visit/loot Silent Moons Camp at level 8+ for the best overall Lunar weapon candidate pool; if touched too early, leave and wait 30 days for respawn validation.",pass_constraint_accounted_in_main_guide,none,Objective is represented in the current main guide coverage ledger.,Source notes: SN-000093-lunar-weapon-spawn-thresholds.md. TB-039 uses existing sourced constraint rows and current guide/coverage state; no broad gameplay research performed.
leveled_item,RPCON-000085,data/constraints/leveled-unique-items.md,Constraint Table,OBJ-001755,leveled_reward,OBJ-001755,Leveled Reward: Lunar Iron Sword,hard_gate,placed_in_main_guide,Halted Stream And Silent Moons Level Gate,"Safe acquisition rule for later route: Visit/loot Silent Moons Camp at level 8+ for the best overall Lunar weapon candidate pool; if touched too early, leave and wait 30 days for respawn validation.",pass_constraint_accounted_in_main_guide,none,Objective is represented in the current main guide coverage ledger.,Source notes: SN-000093-lunar-weapon-spawn-thresholds.md. TB-039 uses existing sourced constraint rows and current guide/coverage state; no broad gameplay research performed.
