checklist_tab,checklist_entry,category,resolution,objective_id,match_source,guide_location,branch_name,source_note_refs,exclusion_reason,notes
"Unique Gear","Archmage's Boots","unique_item","map_objective","OBJ-001703","TB031J_source_readiness_resolution","","","SN-000129-checklist-source-readiness-forward-review.md","","TB-031J source-check maps checklist wording to source-listed Boots (Arch-Mage)."
"Unique Gear","Asgeir's Wedding Band","unique_item","map_objective","OBJ-000060","TB031J_source_readiness_resolution","","","SN-000129-checklist-source-readiness-forward-review.md","","TB-031J source-check maps this quest-item cue to Bound Until Death."
"Unique Gear","Blades Armor","unique_item","map_objective","OBJ-000010","TB031J_source_readiness_resolution","","","SN-000129-checklist-source-readiness-forward-review.md","","TB-031J source-check maps Blades chest equipment to Alduin's Wall and Sky Haven Temple handling."
"Unique Gear","Blades Boots","unique_item","map_objective","OBJ-000010","TB031J_source_readiness_resolution","","","SN-000129-checklist-source-readiness-forward-review.md","","TB-031J source-check maps Blades chest equipment to Alduin's Wall and Sky Haven Temple handling."
"Unique Gear","Blades Gauntlets","unique_item","map_objective","OBJ-000010","TB031J_source_readiness_resolution","","","SN-000129-checklist-source-readiness-forward-review.md","","TB-031J source-check maps Blades chest equipment to Alduin's Wall and Sky Haven Temple handling."
"Unique Gear","Blades Helmet","unique_item","map_objective","OBJ-000010","TB031J_source_readiness_resolution","","","SN-000129-checklist-source-readiness-forward-review.md","","TB-031J source-check maps Blades chest equipment to Alduin's Wall and Sky Haven Temple handling."
"Unique Gear","Blades Shield","unique_item","map_objective","OBJ-000010","TB031J_source_readiness_resolution","","","SN-000129-checklist-source-readiness-forward-review.md","","TB-031J source-check maps Blades chest equipment to Alduin's Wall and Sky Haven Temple handling."
"Unique Gear","Blades Sword","unique_item","map_objective","OBJ-000010","TB031J_source_readiness_resolution","","","SN-000129-checklist-source-readiness-forward-review.md","","TB-031J source-check maps Blades weapon acquisition to Alduin's Wall and Sky Haven Temple handling."
"Unique Gear","Dragon Priest Staff (Rahgot)","unique_item","map_objective","OBJ-000214","TB031J_source_readiness_resolution","","","SN-000129-checklist-source-readiness-forward-review.md","","TB-031J source-check maps Rahgot's staff cue to Siege on the Dragon Cult."
"Unique Gear","Emperor's Robes","unique_item","map_objective","OBJ-000066","TB031J_source_readiness_resolution","","","SN-000129-checklist-source-readiness-forward-review.md","","TB-031J source-check maps Emperor clothing to Hail Sithis cleanup."
