constraint_id,objective_id,objective_name,constraint_type,constraint_source_file,source_section,row_label,constraint_summary,routing_rule,hard_save_name,source_notes,status,severity,route_phase_owner,notes
RPCON-000001,OBJ-000479,Survival Mode,ae_start_trigger,data/constraints/ae-creation-start-triggers.md,Queue Disposition,74 AE package parent rows (`OBJ-000479` through `OBJ-000552`),Input queue: 74 AE package parent rows (`OBJ-000479` through `OBJ-000552`) | Disposition: Reduced to one start-trigger constraint row per package below.,,,,,review,TB-022/TB-024,Generated from the reviewed Markdown constraint tables; inspect the source row before writing final route prose.
RPCON-000002,OBJ-000552,The Contest,ae_start_trigger,data/constraints/ae-creation-start-triggers.md,Queue Disposition,74 AE package parent rows (`OBJ-000479` through `OBJ-000552`),Input queue: 74 AE package parent rows (`OBJ-000479` through `OBJ-000552`) | Disposition: Reduced to one start-trigger constraint row per package below.,,,,,review,TB-022/TB-024,Generated from the reviewed Markdown constraint tables; inspect the source row before writing final route prose.
RPCON-000003,OBJ-000479,Survival Mode,ae_start_trigger,data/constraints/ae-creation-start-triggers.md,Constraint Table,OBJ-000479,"Parent objective: OBJ-000479 | Creation: Survival Mode | Start trigger / acquisition: Creation can be turned on or off in Settings menu. For details, consult Help Menu. | Hard gate: None found in TB-011. | Region / start area: Global setup / system menu","Route constraint: Must be handled in setup as the main-route run mode; detailed food, cold, sleep, carry, and travel constraints are deferred to TB-019.",,SN-000090-ae-creation-start-trigger-constraint-index.md,needs_review,warning,TB-022/TB-024,Generated from the reviewed Markdown constraint tables; inspect the source row before writing final route prose.
RPCON-000004,OBJ-000480,Arcane Accessories,ae_start_trigger,data/constraints/ae-creation-start-triggers.md,Constraint Table,OBJ-000480,Parent objective: OBJ-000480 | Creation: Arcane Accessories | Start trigger / acquisition: Robes and Spells can be purchased at vendors and appear in containers. | Hard gate: None found in TB-011. | Region / start area: Multiple / vendors and containers,"Route constraint: Available through vendors, containers, or crafting after AE install; insert during merchant/crafting passes, not as a standalone route anchor.",,SN-000090-ae-creation-start-trigger-constraint-index.md,needs_review,review,TB-022/TB-024,Generated from the reviewed Markdown constraint tables; inspect the source row before writing final route prose.
RPCON-000005,OBJ-000481,Arcane Archer Pack,ae_start_trigger,data/constraints/ae-creation-start-triggers.md,Constraint Table,OBJ-000481,"Parent objective: OBJ-000481 | Creation: Arcane Archer Pack | Start trigger / acquisition: Telekinesis arrows are found in The Arcanaeum in the College of Winterhold, Soul Stealer Arrows can be found in Kagrumez. All other arrows can be purchased at vendors & appear in containers. | Hard gate: None found in TB-011. | Region / start area: Winterhold College, Solstheim, vendors","Route constraint: Split placement: vendor/College arrows can be handled before Solstheim, while Kagrumez-linked Soul Stealer Arrow content waits for Solstheim access.",,SN-000090-ae-creation-start-trigger-constraint-index.md,needs_review,review,TB-022/TB-024,Generated from the reviewed Markdown constraint tables; inspect the source row before writing final route prose.
RPCON-000006,OBJ-000482,Chrysamere,ae_start_trigger,data/constraints/ae-creation-start-triggers.md,Constraint Table,OBJ-000482,Parent objective: OBJ-000482 | Creation: Chrysamere | Start trigger / acquisition: Weapon can be found in Forelhost southeast of Riften. | Hard gate: None found in TB-011. | Region / start area: The Rift / Forelhost,"Route constraint: No hard level gate found in TB-011; place later by region, difficulty, reward value, and downstream constraint tables.",,SN-000090-ae-creation-start-trigger-constraint-index.md,needs_review,review,TB-022/TB-024,Generated from the reviewed Markdown constraint tables; inspect the source row before writing final route prose.
RPCON-000007,OBJ-000483,Divine Crusader,ae_start_trigger,data/constraints/ae-creation-start-triggers.md,Constraint Table,OBJ-000483,Parent objective: OBJ-000483 | Creation: Divine Crusader | Start trigger / acquisition: Armor can be found by exploring Four Skull Lookout far east-northeast of Markarth. | Hard gate: None found in TB-011. | Region / start area: The Reach / Four Skull Lookout,"Route constraint: No hard level gate found in TB-011; place later by region, difficulty, reward value, and downstream constraint tables.",,SN-000090-ae-creation-start-trigger-constraint-index.md,needs_review,review,TB-022/TB-024,Generated from the reviewed Markdown constraint tables; inspect the source row before writing final route prose.
RPCON-000008,OBJ-000484,Plague of the Dead,ae_start_trigger,data/constraints/ae-creation-start-triggers.md,Constraint Table,OBJ-000484,"Parent objective: OBJ-000484 | Creation: Plague of the Dead | Start trigger / acquisition: Quest ""The Rising Dead"" starts by reading an Anonymous Letter delivered by courier upon reaching level 5. | Hard gate: Level 5 courier letter. | Region / start area: Courier start; Falkreath Hold ritual site; Skyrim world interactions",Route constraint: Do not place before the listed hard/prerequisite gate. Exact courier bug handling is deferred to TB-017.,,SN-000090-ae-creation-start-trigger-constraint-index.md | SN-000091-ae-creation-hard-and-prerequisite-gated-starts.md,needs_review,warning,TB-022/TB-024,Generated from the reviewed Markdown constraint tables; inspect the source row before writing final route prose.
RPCON-000009,OBJ-000485,Ruin's Edge,ae_start_trigger,data/constraints/ae-creation-start-triggers.md,Constraint Table,OBJ-000485,Parent objective: OBJ-000485 | Creation: Ruin's Edge | Start trigger / acquisition: Weapon is located in Stony Creek Cave far southeast of Windhelm. | Hard gate: None found in TB-011. | Region / start area: Eastmarch / Stony Creek Cave,"Route constraint: No hard level gate found in TB-011; place later by region, difficulty, reward value, and downstream constraint tables.",,SN-000090-ae-creation-start-trigger-constraint-index.md,needs_review,review,TB-022/TB-024,Generated from the reviewed Markdown constraint tables; inspect the source row before writing final route prose.
RPCON-000010,OBJ-000486,Staff of Sheogorath,ae_start_trigger,data/constraints/ae-creation-start-triggers.md,Constraint Table,OBJ-000486,"Parent objective: OBJ-000486 | Creation: Staff of Sheogorath | Start trigger / acquisition: Quest ""Put a Fork in it"" starts by reading a ""Mysterious Note"" at The Retching Netch in Raven Rock. | Hard gate: None found in TB-011. | Region / start area: Solstheim / Raven Rock",Route constraint: Requires Solstheim access; defer route placement to Dragonborn/Solstheim or an explicit earlier travel decision.,,SN-000090-ae-creation-start-trigger-constraint-index.md,needs_review,review,TB-022/TB-024,Generated from the reviewed Markdown constraint tables; inspect the source row before writing final route prose.
