option_id,option_type,name,source_content,source_section,location,prerequisite_or_condition,related_property_or_role,flags,route_treatment,citations,notes
NPCOPT-000001,spouse_candidate,Aela the Huntress,multiple,Marriage - Female NPCs,Whiterun ( Jorrvaskr ),Complete the Companions Questline,Bed (Jorrvaskr),follower=Yes,option_list,SN-000067-household-role-options.md,Source-listed marriage candidate; default recommendation deferred.
NPCOPT-000002,spouse_candidate,Aeri,multiple,Marriage - Female NPCs,Anga's Mill,Complete her favor: Chop Wood or Delivery,Aeri's House,follower=No,option_list,SN-000067-household-role-options.md,Source-listed marriage candidate; default recommendation deferred.
NPCOPT-000003,spouse_candidate,Anwen,multiple,Marriage - Female NPCs,Markarth ( Temple of Dibella ),Complete The Heart of Dibella,,follower=No,option_list,SN-000067-household-role-options.md,Source-listed marriage candidate; default recommendation deferred.
NPCOPT-000004,spouse_candidate,Avrusa Sarethi,multiple,Marriage - Female NPCs,Sarethi Farm,Complete her favor: Gather Wheat or Smooth Jazbay,Sarethi Farm,follower=No,option_list,SN-000067-household-role-options.md,Source-listed marriage candidate; default recommendation deferred.
NPCOPT-000005,spouse_candidate,Borgakh the Steel Heart,multiple,Marriage - Female NPCs,Mor Khazgur,Convince her to become a Follower,Larak's Longhouse,follower=Yes,option_list,SN-000067-household-role-options.md,Source-listed marriage candidate; default recommendation deferred.
NPCOPT-000006,spouse_candidate,Brelyna Maryon,multiple,Marriage - Female NPCs,Winterhold ( College of Winterhold ),Complete her favors in Brelyna's Practice,Bed ( Hall of Attainment ),follower=Yes,option_list,SN-000067-household-role-options.md,Source-listed marriage candidate; default recommendation deferred.
NPCOPT-000007,spouse_candidate,Camilla Valerius,multiple,Marriage - Female NPCs,Riverwood ( Riverwood Trader ),Complete The Golden Claw,Riverwood Trader,follower=No | merchant=General*,option_list,SN-000067-household-role-options.md,Source-listed marriage candidate; default recommendation deferred.
NPCOPT-000008,spouse_candidate,Dravynea the Stoneweaver,multiple,Marriage - Female NPCs,Kynesgrove ( Braidwood Inn ),Complete her favor: Dravynea's Frost Salts,Bed (Braidwood Inn),follower=No | merchant=Spell,option_list,SN-000067-household-role-options.md,Source-listed marriage candidate; default recommendation deferred.
NPCOPT-000009,spouse_candidate,Ghorza gra-Bagol,multiple,Marriage - Female NPCs,Markarth (Blacksmith Shed),Complete her favor: Skilled Apprenticeship,,follower=No | merchant=Blacksmith,option_list,SN-000067-household-role-options.md,Source-listed marriage candidate; default recommendation deferred.
NPCOPT-000010,spouse_candidate,Gilfre,multiple,Marriage - Female NPCs,Mixwater Mill,Work for her by chopping firewood,Gilfre's House,follower=No,option_list,SN-000067-household-role-options.md,Source-listed marriage candidate; default recommendation deferred.
NPCOPT-000011,spouse_candidate,Hilund DB,multiple,Marriage - Female NPCs,Thirsk Mead Hall,Complete her favor: Hilund Favor Quest,Bed ( Thirsk Mead Hall ),follower=No,option_list,SN-000067-household-role-options.md,Source-listed marriage candidate; default recommendation deferred.
NPCOPT-000012,spouse_candidate,Iona,multiple,Marriage - Female NPCs,Riften ( Honeyside ),Become Thane of the Rift,Bed ( Honeyside ),follower=Yes,option_list,SN-000067-household-role-options.md,Source-listed marriage candidate; default recommendation deferred.
NPCOPT-000013,spouse_candidate,Jenassa,multiple,Marriage - Female NPCs,Whiterun ( The Drunken Huntsman ),Hire her at least once,,follower=Yes,option_list,SN-000067-household-role-options.md,Source-listed marriage candidate; default recommendation deferred.
NPCOPT-000014,spouse_candidate,Jordis the Sword-Maiden,multiple,Marriage - Female NPCs,Solitude ( Proudspire Manor ),Become Thane of Haafingar,Bed (Proudspire Manor),follower=Yes,option_list,SN-000067-household-role-options.md,Source-listed marriage candidate; default recommendation deferred.
NPCOPT-000015,spouse_candidate,Lydia,multiple,Marriage - Female NPCs,Whiterun ( Dragonsreach or Breezehome ),Complete Dragon Rising and purchase Breezehome.,Bed (Breezehome),follower=Yes,option_list,SN-000067-household-role-options.md,Source-listed marriage candidate; default recommendation deferred.
NPCOPT-000016,spouse_candidate,Mjoll the Lioness,multiple,Marriage - Female NPCs,Riften,Complete Grimsever's Return,Aerin's House,follower=Yes,option_list,SN-000067-household-role-options.md,Source-listed marriage candidate; default recommendation deferred.
NPCOPT-000017,spouse_candidate,Morwen DB,multiple,Marriage - Female NPCs,Skaal Village,Complete her favor: Skaal Village Dialogue,Morwen's House,follower=No,option_list,SN-000067-household-role-options.md,Source-listed marriage candidate; default recommendation deferred.
NPCOPT-000018,spouse_candidate,Muiri,multiple,Marriage - Female NPCs,Markarth ( The Hag's Cure ),Complete Mourning Never Comes Player must kill Nilsine as well. Must be proprietor of the store to sell Apothecary merchandise.,The Hag's Cure,follower=No | merchant=Apothecary*,option_list,SN-000067-household-role-options.md,Source-listed marriage candidate; default recommendation deferred.
NPCOPT-000019,spouse_candidate,Njada Stonearm,multiple,Marriage - Female NPCs,Whiterun (Jorrvaskr),Complete the Companions Questline,,follower=Yes,option_list,SN-000067-household-role-options.md,Source-listed marriage candidate; default recommendation deferred.
NPCOPT-000020,spouse_candidate,Orla,multiple,Marriage - Female NPCs,Markarth ( Temple of Dibella ),Complete The Heart of Dibella,,follower=No,option_list,SN-000067-household-role-options.md,Source-listed marriage candidate; default recommendation deferred.
NPCOPT-000021,spouse_candidate,Rayya HF,multiple,Marriage - Female NPCs,Falkreath ( Jarl's Longhouse ),Become Thane of Falkreath,,follower=Yes,option_list,SN-000067-household-role-options.md,Source-listed marriage candidate; default recommendation deferred.
NPCOPT-000022,spouse_candidate,Ria,multiple,Marriage - Female NPCs,Whiterun (Jorrvaskr),Complete the Companions Questline,,follower=Yes,option_list,SN-000067-household-role-options.md,Source-listed marriage candidate; default recommendation deferred.
NPCOPT-000023,spouse_candidate,Senna,multiple,Marriage - Female NPCs,Markarth ( Temple of Dibella ),Complete The Heart of Dibella,,follower=No,option_list,SN-000067-household-role-options.md,Source-listed marriage candidate; default recommendation deferred.
NPCOPT-000024,spouse_candidate,Shahvee,multiple,Marriage - Female NPCs,Windhelm ( Argonian Assemblage ),Retrieve Shahvee's Amulet of Zenithar,,follower=No,option_list,SN-000067-household-role-options.md,Source-listed marriage candidate; default recommendation deferred.
NPCOPT-000025,spouse_candidate,Sylgja,multiple,Marriage - Female NPCs,Shor's Stone,Complete her favor: Special Delivery,Sylgja's House,follower=No,option_list,SN-000067-household-role-options.md,Source-listed marriage candidate; default recommendation deferred.
NPCOPT-000026,spouse_candidate,Taarie,multiple,Marriage - Female NPCs,Solitude ( Radiant Raiment ),Invest in her store.,,follower=No | merchant=Clothing,option_list,SN-000067-household-role-options.md,Source-listed marriage candidate; default recommendation deferred.
NPCOPT-000027,spouse_candidate,Temba Wide-Arm,multiple,Marriage - Female NPCs,Ivarstead,Complete her favor: Chop Wood or Grin and Bear It,Bed ( Vilemyr Inn ),follower=No,option_list,SN-000067-household-role-options.md,Source-listed marriage candidate; default recommendation deferred.
NPCOPT-000028,spouse_candidate,Uthgerd the Unbroken,multiple,Marriage - Female NPCs,Whiterun ( The Bannered Mare ),Challenge her to a brawl and win,Uthgerd's House,follower=Yes,option_list,SN-000067-household-role-options.md,Source-listed marriage candidate; default recommendation deferred.
NPCOPT-000029,spouse_candidate,Viola Giordano,multiple,Marriage - Female NPCs,Windhelm ( Candlehearth Hall ),Rat out Revyn Sadri during his favor,Viola Giordano's House,follower=No,option_list,SN-000067-household-role-options.md,Source-listed marriage candidate; default recommendation deferred.
NPCOPT-000030,spouse_candidate,Ysolda,multiple,Marriage - Female NPCs,Whiterun (Open Market),Bring her one Mammoth Tusk as a favor,Ysolda's House,follower=No | merchant=General,option_list,SN-000067-household-role-options.md,Source-listed marriage candidate; default recommendation deferred.
NPCOPT-000031,spouse_candidate,Ainethach,multiple,Marriage - Male NPCs,Karthwasten,Clear Sanuarach Mine of mercenaries,Karthwasten Hall,follower=No,option_list,SN-000067-household-role-options.md,Source-listed marriage candidate; default recommendation deferred.
NPCOPT-000032,spouse_candidate,Angrenor Once-Honored,multiple,Marriage - Male NPCs,Windhelm ( Candlehearth Hall ),Take pity by giving him a gold piece,,follower=No,option_list,SN-000067-household-role-options.md,Source-listed marriage candidate; default recommendation deferred.
NPCOPT-000033,spouse_candidate,Argis the Bulwark,multiple,Marriage - Male NPCs,Markarth ( Vlindrel Hall ),Become Thane of the Reach,Bed (Vlindrel Hall),follower=Yes,option_list,SN-000067-household-role-options.md,Source-listed marriage candidate; default recommendation deferred.
