property_detail_id,parent_objective_id,property_name,property_group,detail_type,detail_name,source_content,worldspace,region,hold,location,prerequisite_or_trigger,acquisition_or_build_method,cost_or_materials,service_or_npc_dependency,feature_summary,safe_storage_status,display_or_collection_relevance,family_support,survival_mode_relevance,route_treatment,source_id,citations,notes
PROPDET-000001,OBJ-001920,Breezehome,city_home,ownership_summary,Breezehome purchase and feature summary,base_game,Skyrim,Whiterun Hold,Whiterun,Whiterun | Breezehome,,Purchase from city steward,"5,000 gold purchase; 1,550 HF to 1,800 gold full upgrade range",Purchased/upgraded through Proventus Avenicci or Brill; housecarl Lydia,4 bookshelves; 1 shield plaque; 2 weapon plaques; 1 weapon rack with 2 slots; 18 storage spaces; alchemy lab possible,source_lists_safe_home_storage,4 bookshelves; 1 shield plaque; 2 weapon plaques; 1 weapon rack with 2 slots; 18 storage spaces; alchemy lab possible,Spouse and child support require later validation where Hearthfire child-bedroom choices apply.,Breezehome can act as a regional sleep/storage point after purchase.,source_listed_detail,SRC-000063,SN-000074-property-city-and-severin-detail-expansion.md,Breezehome is the cheapest city home and a practical early storage base; exact route timing still depends on Whiterun state and economy.
PROPDET-000002,OBJ-001921,Honeyside,city_home,ownership_summary,Honeyside purchase and feature summary,base_game,Skyrim,The Rift,Riften,Riften | Honeyside,,Purchase from city steward after Riften prerequisites,"5,000 to 8,000 gold purchase; 3,850 HF to 4,300 gold full upgrade range",Purchased/upgraded through Anuriel or Hemming Black-Briar; housecarl Iona,"4 bookshelves; 1 shield plaque; 4 weapon plaques; 2 mannequins; 1 weapon rack with 4 slots; 12 storage spaces; alchemy, enchanting, and tanning features possible",source_lists_safe_home_storage,"4 bookshelves; 1 shield plaque; 4 weapon plaques; 2 mannequins; 1 weapon rack with 4 slots; 12 storage spaces; alchemy, enchanting, and tanning features possible",Spouse and child support require later validation where Hearthfire child-bedroom choices apply.,Honeyside can act as a regional sleep/storage point after purchase.,source_listed_detail,SRC-000063,SN-000074-property-city-and-severin-detail-expansion.md,Honeyside has city and dock access; route should later validate price bug and Riften thane/property sequence.
PROPDET-000003,OBJ-001922,Vlindrel Hall,city_home,ownership_summary,Vlindrel Hall purchase and feature summary,base_game,Skyrim,The Reach,Markarth,Markarth | Vlindrel Hall,,Purchase from city steward after Reach prerequisites,"8,000 gold purchase; 3,900 HF to 4,200 gold full upgrade range",Purchased/upgraded through Raerek or Reburrus Quintilius; housecarl Argis the Bulwark,9 bookshelves; 3 shield plaques; 2 weapon plaques; 4 display cases; 1 mannequin; 2 weapon racks with 2 slots; 28 storage spaces; alchemy and enchanting possible,source_lists_safe_home_storage,9 bookshelves; 3 shield plaques; 2 weapon plaques; 4 display cases; 1 mannequin; 2 weapon racks with 2 slots; 28 storage spaces; alchemy and enchanting possible,Spouse and child support require later validation where Hearthfire child-bedroom choices apply.,Vlindrel Hall can act as a regional sleep/storage point after purchase.,source_listed_detail,SRC-000063,SN-000074-property-city-and-severin-detail-expansion.md,"Large bookshelf and display capacity make this important for collection staging, but child-bedroom tradeoff requires later default policy."
PROPDET-000004,OBJ-001923,Hjerim,city_home,ownership_summary,Hjerim purchase and feature summary,base_game,Skyrim,Eastmarch,Windhelm,Windhelm | Hjerim,,Purchase from steward after Blood on the Ice and Civil War/Eastmarch access state,"8,000 to 12,000 gold purchase; 9,000 to 10,250 HF gold full upgrade range",Purchased/upgraded through Jorleif; housecarl Calder,12 bookshelves; 2 shield plaques; 7 weapon plaques; 7 display cases; 3 mannequins; 1 weapon rack with 5 slots; 29 storage spaces; alchemy and enchanting possible,source_lists_safe_home_storage,12 bookshelves; 2 shield plaques; 7 weapon plaques; 7 display cases; 3 mannequins; 1 weapon rack with 5 slots; 29 storage spaces; alchemy and enchanting possible,Spouse and child support require later validation where Hearthfire child-bedroom choices apply.,Hjerim can act as a regional sleep/storage point after purchase.,source_listed_detail,SRC-000063,SN-000074-property-city-and-severin-detail-expansion.md,Hjerim has major prerequisite and cleanup-order risks; detailed conflict and bug mitigation remain downstream.
PROPDET-000005,OBJ-001924,Proudspire Manor,city_home,ownership_summary,Proudspire Manor purchase and feature summary,base_game,Skyrim,Haafingar,Solitude,Solitude | Proudspire Manor,,Purchase from Solitude steward after Haafingar prerequisites,"25,000 gold purchase; 11,000 to 14,000 HF to 14,500 CC gold full upgrade range",Purchased/upgraded through Falk Firebeard; housecarl Jordis the Sword-Maiden,10 bookshelves; 2 shield plaques; 2 weapon plaques; 2 mannequins; 2 weapon racks; 15 storage spaces; alchemy and enchanting possible; one Stone of Barenziah is in the master bedroom,source_lists_safe_home_storage,10 bookshelves; 2 shield plaques; 2 weapon plaques; 2 mannequins; 2 weapon racks; 15 storage spaces; alchemy and enchanting possible; one Stone of Barenziah is in the master bedroom,Spouse and child support require later validation where Hearthfire child-bedroom choices apply.,Proudspire Manor can act as a regional sleep/storage point after purchase.,source_listed_detail,SRC-000063,SN-000074-property-city-and-severin-detail-expansion.md,Proudspire has high economy cost and checklist synchronization value because of the Stone of Barenziah inside.
PROPDET-000006,OBJ-001920,Breezehome,city_home,purchasable_upgrade,Alchemy laboratory,base_game,Skyrim,Whiterun Hold,Whiterun,Whiterun | Breezehome,,Purchase from Proventus Avenicci or Brill when available,500 gold,City steward: Proventus Avenicci or Brill,Adds alchemy lab and storage; mutually exclusive with Child's Bedroom under Hearthfire.,source_lists_storage,Alchemy lab,No child beds with this option.,"City-home furnishing may affect storage, crafting, family beds, and regional rest points.",mutually_exclusive_upgrade,SRC-000063,SN-000074-property-city-and-severin-detail-expansion.md,Exact purchase timing and any bug mitigation remain deferred to property/economy/conflict passes.
PROPDET-000007,OBJ-001920,Breezehome,city_home,purchasable_upgrade,Bedroom furnishings,base_game,Skyrim,Whiterun Hold,Whiterun,Whiterun | Breezehome,,Purchase from Proventus Avenicci or Brill when available,300 gold,City steward: Proventus Avenicci or Brill,"Adds bed, chest, dresser, end tables, and decorations.",source_lists_storage,,Adult bedroom.,"City-home furnishing may affect storage, crafting, family beds, and regional rest points.",purchasable_upgrade,SRC-000063,SN-000074-property-city-and-severin-detail-expansion.md,Exact purchase timing and any bug mitigation remain deferred to property/economy/conflict passes.
PROPDET-000008,OBJ-001920,Breezehome,city_home,purchasable_upgrade,Dining room decorations,base_game,Skyrim,Whiterun Hold,Whiterun,Whiterun | Breezehome,,Purchase from Proventus Avenicci or Brill when available,250 gold,City steward: Proventus Avenicci or Brill,"Upgrades dining table and adds barrel, cupboard, wall shelves, chair, and rug.",source_lists_storage,,,"City-home furnishing may affect storage, crafting, family beds, and regional rest points.",purchasable_upgrade,SRC-000063,SN-000074-property-city-and-severin-detail-expansion.md,Exact purchase timing and any bug mitigation remain deferred to property/economy/conflict passes.
PROPDET-000009,OBJ-001920,Breezehome,city_home,purchasable_upgrade,Kitchen furnishings,base_game,Skyrim,Whiterun Hold,Whiterun,Whiterun | Breezehome,,Purchase from Proventus Avenicci or Brill when available,300 gold,City steward: Proventus Avenicci or Brill,"Adds cooking pot, shelves, table, chairs, wall decorations, harvestable garlic and elves ear, and salmon.",needs_validation_later,,,"City-home furnishing may affect storage, crafting, family beds, and regional rest points.",purchasable_upgrade,SRC-000063,SN-000074-property-city-and-severin-detail-expansion.md,Exact purchase timing and any bug mitigation remain deferred to property/economy/conflict passes.
PROPDET-000010,OBJ-001920,Breezehome,city_home,purchasable_upgrade,Living room furnishings,base_game,Skyrim,Whiterun Hold,Whiterun,Whiterun | Breezehome,,Purchase from Proventus Avenicci or Brill when available,250 gold,City steward: Proventus Avenicci or Brill,"Adds bookshelf, weapon plaque, weapon rack, tables, chairs, cupboard, wall shelves, and rug.",source_lists_storage,Bookshelf; weapon plaque; weapon rack,,"City-home furnishing may affect storage, crafting, family beds, and regional rest points.",purchasable_upgrade,SRC-000063,SN-000074-property-city-and-severin-detail-expansion.md,Exact purchase timing and any bug mitigation remain deferred to property/economy/conflict passes.
