enchantment_record_id,objective_id,enchantment_name,enchantment_type,effect_group,source_content,source_page,source_id,base_magnitude,base_cost,enchantable_item_slots,disenchant_sources,learning_policy,preservation_conflict_item,route_treatment,citations,notes
ENCH-000001,OBJ-002467,Fortify Alchemy,apparel,Fortify Skill,base_game,https://en.uesp.net/wiki/Skyrim:Enchanting_Effects,SRC-000287,+8% potion strength,167,head | neck | hands | finger,"All varieties of Bracers/Gauntlets, Helmets, and Necklaces of Alchemy Includes the enchantments of [Minor/Major/Eminent/Extreme/Peerless] Alchemy Muiri's Ring Ring of Pure Mixtures This item cannot be disenchanted while the related quest is active, but can at other times. Due to a bug, the Dwarven Helmet of Eminent Alteration also has an alchemy enchantment",main_route_nonunique_source,,source_listed_enchantment_learning,SN-000083-enchantment-learning-scope.md,Source-listed enchantment; final source item and timing selection deferred.
ENCH-000002,OBJ-002468,Fortify Alteration,apparel,Fortify Skill,base_game,https://en.uesp.net/wiki/Skyrim:Enchanting_Effects,SRC-000287,-8% casting cost,206,head | neck | chest | finger,"All varieties of Armor, Bracers, and Helmets of Alteration Includes the enchantments of [Minor/Major/Eminent/Extreme/Peerless] Alteration",main_route_nonunique_source,,source_listed_enchantment_learning,SN-000083-enchantment-learning-scope.md,Source-listed enchantment; final source item and timing selection deferred.
ENCH-000003,OBJ-002469,Fortify Archery,apparel,Fortify Skill,base_game,https://en.uesp.net/wiki/Skyrim:Enchanting_Effects,SRC-000287,+13% damage,352,head | neck | hands | finger,"All varieties of Bracers/Gauntlets, Circlets, Helmets, and Rings of Archery Includes the enchantments of [Minor/Major/Eminent/Extreme/Peerless] Archery",main_route_nonunique_source,,source_listed_enchantment_learning,SN-000083-enchantment-learning-scope.md,Source-listed enchantment; final source item and timing selection deferred.
ENCH-000004,OBJ-002470,Fortify Barter,apparel,Fortify Skill,base_game,https://en.uesp.net/wiki/Skyrim:Enchanting_Effects,SRC-000287,Prices improved by 8%,206,neck,All Necklaces of Haggling Includes the enchantments of [Minor/Major/Eminent/Extreme/Peerless] Barter,main_route_nonunique_source,,source_listed_enchantment_learning,SN-000083-enchantment-learning-scope.md,Source-listed enchantment; final source item and timing selection deferred.
ENCH-000005,OBJ-002471,Fortify Block,apparel,Fortify Skill,base_game,https://en.uesp.net/wiki/Skyrim:Enchanting_Effects,SRC-000287,+13% damage blocked,235,neck | hands | finger | shield,All varieties of Shield of Blocking Includes the enchantments of [Minor/Major/Eminent/Extreme/Peerless] Fortify Block,main_route_nonunique_source,,source_listed_enchantment_learning,SN-000083-enchantment-learning-scope.md,Source-listed enchantment; final source item and timing selection deferred.
ENCH-000006,OBJ-002472,Fortify Conjuration,apparel,Fortify Skill,base_game,https://en.uesp.net/wiki/Skyrim:Enchanting_Effects,SRC-000287,-8% casting cost,246,head | neck | chest | finger,"All varieties of Armor, Bracers, and Helmet of Conjuring Includes the enchantments of [Minor/Major/Eminent/Extreme/Peerless] Fortify Conjuring All varieties of Circlets, and Imperial Helmets of Conjuration Includes the enchantments of [Minor/Major/Eminent/Extreme/Peerless] Conjuration",main_route_nonunique_source,,source_listed_enchantment_learning,SN-000083-enchantment-learning-scope.md,Source-listed enchantment; final source item and timing selection deferred.
ENCH-000007,OBJ-002473,Fortify Destruction,apparel,Fortify Skill,base_game,https://en.uesp.net/wiki/Skyrim:Enchanting_Effects,SRC-000287,-8% casting cost,256,head | neck | chest | finger,"All varieties of Armor, Bracers, Circlets, Helmets, Necklaces, and Rings of Destruction Includes the enchantments of [Minor/Major/Eminent/Extreme/Peerless] Destruction Hooded Thalmor Robes Thalmor Robes",main_route_nonunique_source,,source_listed_enchantment_learning,SN-000083-enchantment-learning-scope.md,Source-listed enchantment; final source item and timing selection deferred.
ENCH-000008,OBJ-002474,Fortify Heavy Armor,apparel,Fortify Skill,base_game,https://en.uesp.net/wiki/Skyrim:Enchanting_Effects,SRC-000287,+8 skill,157,neck | chest | hands | finger,Most varieties of Armor and Necklaces of the Knight Includes the enchantments of the [Minor/Major/Eminent/Extreme/Noble/Peerless] Knight,main_route_nonunique_source,,source_listed_enchantment_learning,SN-000083-enchantment-learning-scope.md,Source-listed enchantment; final source item and timing selection deferred.
ENCH-000009,OBJ-002475,Fortify Illusion,apparel,Fortify Skill,base_game,https://en.uesp.net/wiki/Skyrim:Enchanting_Effects,SRC-000287,-8% casting cost,226,head | neck | chest | finger,"All varieties of Armor, and Helmets of Illusion Includes the enchantments of [Minor/Major/Eminent/Extreme/Peerless] Illusion",main_route_nonunique_source,,source_listed_enchantment_learning,SN-000083-enchantment-learning-scope.md,Source-listed enchantment; final source item and timing selection deferred.
ENCH-000010,OBJ-002476,Fortify Light Armor,apparel,Fortify Skill,base_game,https://en.uesp.net/wiki/Skyrim:Enchanting_Effects,SRC-000287,+8 skill,137,neck | chest | hands | finger,All varieties of Armor and Necklaces of the Squire Includes the enchantments of the [Minor/Major/Eminent/Extreme/Noble/Peerless] Squire,main_route_nonunique_source,,source_listed_enchantment_learning,SN-000083-enchantment-learning-scope.md,Source-listed enchantment; final source item and timing selection deferred.
