objective_id,objective_name,category,subcategory,route_placement,guide_literal_id_match,guide_name_match,internal_coverage_row_count,audit_status,coverage_statuses,completion_statuses,guide_locations,recommended_action,notes
OBJ-000001,Unbound,quest,main_quest,main_route,N,Y,1,covered_by_internal_coverage,completed_now,complete,Helgen Riverwood And First Survival Loop,none,
OBJ-000002,Before the Storm,quest,main_quest,main_route,N,Y,2,covered_by_internal_coverage,advanced_not_completed | completed_now,complete | staged_for_mr003_completion,First Day In Whiterun | Helgen Riverwood And First Survival Loop,none,
OBJ-000003,Bleak Falls Barrow,quest,main_quest,main_route,N,Y,3,covered_by_internal_coverage,completed_now | started_not_completed,complete | staged_for_mr004_completion,Bleak Falls Barrow And First Dragon | First Day In Whiterun | Helgen Riverwood And First Survival Loop,none,
OBJ-000004,Dragon Rising,quest,main_quest,main_route,N,Y,1,covered_by_internal_coverage,completed_now,complete,Bleak Falls Barrow And First Dragon,none,
OBJ-000005,The Way of the Voice,quest,main_quest,main_route,N,N,2,covered_by_internal_coverage,placed_in_guide,complete,Main Quest Staging Before Sky Haven,none,
OBJ-000006,The Horn of Jurgen Windcaller,quest,main_quest,main_route,N,Y,1,covered_by_internal_coverage,placed_in_guide,complete,Main Quest Staging Before Sky Haven,none,
OBJ-000007,A Blade in the Dark,quest,main_quest,main_route,N,Y,1,covered_by_internal_coverage,placed_in_guide,complete,Main Quest Staging Before Sky Haven,none,
OBJ-000008,Diplomatic Immunity,quest,main_quest,main_route,N,Y,2,covered_by_internal_coverage,placed_in_guide,complete,Main Quest Staging Before Sky Haven,none,
OBJ-000009,A Cornered Rat,quest,main_quest,main_route,N,Y,1,covered_by_internal_coverage,placed_in_guide,complete,Main Quest Staging Before Sky Haven,none,
OBJ-000010,Alduin's Wall,quest,main_quest,main_route,N,Y,3,covered_by_internal_coverage,audited_not_started_here | placed_in_guide | started_and_parked,complete | staged_for_level_46_sky_haven_dragonbane,Karthspire Sky Haven And Dragonbane | Main Quest Staging Before Sky Haven | Markarth Nchuand-Zel And Old Hroldan,none,
