objective_id,objective_name,category,subcategory,source_content,route_placement,routing_rigidity,research_status,validation_status,objective_worldspace,objective_region,objective_hold,objective_location,location_record_ids,coordinate_record_ids,geography_record_ids,primary_coordinate_worldspace,primary_route_cluster,primary_route_corridor,primary_nearest_corridor_hub,primary_nearest_major_carriage_origin,primary_nearest_ferry_terminal,primary_nearest_inn_or_rest,primary_nearest_candidate_base,primary_worldspace_access_model,primary_transport_access_flags,primary_cold_risk,primary_barrier_flags,primary_geography_confidence,support_table_refs,support_record_count,support_location_count,support_worldspaces,support_regions,support_holds,support_locations,support_route_treatments,constraint_count,constraint_types,constraint_source_files,constraint_severities,hard_level_gate,leveled_reward_threshold,cell_entry_lock_risk,missability,bug_risk,has_quest_conflict,has_npc_dependency,has_trophy_relevance,survival_mode_relevance,candidate_status,route_index_status,notes
OBJ-000001,Unbound,quest,main_quest,base_game,main_route,fixed_early,needs_review,not_started,Skyrim,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,1,trophy_dependency,data/constraints/trophy-dependencies.md,hard_gate,,,unknown,unknown,unknown,no,no,yes,,no_route_candidate_data,constraint_backed_needs_review,Generated routing workbench row; source CSVs and constraint tables remain canonical.
OBJ-000002,Before the Storm,quest,main_quest,base_game,main_route,fixed_early,needs_review,not_started,Skyrim,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,0,,,,,,unknown,unknown,unknown,no,no,no,,no_route_candidate_data,ready_for_route_pass,Generated routing workbench row; source CSVs and constraint tables remain canonical.
OBJ-000003,Bleak Falls Barrow,quest,main_quest,base_game,main_route,dependency_flexible,needs_review,not_started,Skyrim,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,1,trophy_dependency,data/constraints/trophy-dependencies.md,hard_gate,,,unknown,unknown,unknown,no,no,yes,,no_route_candidate_data,constraint_backed_needs_review,Generated routing workbench row; source CSVs and constraint tables remain canonical.
OBJ-000004,Dragon Rising,quest,main_quest,base_game,main_route,windowed,needs_review,not_started,Skyrim,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,0,,,,,,unknown,unknown,unknown,no,no,no,,no_route_candidate_data,ready_for_route_pass,Generated routing workbench row; source CSVs and constraint tables remain canonical.
OBJ-000005,The Way of the Voice,quest,main_quest,base_game,main_route,dependency_flexible,needs_review,not_started,Skyrim,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,1,trophy_dependency,data/constraints/trophy-dependencies.md,hard_gate,,,unknown,unknown,unknown,no,no,yes,,no_route_candidate_data,constraint_backed_needs_review,Generated routing workbench row; source CSVs and constraint tables remain canonical.
OBJ-000006,The Horn of Jurgen Windcaller,quest,main_quest,base_game,main_route,dependency_flexible,needs_review,not_started,Skyrim,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,0,,,,,,unknown,unknown,unknown,no,no,no,,no_route_candidate_data,ready_for_route_pass,Generated routing workbench row; source CSVs and constraint tables remain canonical.
OBJ-000007,A Blade in the Dark,quest,main_quest,base_game,main_route,dependency_flexible,needs_review,not_started,Skyrim,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,0,,,,,,unknown,unknown,unknown,no,no,no,,no_route_candidate_data,ready_for_route_pass,Generated routing workbench row; source CSVs and constraint tables remain canonical.
OBJ-000008,Diplomatic Immunity,quest,main_quest,base_game,main_route,dependency_flexible,needs_review,not_started,Skyrim,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,1,trophy_dependency,data/constraints/trophy-dependencies.md,hard_gate,,,unknown,unknown,unknown,no,no,yes,,no_route_candidate_data,constraint_backed_needs_review,Generated routing workbench row; source CSVs and constraint tables remain canonical.
OBJ-000009,A Cornered Rat,quest,main_quest,base_game,main_route,dependency_flexible,needs_review,not_started,Skyrim,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,0,,,,,,unknown,unknown,unknown,no,no,no,,no_route_candidate_data,ready_for_route_pass,Generated routing workbench row; source CSVs and constraint tables remain canonical.
OBJ-000010,Alduin's Wall,quest,main_quest,base_game,main_route,fixed_late,needs_review,not_started,Skyrim,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,1,trophy_dependency,data/constraints/trophy-dependencies.md,hard_gate,,,unknown,unknown,unknown,no,no,yes,,no_route_candidate_data,constraint_backed_needs_review,Generated routing workbench row; source CSVs and constraint tables remain canonical.
OBJ-000011,The Throat of the World,quest,main_quest,base_game,main_route,dependency_flexible,needs_review,not_started,Skyrim,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,0,,,,,,unknown,unknown,unknown,no,no,no,,no_route_candidate_data,ready_for_route_pass,Generated routing workbench row; source CSVs and constraint tables remain canonical.
OBJ-000012,Elder Knowledge,quest,main_quest,base_game,main_route,dependency_flexible,needs_review,not_started,Skyrim,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,1,trophy_dependency,data/constraints/trophy-dependencies.md,hard_gate,,,unknown,unknown,unknown,no,no,yes,,no_route_candidate_data,constraint_backed_needs_review,Generated routing workbench row; source CSVs and constraint tables remain canonical.
OBJ-000013,Alduin's Bane,quest,main_quest,base_game,main_route,dependency_flexible,needs_review,not_started,Skyrim,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,0,,,,,,unknown,unknown,unknown,no,no,no,,no_route_candidate_data,ready_for_route_pass,Generated routing workbench row; source CSVs and constraint tables remain canonical.
OBJ-000014,The Fallen,quest,main_quest,base_game,main_route,windowed,needs_review,not_started,Skyrim,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,1,trophy_dependency,data/constraints/trophy-dependencies.md,branch_or_hard_save,,,unknown,unknown,unknown,no,no,yes,,no_route_candidate_data,constraint_backed_needs_review,Generated routing workbench row; source CSVs and constraint tables remain canonical.
OBJ-000015,The World-Eater's Eyrie,quest,main_quest,base_game,main_route,dependency_flexible,needs_review,not_started,Skyrim,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,0,,,,,,unknown,unknown,unknown,no,no,no,,no_route_candidate_data,ready_for_route_pass,Generated routing workbench row; source CSVs and constraint tables remain canonical.
OBJ-000016,Sovngarde,quest,main_quest,base_game,main_route,dependency_flexible,needs_review,not_started,Skyrim,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,0,,,,,,unknown,unknown,unknown,no,no,no,,no_route_candidate_data,ready_for_route_pass,Generated routing workbench row; source CSVs and constraint tables remain canonical.
OBJ-000017,Dragonslayer,quest,main_quest,base_game,main_route,dependency_flexible,needs_review,not_started,Skyrim,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,1,trophy_dependency,data/constraints/trophy-dependencies.md,hard_gate,,,unknown,unknown,unknown,no,no,yes,,no_route_candidate_data,constraint_backed_needs_review,Generated routing workbench row; source CSVs and constraint tables remain canonical.
OBJ-000018,Season Unending,quest,optional_main_quest,base_game,main_route,windowed,needs_review,not_started,Skyrim,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,0,,,,,,unknown,unknown,unknown,no,no,yes,,no_route_candidate_data,ready_for_route_pass,Generated routing workbench row; source CSVs and constraint tables remain canonical.
OBJ-000019,Paarthurnax,quest,optional_main_quest,base_game,branch_route,branch_only,needs_review,not_started,Skyrim,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,1,quest_conflict_or_branch,data/constraints/quest-conflicts-hard-saves.md,branch_or_hard_save,,,unknown,unknown,unknown,no,no,no,,no_route_candidate_data,constraint_backed_needs_review,Generated routing workbench row; source CSVs and constraint tables remain canonical.
OBJ-000020,Take Up Arms,quest,companions,base_game,main_route,windowed,needs_review,not_started,Skyrim,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,1,trophy_dependency,data/constraints/trophy-dependencies.md,hard_gate,,,unknown,unknown,unknown,no,no,yes,,no_route_candidate_data,constraint_backed_needs_review,Generated routing workbench row; source CSVs and constraint tables remain canonical.
OBJ-000021,Proving Honor,quest,companions,base_game,main_route,windowed,needs_review,not_started,Skyrim,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,0,,,,,,unknown,unknown,unknown,no,no,no,,no_route_candidate_data,ready_for_route_pass,Generated routing workbench row; source CSVs and constraint tables remain canonical.
OBJ-000022,The Silver Hand,quest,companions,base_game,main_route,windowed,needs_review,not_started,Skyrim,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,1,trophy_dependency,data/constraints/trophy-dependencies.md,hard_gate,,,unknown,unknown,unknown,no,no,yes,,no_route_candidate_data,constraint_backed_needs_review,Generated routing workbench row; source CSVs and constraint tables remain canonical.
OBJ-000023,Blood's Honor,quest,companions,base_game,main_route,windowed,needs_review,not_started,Skyrim,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,0,,,,,,unknown,unknown,unknown,no,no,no,,no_route_candidate_data,ready_for_route_pass,Generated routing workbench row; source CSVs and constraint tables remain canonical.
OBJ-000024,Purity of Revenge,quest,companions,base_game,main_route,windowed,needs_review,not_started,Skyrim,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,0,,,,,,unknown,unknown,unknown,no,no,no,,no_route_candidate_data,ready_for_route_pass,Generated routing workbench row; source CSVs and constraint tables remain canonical.
