selection_id,selection_type,source_record_id,objective_id,name,subcategory,route_block,selection_status,selected_source,source_location,source_detail,route_timing,prerequisites_or_inputs,avoid_until,validation_owner,source_note_refs,notes
PROGSEL-000001,skill_book_copy,BOOKLOC-000001,OBJ-000819,A Game at Dinner,Alchemy,G05,selected_default_copy_pending_route_validation,Dead Crone Rock,Dead Crone Rock,"Dead Crone Rock (The Reach), by a lever opening the way to the rooftop",Collect selected copy when its route block is safe; read after Scholar's Insight and high-skill timing check.,,Do not read before Scholar's Insight unless final route explicitly documents the tradeoff.,TB-031G/TB-033 route-access and final skill-state validation,SN-000051-skill-books-and-reader.md,One title-level skill book objective needs one selected copy; duplicate copies remain non-required alternates.
PROGSEL-000002,skill_book_copy,BOOKLOC-000007,OBJ-000820,De Rerum Dirennis,Alchemy,G03,selected_default_copy_pending_route_validation,240 ft N of Evergreen Grove,240 ft N of Evergreen Grove,240 ft N of Evergreen Grove (Falkreath Hold),Collect selected copy when its route block is safe; read after Scholar's Insight and high-skill timing check.,,Do not read before Scholar's Insight unless final route explicitly documents the tradeoff.,TB-031G/TB-033 route-access and final skill-state validation,SN-000051-skill-books-and-reader.md,One title-level skill book objective needs one selected copy; duplicate copies remain non-required alternates.
PROGSEL-000003,skill_book_copy,BOOKLOC-000013,OBJ-000821,Herbalist's Guide to Skyrim,Alchemy,G02,selected_default_copy_pending_route_validation,Arcadia's Cauldron,Arcadia's Cauldron,Arcadia's Cauldron (Whiterun),Collect selected copy when its route block is safe; read after Scholar's Insight and high-skill timing check.,,Do not read before Scholar's Insight unless final route explicitly documents the tradeoff.,TB-031G/TB-033 route-access and final skill-state validation,SN-000051-skill-books-and-reader.md,One title-level skill book objective needs one selected copy; duplicate copies remain non-required alternates.
PROGSEL-000004,skill_book_copy,BOOKLOC-000017,OBJ-000822,"Mannimarco, King of Worms",Alchemy,G03,selected_default_copy_pending_route_validation,Evergreen Grove,Evergreen Grove,"Evergreen Grove (Falkreath Hold), on an altar",Collect selected copy when its route block is safe; read after Scholar's Insight and high-skill timing check.,,Do not read before Scholar's Insight unless final route explicitly documents the tradeoff.,TB-031G/TB-033 route-access and final skill-state validation,SN-000051-skill-books-and-reader.md,One title-level skill book objective needs one selected copy; duplicate copies remain non-required alternates.
PROGSEL-000005,skill_book_copy,BOOKLOC-000022,OBJ-000823,Song of the Alchemists,Alchemy,G03,selected_default_copy_pending_route_validation,Anise's Cabin,Anise's Cabin,"Anise's Cabin (Falkreath Hold), on a table at the foot of the bed",Collect selected copy when its route block is safe; read after Scholar's Insight and high-skill timing check.,,Do not read before Scholar's Insight unless final route explicitly documents the tradeoff.,TB-031G/TB-033 route-access and final skill-state validation,SN-000051-skill-books-and-reader.md,One title-level skill book objective needs one selected copy; duplicate copies remain non-required alternates.
PROGSEL-000006,skill_book_copy,BOOKLOC-000026,OBJ-000824,Breathing Water,Alteration,G03,selected_default_copy_pending_route_validation,Ilinalta's Deep,Ilinalta's Deep,"Ilinalta's Deep (Falkreath Hold), underwater room, next to a submerged chest",Collect selected copy when its route block is safe; read after Scholar's Insight and high-skill timing check.,,Do not read before Scholar's Insight unless final route explicitly documents the tradeoff.,TB-031G/TB-033 route-access and final skill-state validation,SN-000051-skill-books-and-reader.md,One title-level skill book objective needs one selected copy; duplicate copies remain non-required alternates.
PROGSEL-000007,skill_book_copy,BOOKLOC-000032,OBJ-000825,Daughter of the Niben,Alteration,G06,selected_default_copy_pending_route_validation,Brandy-Mug Farm,Brandy-Mug Farm,"Brandy-Mug Farm (Eastmarch), on top of the fireplace",Collect selected copy when its route block is safe; read after Scholar's Insight and high-skill timing check.,,Do not read before Scholar's Insight unless final route explicitly documents the tradeoff.,TB-031G/TB-033 route-access and final skill-state validation,SN-000051-skill-books-and-reader.md,One title-level skill book objective needs one selected copy; duplicate copies remain non-required alternates.
PROGSEL-000008,skill_book_copy,BOOKLOC-000039,OBJ-000826,Reality & Other Falsehoods,Alteration,G04,selected_default_copy_pending_route_validation,Snow-Shod Farm,Snow-Shod Farm,"Snow-Shod Farm (The Rift), basement",Collect selected copy when its route block is safe; read after Scholar's Insight and high-skill timing check.,,Do not read before Scholar's Insight unless final route explicitly documents the tradeoff.,TB-031G/TB-033 route-access and final skill-state validation,SN-000051-skill-books-and-reader.md,One title-level skill book objective needs one selected copy; duplicate copies remain non-required alternates.
PROGSEL-000009,skill_book_copy,BOOKLOC-000043,OBJ-000827,Sithis,Alteration,G14,selected_default_copy_pending_route_validation,Cradle Stone Tower,Cradle Stone Tower,Cradle Stone Tower,Collect selected copy when its route block is safe; read after Scholar's Insight and high-skill timing check.,,Do not read before Scholar's Insight unless final route explicitly documents the tradeoff.,TB-031G/TB-033 route-access and final skill-state validation,SN-000051-skill-books-and-reader.md,One title-level skill book objective needs one selected copy; duplicate copies remain non-required alternates.
PROGSEL-000010,skill_book_copy,BOOKLOC-000048,OBJ-000828,The Lunar Lorkhan,Alteration,G06,selected_default_copy_pending_route_validation,Cragwallow Slope,Cragwallow Slope,"Cragwallow Slope (Eastmarch), central chamber",Collect selected copy when its route block is safe; read after Scholar's Insight and high-skill timing check.,,Do not read before Scholar's Insight unless final route explicitly documents the tradeoff.,TB-031G/TB-033 route-access and final skill-state validation,SN-000051-skill-books-and-reader.md,One title-level skill book objective needs one selected copy; duplicate copies remain non-required alternates.
PROGSEL-000011,skill_book_copy,BOOKLOC-000053,OBJ-000829,Father Of The Niben,Archery,G03,selected_default_copy_pending_route_validation,Hunter's Rest,Hunter's Rest,"Hunter's Rest (Falkreath Hold), between two bedrolls",Collect selected copy when its route block is safe; read after Scholar's Insight and high-skill timing check.,,Do not read before Scholar's Insight unless final route explicitly documents the tradeoff.,TB-031G/TB-033 route-access and final skill-state validation,SN-000051-skill-books-and-reader.md,One title-level skill book objective needs one selected copy; duplicate copies remain non-required alternates.
PROGSEL-000012,skill_book_copy,BOOKLOC-000058,OBJ-000830,"The Black Arrow, v2",Archery,G07,selected_default_copy_pending_route_validation,Brood Cavern,Brood Cavern,"Brood Cavern (Hjaalmarch), on the body of a dead hunter",Collect selected copy when its route block is safe; read after Scholar's Insight and high-skill timing check.,,Do not read before Scholar's Insight unless final route explicitly documents the tradeoff.,TB-031G/TB-033 route-access and final skill-state validation,SN-000051-skill-books-and-reader.md,One title-level skill book objective needs one selected copy; duplicate copies remain non-required alternates.
PROGSEL-000013,skill_book_copy,BOOKLOC-000063,OBJ-000831,The Gold Ribbon of Merit,Archery,G03,selected_default_copy_pending_route_validation,Angi's Camp,Angi's Camp,"Angi's Camp (Falkreath Hold), inside the shack, on the end table by the bed",Collect selected copy when its route block is safe; read after Scholar's Insight and high-skill timing check.,,Do not read before Scholar's Insight unless final route explicitly documents the tradeoff.,TB-031G/TB-033 route-access and final skill-state validation,SN-000051-skill-books-and-reader.md,One title-level skill book objective needs one selected copy; duplicate copies remain non-required alternates.
PROGSEL-000014,skill_book_copy,BOOKLOC-000069,OBJ-000832,The Marksmanship Lesson,Archery,G05,selected_default_copy_pending_route_validation,Cliffside Retreat,Cliffside Retreat,"Cliffside Retreat (The Reach), on a table",Collect selected copy when its route block is safe; read after Scholar's Insight and high-skill timing check.,,Do not read before Scholar's Insight unless final route explicitly documents the tradeoff.,TB-031G/TB-033 route-access and final skill-state validation,SN-000051-skill-books-and-reader.md,One title-level skill book objective needs one selected copy; duplicate copies remain non-required alternates.
PROGSEL-000015,skill_book_copy,BOOKLOC-000074,OBJ-000833,Vernaccus and Bourlor,Archery,G04,selected_default_copy_pending_route_validation,Clearspring Cave,Clearspring Cave,Clearspring Cave (The Rift),Collect selected copy when its route block is safe; read after Scholar's Insight and high-skill timing check.,,Do not read before Scholar's Insight unless final route explicitly documents the tradeoff.,TB-031G/TB-033 route-access and final skill-state validation,SN-000051-skill-books-and-reader.md,One title-level skill book objective needs one selected copy; duplicate copies remain non-required alternates.
PROGSEL-000016,skill_book_copy,BOOKLOC-000079,OBJ-000834,"A Dance in Fire, v2",Block,G07,selected_default_copy_pending_route_validation,Fort Snowhawk,Fort Snowhawk,"Fort Snowhawk (Hjaalmarch), on a table in the room west of the back entrance in the main keep",Collect selected copy when its route block is safe; read after Scholar's Insight and high-skill timing check.,,Do not read before Scholar's Insight unless final route explicitly documents the tradeoff.,TB-031G/TB-033 route-access and final skill-state validation,SN-000051-skill-books-and-reader.md,One title-level skill book objective needs one selected copy; duplicate copies remain non-required alternates.
PROGSEL-000017,skill_book_copy,BOOKLOC-000084,OBJ-000835,Battle of Red Mountain,Block,G04,selected_default_copy_pending_route_validation,Largashbur Cellar,Largashbur Cellar,Largashbur Cellar (The Rift),Collect selected copy when its route block is safe; read after Scholar's Insight and high-skill timing check.,,Do not read before Scholar's Insight unless final route explicitly documents the tradeoff.,TB-031G/TB-033 route-access and final skill-state validation,SN-000051-skill-books-and-reader.md,One title-level skill book objective needs one selected copy; duplicate copies remain non-required alternates.
PROGSEL-000018,skill_book_copy,BOOKLOC-000089,OBJ-000836,Death Blow of Abernanit,Block,G14,selected_default_copy_pending_route_validation,430 ft W of Dawnstar,430 ft W of Dawnstar,430 ft W of Dawnstar,Collect selected copy when its route block is safe; read after Scholar's Insight and high-skill timing check.,,Do not read before Scholar's Insight unless final route explicitly documents the tradeoff.,TB-031G/TB-033 route-access and final skill-state validation,SN-000051-skill-books-and-reader.md,One title-level skill book objective needs one selected copy; duplicate copies remain non-required alternates.
PROGSEL-000019,skill_book_copy,BOOKLOC-000095,OBJ-000837,The Mirror,Block,G05,selected_default_copy_pending_route_validation,Broken Tower Redoubt,Broken Tower Redoubt,"Broken Tower Redoubt (The Reach), on bookshelf in the sleeping area",Collect selected copy when its route block is safe; read after Scholar's Insight and high-skill timing check.,,Do not read before Scholar's Insight unless final route explicitly documents the tradeoff.,TB-031G/TB-033 route-access and final skill-state validation,SN-000051-skill-books-and-reader.md,One title-level skill book objective needs one selected copy; duplicate copies remain non-required alternates.
