checklist_id,checklist_tab,checklist_entry,category,objective_id,matched_objective_name,support_option_ids,support_option_types,support_route_treatments,guide_name_match,guide_default_context_match,internal_checklist_coverage_row_count,internal_objective_coverage_row_count,audit_status,coverage_statuses,completion_statuses,guide_locations,recommended_action,notes
CHK-QUESTS-0380,Quests,The Bonds of Matrimony,quest,OBJ-001945,Marriage Completion and Spouse Selection Options,,,,Y,Y,1,2,option_row_covered,placed_in_guide,complete,Dawnguard Fork And Volkihar Branch,none,
CHK-RECRUITABLE-FOLLOWERS-2610,Recruitable Followers,Adelaisa Vendicci,follower_option,,,NPCOPT-000096 | NPCOPT-000186,permanent_follower_candidate | personal_steward_candidate,option_list,Y,Y,1,0,option_row_covered,option_list_presented,option_list_represented,Homes Household Services Pets And Mounts,none,
CHK-RECRUITABLE-FOLLOWERS-2611,Recruitable Followers,Aela the Huntress,follower_option,,,NPCOPT-000001 | NPCOPT-000097 | NPCOPT-000145,permanent_follower_candidate | personal_steward_candidate | spouse_candidate,option_list,Y,Y,1,0,option_row_covered,option_list_available,option_unlocked,"Companions Finale, Totems, And Beast-Blood Preservation",none,
CHK-RECRUITABLE-FOLLOWERS-2612,Recruitable Followers,Agmaer,follower_option,,,NPCOPT-000121 | NPCOPT-000155,permanent_follower_candidate | personal_steward_candidate,option_list,Y,Y,1,0,option_row_covered,option_presented,option_available,Fort Dawnguard Recruits Prophet And Lost Relics,none,
CHK-RECRUITABLE-FOLLOWERS-2613,Recruitable Followers,Ahtar,follower_option,,,NPCOPT-000187,permanent_follower_candidate,option_list,Y,Y,1,0,option_row_covered,option_list_presented,option_list_represented,Homes Household Services Pets And Mounts,none,
CHK-RECRUITABLE-FOLLOWERS-2614,Recruitable Followers,Annekke Crag-Jumper,follower_option,,,NPCOPT-000098 | NPCOPT-000188,permanent_follower_candidate | personal_steward_candidate,option_list,Y,Y,1,0,option_row_covered,option_list_presented,option_list_represented,Homes Household Services Pets And Mounts,none,
CHK-RECRUITABLE-FOLLOWERS-2615,Recruitable Followers,Aranea Ienith,follower_option,,,NPCOPT-000189,permanent_follower_candidate,option_list,Y,Y,1,0,option_row_covered,option_list_presented,option_list_represented,Homes Household Services Pets And Mounts,none,
CHK-RECRUITABLE-FOLLOWERS-2616,Recruitable Followers,Argis the Bulwark,follower_option,,,NPCOPT-000033 | NPCOPT-000173,permanent_follower_candidate | spouse_candidate,option_list,Y,Y,2,0,option_row_covered,needs_route_resolution_added | not_available_here,NEEDS ROUTE RESOLUTION | staged_for_reach_thaneship,Markarth Nchuand-Zel And Old Hroldan | TB-038R order and delayed-task repair register,none,
CHK-RECRUITABLE-FOLLOWERS-2617,Recruitable Followers,Armored Frost Troll,follower_option,,,NPCOPT-000202,animal_follower_candidate,option_list,Y,Y,1,0,option_row_covered,option_list_presented,option_list_represented,Homes Household Services Pets And Mounts,none,
CHK-RECRUITABLE-FOLLOWERS-2618,Recruitable Followers,Armored Troll,follower_option,,,NPCOPT-000201,animal_follower_candidate,option_list,Y,Y,1,0,option_row_covered,option_list_presented,option_list_represented,Homes Household Services Pets And Mounts,none,
CHK-RECRUITABLE-FOLLOWERS-2619,Recruitable Followers,Athis,follower_option,,,NPCOPT-000034 | NPCOPT-000146,permanent_follower_candidate | spouse_candidate,option_list,Y,Y,1,0,option_row_covered,option_list_available,option_unlocked,"Companions Finale, Totems, And Beast-Blood Preservation",none,
CHK-RECRUITABLE-FOLLOWERS-2620,Recruitable Followers,Beleval,follower_option,,,NPCOPT-000122 | NPCOPT-000156,permanent_follower_candidate | personal_steward_candidate,option_list,Y,Y,1,0,option_row_covered,option_presented,option_available,Fort Dawnguard Recruits Prophet And Lost Relics,none,
CHK-RECRUITABLE-FOLLOWERS-2621,Recruitable Followers,Belrand,follower_option,,,NPCOPT-000036 | NPCOPT-000099 | NPCOPT-000167,permanent_follower_candidate | personal_steward_candidate | spouse_candidate,option_list,Y,Y,1,0,option_row_covered,option_list_presented,option_list_represented,Homes Household Services Pets And Mounts,none,
CHK-RECRUITABLE-FOLLOWERS-2622,Recruitable Followers,Benor,follower_option,,,NPCOPT-000037 | NPCOPT-000190,permanent_follower_candidate | spouse_candidate,option_list,Y,Y,1,0,option_row_covered,option_list_presented,option_list_represented,Homes Household Services Pets And Mounts,none,
CHK-RECRUITABLE-FOLLOWERS-2623,Recruitable Followers,Borgakh the Steel Heart,follower_option,,,NPCOPT-000005 | NPCOPT-000181,permanent_follower_candidate | spouse_candidate,option_list,Y,Y,1,0,option_row_covered,option_list_presented,option_list_represented,Homes Household Services Pets And Mounts,none,
CHK-RECRUITABLE-FOLLOWERS-2624,Recruitable Followers,Bran,follower_option,,,NPCOPT-000203,animal_follower_candidate,option_list,Y,Y,1,0,option_row_covered,option_list_presented,option_list_represented,Homes Household Services Pets And Mounts,none,
CHK-RECRUITABLE-FOLLOWERS-2625,Recruitable Followers,Brelyna Maryon,follower_option,,,NPCOPT-000006 | NPCOPT-000100 | NPCOPT-000142,permanent_follower_candidate | personal_steward_candidate | spouse_candidate,option_list,Y,Y,1,0,option_row_covered,option_presented,option_available,"Winterhold, College Entry, And Saarthal",none,
CHK-RECRUITABLE-FOLLOWERS-2626,Recruitable Followers,Calder,follower_option,,,NPCOPT-000038 | NPCOPT-000101 | NPCOPT-000174,permanent_follower_candidate | personal_steward_candidate | spouse_candidate,option_list,Y,Y,2,0,option_row_covered,not_completed_here | placed_in_guide,option_available | staged_for_thane_of_eastmarch,Imperial Civil War | Windhelm Murder Investigation And White Phial,none,
CHK-RECRUITABLE-FOLLOWERS-2627,Recruitable Followers,Celann,follower_option,,,NPCOPT-000123 | NPCOPT-000157,permanent_follower_candidate | personal_steward_candidate,option_list,Y,Y,1,0,option_row_covered,option_presented,option_available,Fort Dawnguard Recruits Prophet And Lost Relics,none,
CHK-RECRUITABLE-FOLLOWERS-2628,Recruitable Followers,Cicero,follower_option,,,NPCOPT-000152,permanent_follower_candidate,option_list,Y,Y,1,0,option_row_covered,option_preserved,option_available,"Security, Shadowmere, And The Brotherhood Endgame",none,
CHK-RECRUITABLE-FOLLOWERS-2629,Recruitable Followers,Cosnach,follower_option,,,NPCOPT-000039 | NPCOPT-000191,permanent_follower_candidate | spouse_candidate,option_list,Y,Y,1,0,option_row_covered,option_list_presented,option_list_represented,Homes Household Services Pets And Mounts,none,
CHK-RECRUITABLE-FOLLOWERS-2630,Recruitable Followers,CuSith,follower_option,,,NPCOPT-000204,animal_follower_candidate,option_list,Y,Y,1,0,option_row_covered,option_list_branch_only,option_preserved,Volkihar Finale Branch Continuation,none,
CHK-RECRUITABLE-FOLLOWERS-2631,Recruitable Followers,Dark Brotherhood Initiate (female),follower_option,,,NPCOPT-000153,permanent_follower_candidate,option_list,Y,Y,1,0,option_row_covered,option_presented,option_available,"Security, Shadowmere, And The Brotherhood Endgame",none,
CHK-RECRUITABLE-FOLLOWERS-2632,Recruitable Followers,Dark Brotherhood Initiate (male),follower_option,,,NPCOPT-000154,permanent_follower_candidate,option_list,Y,Y,1,0,option_row_covered,option_presented,option_available,"Security, Shadowmere, And The Brotherhood Endgame",none,
CHK-RECRUITABLE-FOLLOWERS-2633,Recruitable Followers,Derkeethus,follower_option,,,NPCOPT-000040 | NPCOPT-000192,permanent_follower_candidate | spouse_candidate,option_list,Y,Y,2,0,option_row_covered,conditional_in_guide | conditional_unlocked,option_available_if_rescued,Riften Thaneship Frost And Rift Roads | Windhelm Follow-Up And Eastmarch Roads,none,
CHK-RECRUITABLE-FOLLOWERS-2634,Recruitable Followers,Durak,follower_option,,,NPCOPT-000124 | NPCOPT-000158,permanent_follower_candidate | personal_steward_candidate,option_list,Y,Y,1,0,option_row_covered,option_presented,option_available,Fort Dawnguard Recruits Prophet And Lost Relics,none,
CHK-RECRUITABLE-FOLLOWERS-2635,Recruitable Followers,Eola,follower_option,,,NPCOPT-000103 | NPCOPT-000193,permanent_follower_candidate | personal_steward_candidate,option_list,Y,Y,1,0,option_row_covered,option_list_presented,option_list_represented,Homes Household Services Pets And Mounts,none,
CHK-RECRUITABLE-FOLLOWERS-2636,Recruitable Followers,Erandur,follower_option,,,NPCOPT-000194,permanent_follower_candidate,option_list,Y,Y,1,0,option_row_covered,branch_presented,branch_experienced_not_main,"Dawnstar, Vaermina, And Cold-Weather Setup",none,
CHK-RECRUITABLE-FOLLOWERS-2637,Recruitable Followers,Erik the Slayer,follower_option,,,NPCOPT-000102 | NPCOPT-000168,permanent_follower_candidate | personal_steward_candidate,option_list,Y,Y,1,0,option_row_covered,option_list_presented,option_list_represented,Homes Household Services Pets And Mounts,none,
CHK-RECRUITABLE-FOLLOWERS-2638,Recruitable Followers,Faendal,follower_option,,,NPCOPT-000104 | NPCOPT-000195,permanent_follower_candidate | personal_steward_candidate,option_list | route_default,Y,Y,1,0,option_row_covered,option_list_presented,option_list_represented,Homes Household Services Pets And Mounts,none,
CHK-RECRUITABLE-FOLLOWERS-2639,Recruitable Followers,Farkas,follower_option,,,NPCOPT-000041 | NPCOPT-000147,permanent_follower_candidate | spouse_candidate,option_list,Y,Y,1,0,option_row_covered,option_list_available,option_unlocked,"Companions Finale, Totems, And Beast-Blood Preservation",none,
CHK-RECRUITABLE-FOLLOWERS-2640,Recruitable Followers,Frea,follower_option,,,NPCOPT-000161,permanent_follower_candidate,option_list,Y,Y,1,0,option_row_covered,option_list_presented,option_list_represented,Homes Household Services Pets And Mounts,none,
CHK-RECRUITABLE-FOLLOWERS-2641,Recruitable Followers,Garmr,follower_option,,,NPCOPT-000205,animal_follower_candidate,option_list,Y,Y,1,0,option_row_covered,option_list_branch_only,option_preserved,Volkihar Finale Branch Continuation,none,
CHK-RECRUITABLE-FOLLOWERS-2642,Recruitable Followers,Ghorbash the Iron Hand,follower_option,,,NPCOPT-000044 | NPCOPT-000105 | NPCOPT-000182,permanent_follower_candidate | personal_steward_candidate | spouse_candidate,option_list,Y,Y,1,0,option_row_covered,option_list_presented,option_list_represented,Homes Household Services Pets And Mounts,none,
CHK-RECRUITABLE-FOLLOWERS-2643,Recruitable Followers,Golldir,follower_option,,,NPCOPT-000106 | NPCOPT-000165,permanent_follower_candidate | personal_steward_candidate,option_list,Y,Y,1,0,option_row_covered,option_list_presented,option_list_represented,Homes Household Services Pets And Mounts,none,
CHK-RECRUITABLE-FOLLOWERS-2644,Recruitable Followers,Gregor,follower_option,,,NPCOPT-000045 | NPCOPT-000175,permanent_follower_candidate | spouse_candidate,option_list,Y,Y,1,0,option_row_covered,option_presented,option_available,"Dawnstar, Pale Blade, And Heljarchen",none,
CHK-RECRUITABLE-FOLLOWERS-2645,Recruitable Followers,Illia,follower_option,,,NPCOPT-000107 | NPCOPT-000166,permanent_follower_candidate | personal_steward_candidate,option_list,Y,Y,1,0,option_row_covered,availability_unlocked,option_available_not_recruited,Riften Thaneship Frost And Rift Roads,none,
CHK-RECRUITABLE-FOLLOWERS-2646,Recruitable Followers,Ingjard,follower_option,,,NPCOPT-000125 | NPCOPT-000159,permanent_follower_candidate | personal_steward_candidate,option_list,Y,Y,1,0,option_row_covered,option_presented,option_available,Fort Dawnguard Recruits Prophet And Lost Relics,none,
CHK-RECRUITABLE-FOLLOWERS-2647,Recruitable Followers,Iona,follower_option,,,NPCOPT-000012 | NPCOPT-000108 | NPCOPT-000176,permanent_follower_candidate | personal_steward_candidate | spouse_candidate,option_list,Y,Y,1,0,option_row_covered,availability_unlocked,complete,Riften Thaneship Frost And Rift Roads,none,
CHK-RECRUITABLE-FOLLOWERS-2648,Recruitable Followers,J'zargo,follower_option,,,NPCOPT-000143,permanent_follower_candidate,option_list,Y,Y,1,0,option_row_covered,option_presented,option_available,"Winterhold, College Entry, And Saarthal",none,
CHK-RECRUITABLE-FOLLOWERS-2649,Recruitable Followers,Jenassa,follower_option,,,NPCOPT-000013 | NPCOPT-000169,permanent_follower_candidate | spouse_candidate,option_list,Y,Y,1,0,option_row_covered,option_list_presented,option_list_represented,Homes Household Services Pets And Mounts,none,
CHK-RECRUITABLE-FOLLOWERS-2650,Recruitable Followers,Jordis the Sword-Maiden,follower_option,,,NPCOPT-000014 | NPCOPT-000109 | NPCOPT-000177,permanent_follower_candidate | personal_steward_candidate | spouse_candidate,option_list,Y,Y,1,0,option_row_covered,option_list_presented,option_list_represented,Homes Household Services Pets And Mounts,none,
CHK-RECRUITABLE-FOLLOWERS-2651,Recruitable Followers,Kharjo,follower_option,,,NPCOPT-000196,permanent_follower_candidate,option_list,Y,Y,2,0,option_row_covered,needs_route_resolution_added | option_locked,NEEDS ROUTE RESOLUTION | staged_for_later_isolated_random_assignment,"Dawnstar, Pale Blade, And Heljarchen | TB-038R order and delayed-task repair register",none,
CHK-RECRUITABLE-FOLLOWERS-2652,Recruitable Followers,Lob,follower_option,,,NPCOPT-000110 | NPCOPT-000183,permanent_follower_candidate | personal_steward_candidate,option_list,Y,Y,1,0,option_row_covered,option_list_presented,option_list_represented,Homes Household Services Pets And Mounts,none,
CHK-RECRUITABLE-FOLLOWERS-2653,Recruitable Followers,Lydia,follower_option,,,NPCOPT-000015 | NPCOPT-000111 | NPCOPT-000178,permanent_follower_candidate | personal_steward_candidate | spouse_candidate,option_list,Y,Y,1,0,option_row_covered,option_list_presented,option_list_represented,Homes Household Services Pets And Mounts,none,
CHK-RECRUITABLE-FOLLOWERS-2654,Recruitable Followers,Marcurio,follower_option,,,NPCOPT-000047 | NPCOPT-000112 | NPCOPT-000170,permanent_follower_candidate | personal_steward_candidate | spouse_candidate,option_list,Y,Y,1,0,option_row_covered,option_list_presented,option_list_represented,Homes Household Services Pets And Mounts,none,
CHK-RECRUITABLE-FOLLOWERS-2655,Recruitable Followers,Meeko,follower_option,,,NPCOPT-000206,animal_follower_candidate,option_list,Y,Y,1,0,option_row_covered,option_list_presented,option_list_represented,Homes Household Services Pets And Mounts,none,
CHK-RECRUITABLE-FOLLOWERS-2656,Recruitable Followers,Mjoll the Lioness,follower_option,,,NPCOPT-000016 | NPCOPT-000197,permanent_follower_candidate | spouse_candidate,option_list,Y,Y,1,0,option_row_covered,option_list_presented,option_list_represented,Homes Household Services Pets And Mounts,none,
CHK-RECRUITABLE-FOLLOWERS-2657,Recruitable Followers,Njada Stonearm,follower_option,,,NPCOPT-000019 | NPCOPT-000113 | NPCOPT-000148,permanent_follower_candidate | personal_steward_candidate | spouse_candidate,option_list,Y,Y,1,0,option_row_covered,option_list_available,option_unlocked,"Companions Finale, Totems, And Beast-Blood Preservation",none,
CHK-RECRUITABLE-FOLLOWERS-2658,Recruitable Followers,Ogol,follower_option,,,NPCOPT-000114 | NPCOPT-000184,permanent_follower_candidate | personal_steward_candidate,option_list,Y,Y,1,0,option_row_covered,option_list_presented,option_list_represented,Homes Household Services Pets And Mounts,none,
CHK-RECRUITABLE-FOLLOWERS-2659,Recruitable Followers,Onmund,follower_option,,,NPCOPT-000051 | NPCOPT-000115 | NPCOPT-000144,permanent_follower_candidate | personal_steward_candidate | spouse_candidate,option_list,Y,Y,4,0,option_row_covered,option_locked | option_unlocked,option_available_not_recruited | staged_for_onmund_request,"College Errands Arniel Septimus And Aetherium | Fellglow Keep And Good Intentions | Whiterun Property Western Caves Gray-Mane Rescue And Onmund | Winterhold, College Entry, And Saarthal",none,
CHK-RECRUITABLE-FOLLOWERS-2660,Recruitable Followers,Ralis Sedarys,follower_option,,,NPCOPT-000164,permanent_follower_candidate,option_list,Y,Y,1,0,option_row_covered,placed_in_guide,option_available_not_default,Kolbjorn Excavation And Raven Rock West,none,
CHK-RECRUITABLE-FOLLOWERS-2661,Recruitable Followers,Rayya,follower_option,,,NPCOPT-000021 | NPCOPT-000179,permanent_follower_candidate | spouse_candidate,option_list,Y,Y,3,0,option_row_covered,completed_or_delayed_closeout | delayed_cracked_tusk_branch_closed | tb044_closed,complete,"Dawnstar, Vaermina, and Cold-Weather Setup | Falkreath Land Lakeview Foundation And Glenmoril Coven",none,
CHK-RECRUITABLE-FOLLOWERS-2662,Recruitable Followers,Ria,follower_option,,,NPCOPT-000022 | NPCOPT-000116 | NPCOPT-000149,permanent_follower_candidate | personal_steward_candidate | spouse_candidate,option_list,Y,Y,1,0,option_row_covered,option_list_available,option_unlocked,"Companions Finale, Totems, And Beast-Blood Preservation",none,
CHK-RECRUITABLE-FOLLOWERS-2663,Recruitable Followers,Riekling Warrior,follower_option,,,NPCOPT-000210,animal_follower_candidate,option_list,Y,Y,1,0,option_row_covered,branch_route,branch_experienced_then_reloaded,"Vahlok's Tomb, Riekling Roads, And Thirsk",none,
CHK-RECRUITABLE-FOLLOWERS-2664,Recruitable Followers,Roggi Knot-Beard,follower_option,,,NPCOPT-000056 | NPCOPT-000117 | NPCOPT-000198,permanent_follower_candidate | personal_steward_candidate | spouse_candidate,option_list,Y,Y,1,0,option_row_covered,option_list_presented,option_list_represented,Homes Household Services Pets And Mounts,none,
CHK-RECRUITABLE-FOLLOWERS-2665,Recruitable Followers,Sceolang,follower_option,,,NPCOPT-000207,animal_follower_candidate,option_list,Y,Y,1,0,option_row_covered,option_list_presented,option_list_represented,Homes Household Services Pets And Mounts,none,
CHK-RECRUITABLE-FOLLOWERS-2666,Recruitable Followers,Serana,follower_option,,,NPCOPT-000160,permanent_follower_candidate,option_list,Y,Y,1,0,option_row_covered,option_list_presented,option_list_represented,Homes Household Services Pets And Mounts,none,
CHK-RECRUITABLE-FOLLOWERS-2667,Recruitable Followers,Steadfast Dwarven Sphere,follower_option,,,NPCOPT-000211,animal_follower_candidate,option_list,Y,Y,1,0,option_row_covered,placed_in_guide,option_available_not_default,"Tel Mithryn, Nchardak, And Kagrumez",none,
CHK-RECRUITABLE-FOLLOWERS-2668,Recruitable Followers,Steadfast Dwarven Spider,follower_option,,,NPCOPT-000212,animal_follower_candidate,option_list,Y,Y,1,0,option_row_covered,placed_in_guide,option_available_not_default,"Tel Mithryn, Nchardak, And Kagrumez",none,
