metric,count,notes
playtest_setup:rows,7,Generated TB-042 audit rows.
playtest_setup:status:pass_no_placeholder_phrases,1,Audit-status distribution.
playtest_setup:status:pass_player_contract_present,6,Audit-status distribution.
playtest_setup:recommended_action:none,7,Recommended-action distribution.
previous_qa_integration:rows,4,Generated TB-042 audit rows.
previous_qa_integration:status:pass_previous_qa_no_repair_actions,1,Audit-status distribution.
previous_qa_integration:status:pass_previous_qa_with_explicit_route_resolution,3,Audit-status distribution.
previous_qa_integration:recommended_action:none,4,Recommended-action distribution.
route_resolution_visibility:rows,1,Generated TB-042 audit rows.
route_resolution_visibility:status:pass_existing_route_resolution_visible,1,Audit-status distribution.
route_resolution_visibility:recommended_action:none_existing_route_resolution,1,Recommended-action distribution.
section_walkthrough:rows,81,Generated TB-042 audit rows.
section_walkthrough:status:pass_non_executable_handoff_section,1,Audit-status distribution.
section_walkthrough:status:pass_section_executable,80,Audit-status distribution.
section_walkthrough:recommended_action:none,81,Recommended-action distribution.
simulated_playtest_limits:rows,2,Generated TB-042 audit rows.
simulated_playtest_limits:status:pass_simulated_playtest_limit_recorded,2,Audit-status distribution.
simulated_playtest_limits:recommended_action:none,2,Recommended-action distribution.
all:rows,95,Generated TB-042 audit rows.
all:recommended_action:none,94,Recommended-action distribution.
all:recommended_action:none_existing_route_resolution,1,Recommended-action distribution.
