objective_id,objective_name,category,route_placement,routing_rigidity,route_block,disposition,source_corridor,candidate_status,route_index_status,prototype_status,gate_status,constraint_count,constraint_types,hard_level_gate,leveled_reward_threshold,threshold_trigger,parent_objective_id,parent_objective_name,parent_route_block,deferred_to,reason,notes
OBJ-000001,Unbound,quest,main_route,fixed_early,G01,route_block,,no_route_candidate_data,constraint_backed_needs_review,inserted_fixed_early,hard_gate,1,trophy_dependency,,,,,,,opening_escape,Opening quest anchor.,Generated TB-026 prototype assignment; source objective and constraint tables remain canonical.
OBJ-000002,Before the Storm,quest,main_route,fixed_early,G01,route_block,,no_route_candidate_data,ready_for_route_pass,inserted_fixed_early,none,0,,,,,,,,opening_warm_core,Opening Riverwood/Whiterun route anchor.,Generated TB-026 prototype assignment; source objective and constraint tables remain canonical.
OBJ-000003,Bleak Falls Barrow,quest,main_route,dependency_flexible,,dependency_anchor,,no_route_candidate_data,constraint_backed_needs_review,dependency_anchor_pending,hard_gate,1,trophy_dependency,,,,,,,TB-034,"No route candidate data; place with parent quest, dependency, support table, or later checklist/default pass.",Generated TB-026 prototype assignment; source objective and constraint tables remain canonical.
OBJ-000004,Dragon Rising,quest,main_route,windowed,,anchored_window,,no_route_candidate_data,ready_for_route_pass,anchored_window,none,0,,,,,,,,route_anchor_window,"Windowed row; anchor, hard-save, faction, quest-state, or warning timing controls placement.",Generated TB-026 prototype assignment; source objective and constraint tables remain canonical.
OBJ-000005,The Way of the Voice,quest,main_route,dependency_flexible,,dependency_anchor,,no_route_candidate_data,constraint_backed_needs_review,dependency_anchor_pending,hard_gate,1,trophy_dependency,,,,,,,TB-034,"No route candidate data; place with parent quest, dependency, support table, or later checklist/default pass.",Generated TB-026 prototype assignment; source objective and constraint tables remain canonical.
OBJ-000006,The Horn of Jurgen Windcaller,quest,main_route,dependency_flexible,,dependency_anchor,,no_route_candidate_data,ready_for_route_pass,dependency_anchor_pending,none,0,,,,,,,,TB-034,"No route candidate data; place with parent quest, dependency, support table, or later checklist/default pass.",Generated TB-026 prototype assignment; source objective and constraint tables remain canonical.
OBJ-000007,A Blade in the Dark,quest,main_route,dependency_flexible,,dependency_anchor,,no_route_candidate_data,ready_for_route_pass,dependency_anchor_pending,none,0,,,,,,,,TB-034,"No route candidate data; place with parent quest, dependency, support table, or later checklist/default pass.",Generated TB-026 prototype assignment; source objective and constraint tables remain canonical.
OBJ-000008,Diplomatic Immunity,quest,main_route,dependency_flexible,,dependency_anchor,,no_route_candidate_data,constraint_backed_needs_review,dependency_anchor_pending,hard_gate,1,trophy_dependency,,,,,,,TB-034,"No route candidate data; place with parent quest, dependency, support table, or later checklist/default pass.",Generated TB-026 prototype assignment; source objective and constraint tables remain canonical.
OBJ-000009,A Cornered Rat,quest,main_route,dependency_flexible,,dependency_anchor,,no_route_candidate_data,ready_for_route_pass,dependency_anchor_pending,none,0,,,,,,,,TB-034,"No route candidate data; place with parent quest, dependency, support table, or later checklist/default pass.",Generated TB-026 prototype assignment; source objective and constraint tables remain canonical.
OBJ-000010,Alduin's Wall,quest,main_route,fixed_late,G10,route_block,,no_route_candidate_data,constraint_backed_needs_review,held_hard_gate,leveled_reward,1,trophy_dependency,,Level 46+,first_enter_cell,OBJ-000010,Alduin's Wall,G10,level_46_sky_haven_dragonbane,Level/reward-governed row; preserve the mapped threshold and trigger before final route prose.,Generated TB-026 prototype assignment; source objective and constraint tables remain canonical.
