summary_group,metric,count,notes
objective_final_status,objective_rows_processed,2789,All rows from data/objectives/objectives.csv were classified.
objective_final_status,placed_in_main_guide,2374,"Non-branch, non-option, non-excluded, non-unresolved objective rows represented in the self-contained guide or promoted guide reference surfaces."
objective_final_status,branch_handled,43,Canonical branch_route objective rows handled by branch-first/reload guide blocks after unresolved rows are counted separately.
objective_final_status,option_default_handled,11,Canonical option_list objective rows represented by route defaults and option/default guide surfaces.
objective_final_status,excluded,19,Objective rows with canonical excluded placement or explicit guide/coverage exclusion after unresolved rows are counted separately.
objective_final_status,unresolved,342,"Objective rows with explicit NEEDS ROUTE RESOLUTION coverage, including unresolved branch or appendix rows."
objective_final_status,total_classified_objective_rows,2789,Should equal objective_rows_processed.
objective_route_placement_raw,appendix,27,Raw route_placement count from data/objectives/objectives.csv before final-status priority rules.
objective_route_placement_raw,branch_route,43,Raw route_placement count from data/objectives/objectives.csv before final-status priority rules.
objective_route_placement_raw,excluded,15,Raw route_placement count from data/objectives/objectives.csv before final-status priority rules.
objective_route_placement_raw,main_route,2693,Raw route_placement count from data/objectives/objectives.csv before final-status priority rules.
objective_route_placement_raw,option_list,11,Raw route_placement count from data/objectives/objectives.csv before final-status priority rules.
unresolved_by_category,ae_creation,1,Objective rows classified unresolved by explicit NEEDS ROUTE RESOLUTION coverage.
unresolved_by_category,book_document,145,Objective rows classified unresolved by explicit NEEDS ROUTE RESOLUTION coverage.
unresolved_by_category,collectible,26,Objective rows classified unresolved by explicit NEEDS ROUTE RESOLUTION coverage.
unresolved_by_category,crafting_unlock,21,Objective rows classified unresolved by explicit NEEDS ROUTE RESOLUTION coverage.
unresolved_by_category,location,3,Objective rows classified unresolved by explicit NEEDS ROUTE RESOLUTION coverage.
unresolved_by_category,misc_objective,34,Objective rows classified unresolved by explicit NEEDS ROUTE RESOLUTION coverage.
unresolved_by_category,npc_relationship,2,Objective rows classified unresolved by explicit NEEDS ROUTE RESOLUTION coverage.
unresolved_by_category,quest,41,Objective rows classified unresolved by explicit NEEDS ROUTE RESOLUTION coverage.
unresolved_by_category,radiant,8,Objective rows classified unresolved by explicit NEEDS ROUTE RESOLUTION coverage.
unresolved_by_category,spell_power,8,Objective rows classified unresolved by explicit NEEDS ROUTE RESOLUTION coverage.
unresolved_by_category,trophy,7,Objective rows classified unresolved by explicit NEEDS ROUTE RESOLUTION coverage.
unresolved_by_category,unique_item,46,Objective rows classified unresolved by explicit NEEDS ROUTE RESOLUTION coverage.
unresolved_by_subcategory,ae_creation:ae_item_consumable_set,1,Objective rows classified unresolved by explicit NEEDS ROUTE RESOLUTION coverage.
unresolved_by_subcategory,book_document:ae_book_title,95,Objective rows classified unresolved by explicit NEEDS ROUTE RESOLUTION coverage.
unresolved_by_subcategory,book_document:quest_book_title,50,Objective rows classified unresolved by explicit NEEDS ROUTE RESOLUTION coverage.
unresolved_by_subcategory,collectible:fishing_special_catch_member,3,Objective rows classified unresolved by explicit NEEDS ROUTE RESOLUTION coverage.
unresolved_by_subcategory,collectible:fishing_species_member,22,Objective rows classified unresolved by explicit NEEDS ROUTE RESOLUTION coverage.
unresolved_by_subcategory,collectible:fishing_species_set,1,Objective rows classified unresolved by explicit NEEDS ROUTE RESOLUTION coverage.
unresolved_by_subcategory,crafting_unlock:ae_ammunition_set,1,Objective rows classified unresolved by explicit NEEDS ROUTE RESOLUTION coverage.
unresolved_by_subcategory,crafting_unlock:ae_equipment_crafting_set,3,Objective rows classified unresolved by explicit NEEDS ROUTE RESOLUTION coverage.
unresolved_by_subcategory,crafting_unlock:ae_ingredient_material_set,3,Objective rows classified unresolved by explicit NEEDS ROUTE RESOLUTION coverage.
unresolved_by_subcategory,crafting_unlock:ae_staff_set,1,Objective rows classified unresolved by explicit NEEDS ROUTE RESOLUTION coverage.
unresolved_by_subcategory,crafting_unlock:ae_weapon_crafting_set,2,Objective rows classified unresolved by explicit NEEDS ROUTE RESOLUTION coverage.
unresolved_by_subcategory,crafting_unlock:alchemy_ingredient_effect_discovery,11,Objective rows classified unresolved by explicit NEEDS ROUTE RESOLUTION coverage.
unresolved_by_subcategory,location:clearable_location,1,Objective rows classified unresolved by explicit NEEDS ROUTE RESOLUTION coverage.
unresolved_by_subcategory,location:content_location,2,Objective rows classified unresolved by explicit NEEDS ROUTE RESOLUTION coverage.
unresolved_by_subcategory,misc_objective:dragonborn_other_misc,1,Objective rows classified unresolved by explicit NEEDS ROUTE RESOLUTION coverage.
unresolved_by_subcategory,misc_objective:dragonborn_raven_rock_misc,1,Objective rows classified unresolved by explicit NEEDS ROUTE RESOLUTION coverage.
unresolved_by_subcategory,misc_objective:dungeon_misc_quest,1,Objective rows classified unresolved by explicit NEEDS ROUTE RESOLUTION coverage.
unresolved_by_subcategory,misc_objective:eastmarch_misc,2,Objective rows classified unresolved by explicit NEEDS ROUTE RESOLUTION coverage.
unresolved_by_subcategory,misc_objective:haafingar_misc,1,Objective rows classified unresolved by explicit NEEDS ROUTE RESOLUTION coverage.
unresolved_by_subcategory,misc_objective:hjaalmarch_misc,1,Objective rows classified unresolved by explicit NEEDS ROUTE RESOLUTION coverage.
unresolved_by_subcategory,misc_objective:non_journal_quest,2,Objective rows classified unresolved by explicit NEEDS ROUTE RESOLUTION coverage.
unresolved_by_subcategory,misc_objective:pale_misc,2,Objective rows classified unresolved by explicit NEEDS ROUTE RESOLUTION coverage.
unresolved_by_subcategory,misc_objective:reach_misc,7,Objective rows classified unresolved by explicit NEEDS ROUTE RESOLUTION coverage.
unresolved_by_subcategory,misc_objective:rift_misc,9,Objective rows classified unresolved by explicit NEEDS ROUTE RESOLUTION coverage.
unresolved_by_subcategory,misc_objective:tutorial_misc,1,Objective rows classified unresolved by explicit NEEDS ROUTE RESOLUTION coverage.
unresolved_by_subcategory,misc_objective:whiterun_misc,1,Objective rows classified unresolved by explicit NEEDS ROUTE RESOLUTION coverage.
unresolved_by_subcategory,misc_objective:windhelm_misc,5,Objective rows classified unresolved by explicit NEEDS ROUTE RESOLUTION coverage.
unresolved_by_subcategory,npc_relationship:housecarl_set,1,Objective rows classified unresolved by explicit NEEDS ROUTE RESOLUTION coverage.
unresolved_by_subcategory,npc_relationship:thaneship,1,Objective rows classified unresolved by explicit NEEDS ROUTE RESOLUTION coverage.
unresolved_by_subcategory,quest:ae_creation_quest,41,Objective rows classified unresolved by explicit NEEDS ROUTE RESOLUTION coverage.
unresolved_by_subcategory,radiant:bounty_quest_type,4,Objective rows classified unresolved by explicit NEEDS ROUTE RESOLUTION coverage.
