audit_area,check_id,source_file,source_section,row_label,check_type,objective_id,objective_name,source_status,guide_locations,route_protection,audit_status,recommended_action,evidence,notes
setup_baseline,TB040-SETUP-001,drafts/final-guide/main-guide-v1.md,Guide Conventions and Setup,Survival Mode activation,guide_global_rule,,,current_guide,Guide Conventions | Setup and Save Baseline,The guide must turn Survival Mode on immediately after Helgen and keep it as the default.,pass_setup_rule_in_guide,none,Found guide terms: survival mode is mandatory; turn it on immediately after the escape,TB-040 setup check derived from the current guide's global player-facing rules.
setup_baseline,TB040-SETUP-002,drafts/final-guide/main-guide-v1.md,Guide Conventions and Setup,Survival Mode exception discipline,guide_global_rule,,,current_guide,Guide Conventions | Setup and Save Baseline,"Any Survival Mode exception must be explicit, narrow, and immediately reverted.",pass_setup_rule_in_guide,none,Found guide terms: survival mode exception; turn survival mode back on,TB-040 setup check derived from the current guide's global player-facing rules.
setup_baseline,TB040-SETUP-003,drafts/final-guide/main-guide-v1.md,Guide Conventions and Setup,Legendary difficulty baseline,guide_global_rule,,,current_guide,Guide Conventions | Setup and Save Baseline,The route must start and remain on Legendary difficulty unless an explicit exception appears.,pass_setup_rule_in_guide,none,Found guide terms: keep legendary difficulty on; set the difficulty to legendary,TB-040 setup check derived from the current guide's global player-facing rules.
setup_baseline,TB040-SETUP-004,drafts/final-guide/main-guide-v1.md,Guide Conventions and Setup,Sleep-gated level-up policy,guide_global_rule,,,current_guide,Guide Conventions | Setup and Save Baseline,Survival Mode level-ups and major power checks need proper-bed timing.,pass_setup_rule_in_guide,none,Found guide terms: sleep in a proper bed; level-up,TB-040 setup check derived from the current guide's global player-facing rules.
setup_baseline,TB040-SETUP-005,drafts/final-guide/main-guide-v1.md,Guide Conventions and Setup,Hot-food cold preparation,guide_global_rule,,,current_guide,Guide Conventions | Setup and Save Baseline,The route must preserve Fire Salts and explain hot food as cold-travel support.,pass_setup_rule_in_guide,none,Found guide terms: fire salts; hot food,TB-040 setup check derived from the current guide's global player-facing rules.
setup_baseline,TB040-SETUP-006,drafts/final-guide/main-guide-v1.md,Guide Conventions and Setup,Camping is backup support,guide_global_rule,,,current_guide,Guide Conventions | Setup and Save Baseline,Camping Supplies should not replace inns and owned beds as the normal sleep plan.,pass_setup_rule_in_guide,none,Found guide terms: camping supplies; do not depend on camps,TB-040 setup check derived from the current guide's global player-facing rules.
setup_baseline,TB040-SETUP-007,drafts/final-guide/main-guide-v1.md,Guide Conventions and Setup,Route discipline prevents unsafe detours,guide_global_rule,,,current_guide,Guide Conventions | Setup and Save Baseline,"The player-facing guide must forbid unplanned Creation starts, notes, rumors, locations, and detours.",pass_setup_rule_in_guide,none,Found guide terms: route discipline; courier letters; creation prompts,TB-040 setup check derived from the current guide's global player-facing rules.
setup_baseline,TB040-SETUP-008,drafts/final-guide/main-guide-v1.md,Guide Conventions and Setup,Carry and sell-off discipline,guide_global_rule,,,current_guide,Guide Conventions | Setup and Save Baseline,"Survival carry pressure must be represented with sell-off, storage, and carry-space checks.",pass_setup_rule_in_guide,none,Found guide terms: carry weight; sell ordinary; storage,TB-040 setup check derived from the current guide's global player-facing rules.
survival_global_rule,TB040-SURV-001,data/constraints/survival-mode-constraints.md,Global Survival Rules,Main route after `Unbound`,survival_constraint,,,Global rule.,main-guide-v1.md global or route-section prose,"Treat Survival mechanics as first-order constraints, not optional warning text.",pass_survival_constraint_represented,none,Found guide terms: survival mode is mandatory; turn it on immediately,Source notes: SN-000115; SN-000116. TB-040 uses existing source-backed Survival constraints; no broad gameplay research performed.
survival_global_rule,TB040-SURV-002,data/constraints/survival-mode-constraints.md,Global Survival Rules,Hunger and food,survival_constraint,,,Global rule.,main-guide-v1.md global or route-section prose,"Route blocks need food checks before travel legs; food gathering/cooking should be synchronized with inn, farm, and home stops.",pass_survival_constraint_represented,none,Found guide terms: food; hot food,Source notes: SN-000115; SN-000117. TB-040 uses existing source-backed Survival constraints; no broad gameplay research performed.
