checklist_id,checklist_tab,checklist_entry,category,objective_id,matched_objective_name,exclusion_reason,source_note_refs,source_note_status,missing_source_refs,source_note_exclusion_match,guide_name_match,guide_exclusion_context_match,internal_checklist_coverage_row_count,internal_objective_coverage_row_count,audit_status,coverage_statuses,completion_statuses,guide_locations,recommended_action,notes
CHK-QUESTS-0045,Quests,Rejoining the College,quest,OBJ-000125,Rejoining the College,Failure-state College repeatable placeholder; routing or exclusion deferred to TB-018,SN-000012-college-side-repeatable-ritual-quests.md,all_found,,Y,N,N,0,1,exclusion_row_covered_by_mapped_objective,explicit_exclusion_reaffirmed,excluded,Internal exclusion coverage,none,
CHK-QUESTS-0102,Quests,Honor Thy Family,quest,OBJ-000161,Honor Thy Family,Failure-state Dark Brotherhood radiant placeholder; routing or exclusion deferred to TB-018,SN-000014-dark-brotherhood-contracts-radiants-misc.md,all_found,,Y,N,N,0,1,exclusion_row_covered_by_mapped_objective,explicit_exclusion_reaffirmed,excluded,Internal exclusion coverage,none,
CHK-ENCHANTING-EFFECTS-0690,Enchanting Effects,Fortify Unarmed,enchantment,OBJ-002498,Learn Enchantment: Fortify Unarmed,Excluded audit row from TB-009C; optional destructive branch handling would require an explicit later user decision.,SN-000083-enchantment-learning-scope.md,all_found,,Y,Y,N,1,2,exclusion_row_covered,explicitly_excluded,excluded_with_justification,First Riften Visit And Guild Doorway,none,
CHK-ENCHANTING-EFFECTS-0706,Enchanting Effects,Fiery Soul Trap,enchantment,OBJ-002522,Learn Weapon Enchantment: Fiery Soul Trap,Excluded audit row from TB-009C; optional destructive branch handling would require an explicit later user decision.,SN-000083-enchantment-learning-scope.md,all_found,,Y,Y,Y,0,1,exclusion_row_covered_by_mapped_objective,excluded_unique_preservation_reaffirmed,excluded_unique_preservation,"Crafting, Enchanting, Alchemy, and Investments",none,
CHK-ENCHANTING-EFFECTS-0709,Enchanting Effects,Huntsman's Prowess,enchantment,OBJ-002523,Learn Weapon Enchantment: Huntsman's Prowess,Excluded audit row from TB-009C; optional destructive branch handling would require an explicit later user decision.,SN-000083-enchantment-learning-scope.md,all_found,,Y,Y,Y,0,2,exclusion_row_covered_by_mapped_objective,excluded_reaffirmed | excluded_unique_preservation_reaffirmed,excluded | excluded_unique_preservation,"Crafting, Enchanting, Alchemy, and Investments | Halted Stream And Silent Moons Level Gate",none,
CHK-ENCHANTING-EFFECTS-0714,Enchanting Effects,Smithing Expertise,enchantment,OBJ-002525,Learn Weapon Enchantment: Smithing Expertise,Excluded audit row from TB-009C; optional destructive branch handling would require an explicit later user decision.,SN-000083-enchantment-learning-scope.md,all_found,,Y,Y,Y,0,1,exclusion_row_covered_by_mapped_objective,excluded_unique_preservation_reaffirmed,excluded_unique_preservation,"Crafting, Enchanting, Alchemy, and Investments",none,
CHK-LOCATIONS-1258,Locations,The Chill*,location,,,TB-031G excludes The Chill from required location coverage because UESP identifies it as unmarked in official Skyrim; the map marker is an Unofficial Skyrim Patch addition outside the official PS4 AE route scope.,SN-000128-location-route-validation.md,all_found,,Y,N,N,1,0,exclusion_row_covered,explicit_exclusion_documented,excluded,Internal exclusion coverage,none,
CHK-MERCHANTS-1517,Merchants,Elrindir,merchant_investment,,,Source table marks investment as bugged without the Unofficial Patch; do not route under official PS4 AE policy.,,no_refs,,N/A,Y,Y,1,0,exclusion_row_covered,explicit_exclusion_documented,excluded,Internal exclusion coverage,none,
CHK-BOOKS-1787,Books,"16 Accords of Madness, v. IX",general_book,,,"TB-031A scope review excludes broad regular-book library collection from the required route. The required book/document scope remains skill books, spell tomes, Black Books, quest/AE books, and checklist-tracked unique books.",,no_refs,,N/A,N,N,1,0,exclusion_row_covered,explicit_exclusion_documented,excluded,Internal exclusion coverage,none,
CHK-BOOKS-1788,Books,"16 Accords of Madness, v. VI",general_book,,,"TB-031A scope review excludes broad regular-book library collection from the required route. The required book/document scope remains skill books, spell tomes, Black Books, quest/AE books, and checklist-tracked unique books.",,no_refs,,N/A,N,N,1,0,exclusion_row_covered,explicit_exclusion_documented,excluded,Internal exclusion coverage,none,
