audit_source,record_id,checklist_id,objective_id,name,category,route_placement_or_mapping_type,branch_name,expected_hard_save_aliases,internal_checklist_coverage_row_count,internal_objective_coverage_row_count,guide_name_match,guide_branch_hard_save_match,guide_branch_reload_match,prototype_reference_match,prototype_reference_files,audit_status,coverage_statuses,completion_statuses,guide_locations,recommended_action,notes
branch_checklist,CHK-QUESTS-0015,CHK-QUESTS-0015,OBJ-000019,Paarthurnax (optional),quest,Branch-route prototype,BR-004 Paarthurnax / Blades,HS-MQ-PAARTHURNAX,1,1,Y,Y,Y,Y,README.md | major-faction-branches-v0.md,branch_checklist_covered,placed_in_branch_guide,branch_complete_reloaded,Paarthurnax And Blades Branch,none,
branch_checklist,CHK-QUESTS-0055,CHK-QUESTS-0055,OBJ-002785,Rebuilding the Blades,quest,Branch-route prototype,BR-004 Paarthurnax / Blades,HS-MQ-PAARTHURNAX,3,4,Y,Y,Y,Y,major-faction-branches-v0.md,branch_checklist_resolved_by_main_continuity,not_duplicated_here | not_started_here | placed_in_guide,complete | complete_in_mr043 | staged_for_paarthurnax_blades_branch,Blades Research Blackreach And The Fallen | Main Quest Staging Before Sky Haven | Paarthurnax And Blades Branch,none,Blades checklist branch row is already completed on main continuity before the Paarthurnax lockout.
branch_checklist,CHK-QUESTS-0057,CHK-QUESTS-0057,OBJ-002786,Dragon Hunting,quest,Branch-route prototype,BR-004 Paarthurnax / Blades,HS-MQ-PAARTHURNAX,2,3,Y,Y,Y,Y,major-faction-branches-v0.md,branch_checklist_resolved_by_main_continuity,not_duplicated_here | placed_in_guide,complete | complete_in_mr043,Blades Research Blackreach And The Fallen | Paarthurnax And Blades Branch,none,Blades checklist branch row is already completed on main continuity before the Paarthurnax lockout.
branch_checklist,CHK-QUESTS-0099,CHK-QUESTS-0099,OBJ-000067,Destroy the Dark Brotherhood!,quest,Branch-route prototype,BR-003 Destroy the Dark Brotherhood,HS-DB-ABANDONED-SHACK,1,1,Y,Y,Y,Y,README.md | major-faction-branches-v0.md,branch_checklist_covered,branch_route_placed,branch_complete_then_reloaded,Cicero Aventus And The Sanctuary Door,none,
branch_checklist,CHK-QUESTS-0133,CHK-QUESTS-0133,OBJ-000087,Joining the Stormcloaks,quest,Branch-route prototype,BR-001 Stormcloak Civil War,HS-CW-BEFORE-FACTION-OATH,1,1,Y,Y,Y,Y,README.md | major-faction-branches-v0.md,branch_checklist_covered,branch_experienced,branch_complete,Civil War Stormcloak Branch,none,
branch_checklist,CHK-QUESTS-0141,CHK-QUESTS-0141,OBJ-000091,Liberation of Skyrim,quest,Branch-route prototype,BR-001 Stormcloak Civil War,HS-CW-BEFORE-FACTION-OATH,1,1,Y,Y,Y,Y,major-faction-branches-v0.md,branch_checklist_covered,branch_experienced,branch_complete,Civil War Stormcloak Branch,none,
branch_checklist,CHK-QUESTS-0143,CHK-QUESTS-0143,OBJ-000092,Rescue from Fort Neugrad,quest,Branch-route prototype,BR-001 Stormcloak Civil War,HS-CW-BEFORE-FACTION-OATH,1,1,Y,Y,Y,Y,major-faction-branches-v0.md,branch_checklist_covered,branch_experienced,branch_complete,Civil War Stormcloak Branch,none,
branch_checklist,CHK-QUESTS-0157,CHK-QUESTS-0157,OBJ-000098,The Battle for Fort Kastav,quest,Branch-route prototype,BR-001 Stormcloak Civil War,HS-CW-BEFORE-FACTION-OATH,1,1,Y,Y,Y,Y,major-faction-branches-v0.md,branch_checklist_conditionally_not_applicable,conditional_not_routed,not_applicable_no_treaty_branch,Civil War Stormcloak Branch,none,Conditional Stormcloak treaty-only branch row is represented as not applicable for the no-treaty route.
branch_checklist,CHK-QUESTS-0159,CHK-QUESTS-0159,OBJ-000100,The Battle for Fort Hraggstad,quest,Branch-route prototype,BR-001 Stormcloak Civil War,HS-CW-BEFORE-FACTION-OATH,1,1,Y,Y,Y,Y,major-faction-branches-v0.md,branch_checklist_covered,branch_experienced,branch_complete,Civil War Stormcloak Branch,none,
branch_checklist,CHK-QUESTS-0160,CHK-QUESTS-0160,OBJ-000101,Battle for Solitude,quest,Branch-route prototype,BR-001 Stormcloak Civil War,HS-CW-BEFORE-FACTION-OATH,1,1,Y,Y,Y,Y,README.md | major-faction-branches-v0.md,branch_checklist_covered,branch_experienced,branch_complete,Civil War Stormcloak Branch,none,
