book_location_id,objective_id,book_title,book_category,source_content,skill_or_school,worldspace,region,hold,location,location_detail,ownership_or_crime_notes,quest_or_state_dependency,cell_entry_lock_risk,missability,bug_risk,survival_mode_relevance,route_candidate_status,citations,notes
BOOKLOC-000475,OBJ-000910,Spell Tome: Candlelight,spell_tome,base_game,Alteration,Skyrim,,The Reach,Understone Keep,"Purchase from Calcelmo in Markarth. Source note: Can be purchased from: Calcelmo, Falion, Farengar Secret-Fire, Madena, Nelacar, Sybille Stentor, Tolfdir, Wuunferth the Unliving, Wylandriah.","Merchant transaction; price, stock, and barter setup need route validation",Vendor availability/restock timing needs route validation.,unknown,unknown,unknown,"Travel, cold, carry, restock, gold, and spell-learning timing deferred",provisional_objective_representative,SN-000052-spell-tomes-and-learned-spells.md,Source-listed spell tome acquisition; final route source selection pending.
BOOKLOC-000476,OBJ-000910,Spell Tome: Candlelight,spell_tome,base_game,Alteration,Skyrim,,Hjaalmarch,Morthal,"Purchase from Falion in Morthal. Source note: Can be purchased from: Calcelmo, Falion, Farengar Secret-Fire, Madena, Nelacar, Sybille Stentor, Tolfdir, Wuunferth the Unliving, Wylandriah.","Merchant transaction; price, stock, and barter setup need route validation",Vendor availability/restock timing needs route validation.,unknown,unknown,unknown,"Travel, cold, carry, restock, gold, and spell-learning timing deferred",source_listed_candidate,SN-000052-spell-tomes-and-learned-spells.md,Source-listed spell tome acquisition; final route source selection pending.
BOOKLOC-000477,OBJ-000910,Spell Tome: Candlelight,spell_tome,base_game,Alteration,Skyrim,,Whiterun Hold,Dragonsreach,"Purchase from Farengar Secret-Fire in Whiterun. Source note: Can be purchased from: Calcelmo, Falion, Farengar Secret-Fire, Madena, Nelacar, Sybille Stentor, Tolfdir, Wuunferth the Unliving, Wylandriah.","Merchant transaction; price, stock, and barter setup need route validation",Vendor availability/restock timing needs route validation.,unknown,unknown,unknown,"Travel, cold, carry, restock, gold, and spell-learning timing deferred",source_listed_candidate,SN-000052-spell-tomes-and-learned-spells.md,Source-listed spell tome acquisition; final route source selection pending.
BOOKLOC-000478,OBJ-000910,Spell Tome: Candlelight,spell_tome,base_game,Alteration,Skyrim,,The Pale,The White Hall,"Purchase from Madena in Dawnstar. Source note: Can be purchased from: Calcelmo, Falion, Farengar Secret-Fire, Madena, Nelacar, Sybille Stentor, Tolfdir, Wuunferth the Unliving, Wylandriah.","Merchant transaction; price, stock, and barter setup need route validation",Vendor availability/restock timing needs route validation.,unknown,unknown,unknown,"Travel, cold, carry, restock, gold, and spell-learning timing deferred",source_listed_candidate,SN-000052-spell-tomes-and-learned-spells.md,Source-listed spell tome acquisition; final route source selection pending.
BOOKLOC-000479,OBJ-000910,Spell Tome: Candlelight,spell_tome,base_game,Alteration,Skyrim,,Winterhold,The Frozen Hearth,"Purchase from Nelacar in Winterhold. Source note: Can be purchased from: Calcelmo, Falion, Farengar Secret-Fire, Madena, Nelacar, Sybille Stentor, Tolfdir, Wuunferth the Unliving, Wylandriah.","Merchant transaction; price, stock, and barter setup need route validation",Vendor availability/restock timing needs route validation.,unknown,unknown,unknown,"Travel, cold, carry, restock, gold, and spell-learning timing deferred",source_listed_candidate,SN-000052-spell-tomes-and-learned-spells.md,Source-listed spell tome acquisition; final route source selection pending.
BOOKLOC-000480,OBJ-000910,Spell Tome: Candlelight,spell_tome,base_game,Alteration,Skyrim,,Haafingar,Blue Palace,"Purchase from Sybille Stentor in Solitude. Source note: Can be purchased from: Calcelmo, Falion, Farengar Secret-Fire, Madena, Nelacar, Sybille Stentor, Tolfdir, Wuunferth the Unliving, Wylandriah.","Merchant transaction; price, stock, and barter setup need route validation",Vendor availability/restock timing needs route validation.,unknown,unknown,unknown,"Travel, cold, carry, restock, gold, and spell-learning timing deferred",source_listed_candidate,SN-000052-spell-tomes-and-learned-spells.md,Source-listed spell tome acquisition; final route source selection pending.
BOOKLOC-000481,OBJ-000910,Spell Tome: Candlelight,spell_tome,base_game,Alteration,Skyrim,,Winterhold,College of Winterhold,"Purchase from Tolfdir at the College of Winterhold. Source note: Can be purchased from: Calcelmo, Falion, Farengar Secret-Fire, Madena, Nelacar, Sybille Stentor, Tolfdir, Wuunferth the Unliving, Wylandriah.","Merchant transaction; price, stock, and barter setup need route validation",Vendor availability/restock timing needs route validation.,unknown,unknown,unknown,"Travel, cold, carry, restock, gold, and spell-learning timing deferred",source_listed_candidate,SN-000052-spell-tomes-and-learned-spells.md,Source-listed spell tome acquisition; final route source selection pending.
BOOKLOC-000482,OBJ-000910,Spell Tome: Candlelight,spell_tome,base_game,Alteration,Skyrim,,Eastmarch,Palace of the Kings,"Purchase from Wuunferth the Unliving in Windhelm. Source note: Can be purchased from: Calcelmo, Falion, Farengar Secret-Fire, Madena, Nelacar, Sybille Stentor, Tolfdir, Wuunferth the Unliving, Wylandriah.","Merchant transaction; price, stock, and barter setup need route validation",Vendor availability/restock timing needs route validation.,unknown,unknown,unknown,"Travel, cold, carry, restock, gold, and spell-learning timing deferred",source_listed_candidate,SN-000052-spell-tomes-and-learned-spells.md,Source-listed spell tome acquisition; final route source selection pending.
BOOKLOC-000483,OBJ-000910,Spell Tome: Candlelight,spell_tome,base_game,Alteration,Skyrim,,The Rift,Mistveil Keep,"Purchase from Wylandriah in Riften. Source note: Can be purchased from: Calcelmo, Falion, Farengar Secret-Fire, Madena, Nelacar, Sybille Stentor, Tolfdir, Wuunferth the Unliving, Wylandriah.","Merchant transaction; price, stock, and barter setup need route validation",Vendor availability/restock timing needs route validation.,unknown,unknown,unknown,"Travel, cold, carry, restock, gold, and spell-learning timing deferred",source_listed_candidate,SN-000052-spell-tomes-and-learned-spells.md,Source-listed spell tome acquisition; final route source selection pending.
BOOKLOC-000484,OBJ-000910,Spell Tome: Candlelight,spell_tome,base_game,Alteration,Skyrim,,,Fort Snowhawk,Can be found in Fort Snowhawk.,Loot/access status needs route validation,,unknown,unknown,unknown,"Travel, cold, carry, restock, gold, and spell-learning timing deferred",source_listed_candidate,SN-000052-spell-tomes-and-learned-spells.md,Source-listed spell tome acquisition; final route source selection pending.
