merchant_investment_record_id,objective_id,merchant_name,store_name,town_or_route,hold,source_content,merchant_type,base_gold,invest_status,master_trader_status,investment_policy,availability_notes,source_page,source_id,citations,notes
MERINV-000001,OBJ-002718,Nurelion (Quintus Navale),The White Phial,Windhelm,Eastmarch,base_game,Apothecary,500,available,available,main_route_investment,,https://en.uesp.net/wiki/Skyrim:Merchants,SRC-000296,SN-000085-merchant-investment-scope.md,Source-listed checked Invest row; final route timing and NPC safety validation deferred.
MERINV-000002,OBJ-002719,Oengul War-Anvil (Hermir Strong-Heart),Blacksmith Quarters,Windhelm,Eastmarch,base_game,Blacksmith,1000,available,available,main_route_investment,,https://en.uesp.net/wiki/Skyrim:Merchants,SRC-000296,SN-000085-merchant-investment-scope.md,Source-listed checked Invest row; final route timing and NPC safety validation deferred.
MERINV-000003,OBJ-002720,Revyn Sadri,Sadri's Used Wares,Windhelm,Eastmarch,base_game,General,750,available,available,main_route_investment,,https://en.uesp.net/wiki/Skyrim:Merchants,SRC-000296,SN-000085-merchant-investment-scope.md,Source-listed checked Invest row; final route timing and NPC safety validation deferred.
MERINV-000004,OBJ-002721,Wuunferth the Unliving,Palace of the Kings,Windhelm,Eastmarch,base_game,Spells,500,available,available,main_route_investment,,https://en.uesp.net/wiki/Skyrim:Merchants,SRC-000296,SN-000085-merchant-investment-scope.md,Source-listed checked Invest row; final route timing and NPC safety validation deferred.
MERINV-000005,OBJ-002722,Solaf,Gray Pine Goods,Falkreath,Falkreath Hold,base_game,General; sells Blue Mage Robes,750,available,available,main_route_investment,,https://en.uesp.net/wiki/Skyrim:Merchants,SRC-000296,SN-000085-merchant-investment-scope.md,Source-listed checked Invest row; final route timing and NPC safety validation deferred.
MERINV-000006,,Lod,Lod's House,Falkreath,Falkreath Hold,base_game,Blacksmith,1000,bugged_unofficial_patch_only,available,excluded_unofficial_patch_only,,https://en.uesp.net/wiki/Skyrim:Merchants,SRC-000296,SN-000085-merchant-investment-scope.md,Source table marks investment as bugged without the Unofficial Patch; do not route under official PS4 AE policy.
MERINV-000007,,Zaria,Grave Concoctions,Falkreath,Falkreath Hold,base_game,Apothecary,500,bugged_unofficial_patch_only,available,excluded_unofficial_patch_only,,https://en.uesp.net/wiki/Skyrim:Merchants,SRC-000296,SN-000085-merchant-investment-scope.md,Source table marks investment as bugged without the Unofficial Patch; do not route under official PS4 AE policy.
MERINV-000008,,Angeline Morrard (Vivienne Onis),Angeline's Aromatics,Solitude,Haafingar,base_game,Apothecary,500,bugged_unofficial_patch_only,available,excluded_unofficial_patch_only,,https://en.uesp.net/wiki/Skyrim:Merchants,SRC-000296,SN-000085-merchant-investment-scope.md,Source table marks investment as bugged without the Unofficial Patch; do not route under official PS4 AE policy.
MERINV-000009,OBJ-002723,Beirand,Solitude Blacksmith,Solitude,Haafingar,base_game,Blacksmith,1000,available,available,main_route_investment,,https://en.uesp.net/wiki/Skyrim:Merchants,SRC-000296,SN-000085-merchant-investment-scope.md,Source-listed checked Invest row; final route timing and NPC safety validation deferred.
MERINV-000010,OBJ-002724,Endarie; Taarie,Radiant Raiment,Solitude,Haafingar,base_game,"Clothing , Jewelry",750,available,available,main_route_investment,,https://en.uesp.net/wiki/Skyrim:Merchants,SRC-000296,SN-000085-merchant-investment-scope.md,Source-listed checked Invest row; final route timing and NPC safety validation deferred.
MERINV-000011,,Fihada (Jawanan),Fletcher,Solitude,Haafingar,base_game,"Armor , Arrows , Tools , Weapons",750,bugged_unofficial_patch_only,available,excluded_unofficial_patch_only,,https://en.uesp.net/wiki/Skyrim:Merchants,SRC-000296,SN-000085-merchant-investment-scope.md,Source table marks investment as bugged without the Unofficial Patch; do not route under official PS4 AE policy.
MERINV-000012,OBJ-002725,Sayma,Bits and Pieces,Solitude,Haafingar,base_game,General,750,available,available,main_route_investment,,https://en.uesp.net/wiki/Skyrim:Merchants,SRC-000296,SN-000085-merchant-investment-scope.md,Source-listed checked Invest row; final route timing and NPC safety validation deferred.
MERINV-000013,OBJ-002726,Sybille Stentor (Melaran),Blue Palace,Solitude,Haafingar,base_game,Spells,500,available,available,main_route_investment,,https://en.uesp.net/wiki/Skyrim:Merchants,SRC-000296,SN-000085-merchant-investment-scope.md,Source-listed checked Invest row; final route timing and NPC safety validation deferred.
MERINV-000014,,Falion,Falion's House,Morthal,Hjaalmarch,base_game,Spells; sells 1 Black Soul Gem,500,bugged_unofficial_patch_only,available,excluded_unofficial_patch_only,Cures vampirism,https://en.uesp.net/wiki/Skyrim:Merchants,SRC-000296,SN-000085-merchant-investment-scope.md,Source table marks investment as bugged without the Unofficial Patch; do not route under official PS4 AE policy.
MERINV-000015,OBJ-002727,Lami,Thaumaturgist's Hut,Morthal,Hjaalmarch,base_game,Apothecary,500,available,available,main_route_investment,,https://en.uesp.net/wiki/Skyrim:Merchants,SRC-000296,SN-000085-merchant-investment-scope.md,Source-listed checked Invest row; final route timing and NPC safety validation deferred.
MERINV-000016,OBJ-002728,Frida,The Mortar and Pestle,Dawnstar,The Pale,base_game,Apothecary,500,available,available,main_route_investment,,https://en.uesp.net/wiki/Skyrim:Merchants,SRC-000296,SN-000085-merchant-investment-scope.md,Source-listed checked Invest row; final route timing and NPC safety validation deferred.
MERINV-000017,OBJ-002729,Rustleif; Seren,Rustleif's House,Dawnstar,The Pale,base_game,Blacksmith,1000,available,available,main_route_investment,,https://en.uesp.net/wiki/Skyrim:Merchants,SRC-000296,SN-000085-merchant-investment-scope.md,Source-listed checked Invest row; final route timing and NPC safety validation deferred.
MERINV-000018,OBJ-002730,Bothela (Muiri),The Hag's Cure,Markarth,The Reach,base_game,Apothecary,500,available,available,main_route_investment,,https://en.uesp.net/wiki/Skyrim:Merchants,SRC-000296,SN-000085-merchant-investment-scope.md,Source-listed checked Invest row; final route timing and NPC safety validation deferred.
MERINV-000019,OBJ-002731,Calcelmo,in Understone Keep,Markarth,The Reach,base_game,Spells,500,available,available,main_route_investment,,https://en.uesp.net/wiki/Skyrim:Merchants,SRC-000296,SN-000085-merchant-investment-scope.md,Source-listed checked Invest row; final route timing and NPC safety validation deferred.
MERINV-000020,,Ghorza gra-Bagol (Tacitus Sallustius),at the forge near The Hag's Cure or in Understone Keep,Markarth,The Reach,base_game,Blacksmith,1000,bugged_unofficial_patch_only,available,excluded_unofficial_patch_only,,https://en.uesp.net/wiki/Skyrim:Merchants,SRC-000296,SN-000085-merchant-investment-scope.md,Source table marks investment as bugged without the Unofficial Patch; do not route under official PS4 AE policy.
MERINV-000021,OBJ-002732,Lisbet (Imedhnain),Arnleif and Sons Trading Company,Markarth,The Reach,base_game,General,750,available,available,main_route_investment,,https://en.uesp.net/wiki/Skyrim:Merchants,SRC-000296,SN-000085-merchant-investment-scope.md,Source-listed checked Invest row; final route timing and NPC safety validation deferred.
MERINV-000022,OBJ-002733,Moth gro-Bagol,in Understone Keep,Markarth,The Reach,base_game,Blacksmith,500,available,available,main_route_investment,,https://en.uesp.net/wiki/Skyrim:Merchants,SRC-000296,SN-000085-merchant-investment-scope.md,Source-listed checked Invest row; final route timing and NPC safety validation deferred.
