crafting_system_record_id,objective_id,system_name,source_content,system_type,source_page,source_id,existing_objective_ids,coverage_status,route_treatment,citations,notes
CRAFTSYS-000001,,Alchemy,base_game,skill_controlled,https://en.uesp.net/wiki/Skyrim:Crafting,SRC-000297,OBJ-000348 | OBJ-002438 | OBJ-002457 | OBJ-002526,represented_existing_objectives,represented_existing_objectives,SN-000086-practical-crafting-system-reconciliation.md,"Alchemy tutorial, skill/perk, and all ingredient-effect discovery rows already represent this system; recipe sequence deferred."
CRAFTSYS-000002,,Enchanting,base_game,skill_controlled,https://en.uesp.net/wiki/Skyrim:Crafting,SRC-000297,OBJ-000350 | OBJ-002429 | OBJ-002448 | OBJ-002466,represented_existing_objectives,represented_existing_objectives,SN-000086-practical-crafting-system-reconciliation.md,"Enchanting tutorial, skill/perk, and non-destructive enchantment-learning rows already represent this system; power-curve timing deferred."
CRAFTSYS-000003,OBJ-002754,Staff Enchanting,dragonborn,skill_controlled_special_station,https://en.uesp.net/wiki/Skyrim:Staff_Enchanter,SRC-000119,OBJ-000696 | OBJ-000712,new_system_objective_with_existing_ae_crosslinks,new_objective_added,SN-000086-practical-crafting-system-reconciliation.md,"Dragonborn Staff Enchanter access needed as practical system coverage; AE station/item rows are cross-links, not a replacement for the base system row."
CRAFTSYS-000004,,Smithing,base_game,skill_controlled,https://en.uesp.net/wiki/Skyrim:Crafting,SRC-000297,OBJ-000349 | OBJ-002436 | OBJ-002455 | OBJ-000476,represented_existing_objectives,represented_existing_objectives,SN-000086-practical-crafting-system-reconciliation.md,"Blacksmithing tutorial, Smithing skill/perk, and Stalhrim Crafter rows represent source-listed smithing progression; recipe and material planning deferred."
CRAFTSYS-000005,OBJ-002753,Atronach Forge,base_game,special_crafting_station,https://en.uesp.net/wiki/Skyrim:Atronach_Forge,SRC-000298,,new_system_objective,new_objective_added,SN-000086-practical-crafting-system-reconciliation.md,Adds system-level coverage; individual recipe notes and outputs are checklist-dependent and deferred.
CRAFTSYS-000006,,Baking,hearthfire,food_crafting,https://en.uesp.net/wiki/Skyrim:Crafting,SRC-000297,OBJ-000407,represented_property_rows_checklist_deferred,checklist_deferred,SN-000086-practical-crafting-system-reconciliation.md,Hearthfire furnishing/property coverage records baking infrastructure; exact recipe requirements wait for checklist and wing/default planning.
CRAFTSYS-000007,,Bone Forge,ae_creation,ae_special_crafting_station,https://en.uesp.net/wiki/Skyrim:Crafting,SRC-000297,OBJ-000711,represented_existing_objectives,represented_existing_objectives,SN-000086-practical-crafting-system-reconciliation.md,Gallows Hall necromancy crafting-system row already represents Bone Forge coverage; exact outputs deferred.
CRAFTSYS-000008,,Construction,hearthfire,property_construction,https://en.uesp.net/wiki/Skyrim:Crafting,SRC-000297,OBJ-000394 | OBJ-000401 | OBJ-000402 | OBJ-000406 | OBJ-000407,represented_existing_objectives,represented_existing_objectives,SN-000086-practical-crafting-system-reconciliation.md,Hearthfire construction quest/stage/property rows already represent construction system coverage.
CRAFTSYS-000009,,Cooking,base_game,food_crafting,https://en.uesp.net/wiki/Skyrim:Crafting,SRC-000297,OBJ-002752,represented_new_trophy_row,represented_existing_objectives,SN-000086-practical-crafting-system-reconciliation.md,Hard Worker trophy row captures required cooking action; Survival Mode food planning remains TB-019/TB-020.
CRAFTSYS-000010,OBJ-002755,Imbuing Chamber,dragonborn,special_crafting_station,https://en.uesp.net/wiki/Skyrim:Imbuing_Chamber,SRC-000299,,new_system_objective,new_objective_added,SN-000086-practical-crafting-system-reconciliation.md,Adds system-level coverage for Dragonborn spider crafting; individual spider recipes and outputs are checklist-dependent and deferred.
CRAFTSYS-000011,,Mining,base_game,material_gathering,https://en.uesp.net/wiki/Skyrim:Crafting,SRC-000297,OBJ-002752,represented_new_trophy_row,represented_existing_objectives,SN-000086-practical-crafting-system-reconciliation.md,Hard Worker trophy row captures required mining action; ore/material planning remains route-level work.
CRAFTSYS-000012,,Smelting,base_game,material_processing,https://en.uesp.net/wiki/Skyrim:Crafting,SRC-000297,OBJ-000349 | OBJ-002436 | OBJ-002455,common_station_action_deferred,route_action_only,SN-000086-practical-crafting-system-reconciliation.md,Smelting supports smithing material flow but is not a separate finite completion target unless checklist mapping says otherwise.
CRAFTSYS-000013,,Tanning,base_game,material_processing,https://en.uesp.net/wiki/Skyrim:Crafting,SRC-000297,OBJ-000349 | OBJ-002436 | OBJ-002455,common_station_action_deferred,route_action_only,SN-000086-practical-crafting-system-reconciliation.md,Tanning supports smithing material flow but is not a separate finite completion target unless checklist mapping says otherwise.
